marker_id,num_frames,first_frame,last_frame,frames
0,12,38,49,38;39;40;41;42;43;44;45;46;47;48;49
1,26,5,36,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;32;33;34;35;36
2,5,12,17,12;13;15;16;17
3,8,55,62,55;56;57;58;59;60;61;62
5,7,80,86,80;81;82;83;84;85;86
6,3,73,76,73;75;76
7,7,70,76,70;71;72;73;74;75;76
8,5,87,91,87;88;89;90;91
9,1,130,130,130
10,17,104,123,104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;123
11,12,0,130,0;1;89;91;92;93;94;95;96;97;129;130
12,25,94,118,94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118
13,5,0,130,0;1;128;129;130
