frame,baseline_ids,degraded_ids,missed_vs_baseline,extra_in_degraded
0,11;13,11;13,,
1,11;13,11;13,,
2,5;6;7,5;6;7,,
3,5;6;7,5;6;7,,
4,5;6;7,5;6;7,,
5,2;5;6;7,5;6;7,2,
6,1;2;5;6;7,1;5;6;7,2,
7,1;2;5;6;7,1;2;5;6;7,,
8,1;2;5;6;7,1;2;5;6;7,,
9,1;2;5;6;7,1;2;5;6;7,,
10,1;2;5;6;7,1;2;5;6;7,,
11,1;2;5;6;7,1;2;5;6;7,,
12,1;2;5;6,1;2;5;6,,
13,1;2;5,1;2;5,,
14,1;2;5,1;2;5,,
15,1;2;5,1;2;5,,
16,1;2,1;2,,
17,1;2,1;2,,
18,1,1,,
19,1,1,,
20,1,1,,
21,1,1,,
22,1,1,,
23,1,1,,
24,1,1,,
25,1,1,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,1,1,,
33,1,1,,
34,1,1,,
35,1,1,,
36,1,1,,
37,,,,
38,0,0,,
39,0,0,,
40,0,0,,
41,0,0,,
42,0,0,,
43,0,0,,
44,0,0,,
45,0,0,,
46,0,0,,
47,0,0,,
48,0,0,,
49,0,0,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,3,3,,
56,3,3,,
57,3,3,,
58,3,3,,
59,3,3,,
60,3,3,,
61,3,3,,
62,3,3,,
63,,,,
64,,,,
65,4,4,,
66,4,4,,
67,4,4,,
68,4,4,,
69,4,4,,
70,4;7,4;7,,
71,4;6;7,4;6;7,,
72,4;6;7,4;6;7,,
73,6;7,6;7,,
74,6;7,6;7,,
75,6;7,6;7,,
76,6;7,6;7,,
77,6;7;8,6;7;8,,
78,6;7;8,6;7;8,,
79,6;7;8,6;7;8,,
80,5;6;7,5;6;7,,
81,5;6;8,5;6;8,,
82,5;6;8,5;6;8,,
83,5;8,5;8,,
84,5;8,5;8,,
85,5;8,5;8,,
86,5;8,5;8,,
87,8,8,,
88,8,8,,
89,8,8,,
90,8;11,8;11,,
91,8;11,8;11,,
92,11;12,11;12,,
93,11;12,11;12,,
94,11;12,11;12,,
95,11;12,11;12,,
96,11;12,11;12,,
97,11;12,11;12,,
98,11;12,11;12,,
99,12,12,,
100,12,12,,
101,12,12,,
102,12,12,,
103,12,12,,
104,10;12,10;12,,
105,10;12,10;12,,
106,10;12,10;12,,
107,10;12,10;12,,
108,10;12,10;12,,
109,10;12,10;12,,
110,10;12,10;12,,
111,10;12,10;12,,
112,10;12,10;12,,
113,10;12,10;12,,
114,10;12,10;12,,
115,10;12,10;12,,
116,10;12,10;12,,
117,10;12,10;12,,
118,10;12,10;12,,
119,0;10,0;10,,
120,0;10,0;10,,
121,0;9;10,0;9;10,,
122,9;10,9;10,,
123,10,10,,
124,9,9,,
125,9,9,,
126,9,9,,
127,9,9,,
128,9;13,9;13,,
129,9;11;13,9;11;13,,
130,9;11;13,9;11;13,,
