station_name,group,target_static_camera,candidate_name,moving_pose,reason
R1_rear_left_seat_leaned_occluded,rear,rear_static_camera,R1_rear_left_seat_leaned_occluded_cand_00,4.200000 0.000000 1.750000 0.000000 0.000000 3.141593,csv_existing_moving_pose
R1_rear_left_seat_leaned_occluded,rear,rear_static_camera,R1_rear_left_seat_leaned_occluded_cand_01,3.820000 -0.750000 1.650000 0.000000 0.124355 3.141593,rear_look_at_board
R1_rear_left_seat_leaned_occluded,rear,rear_static_camera,R1_rear_left_seat_leaned_occluded_cand_02,4.020000 -0.550000 1.700000 0.000000 0.146040 -2.944197,rear_look_at_board
R1_rear_left_seat_leaned_occluded,rear,rear_static_camera,R1_rear_left_seat_leaned_occluded_cand_03,4.020000 -0.950000 1.700000 0.000000 0.146040 2.944197,rear_look_at_board
R1_rear_left_seat_leaned_occluded,rear,rear_static_camera,R1_rear_left_seat_leaned_occluded_cand_04,4.220000 -0.750000 1.800000 0.000000 0.205395 3.141593,rear_look_at_board
R1_rear_left_seat_leaned_occluded,rear,rear_static_camera,R1_rear_left_seat_leaned_occluded_cand_05,3.620000 -0.350000 1.750000 0.000000 0.270550 -2.553590,rear_look_at_board
R2_rear_table_flat,rear,rear_static_camera,R2_rear_table_flat_cand_00,5.630000 -0.090000 1.650000 0.000000 0.161092 3.141593,rear_look_at_board
R2_rear_table_flat,rear,rear_static_camera,R2_rear_table_flat_cand_01,5.830000 0.110000 1.700000 0.000000 0.174705 -2.944197,rear_look_at_board
R2_rear_table_flat,rear,rear_static_camera,R2_rear_table_flat_cand_02,5.830000 -0.290000 1.700000 0.000000 0.174705 2.944197,rear_look_at_board
R2_rear_table_flat,rear,rear_static_camera,R2_rear_table_flat_cand_03,6.030000 -0.090000 1.800000 0.000000 0.229232 3.141593,rear_look_at_board
R2_rear_table_flat,rear,rear_static_camera,R2_rear_table_flat_cand_04,5.430000 0.310000 1.750000 0.000000 0.308753 -2.553590,rear_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_cand_00,5.070000 0.930000 1.650000 0.000000 0.124355 3.141593,rear_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_cand_01,5.270000 1.130000 1.700000 0.000000 0.146040 -2.944197,rear_look_at_board
