method,target_id,target_pattern,square_size_m,resolution,group,scenario,detection_success,pose_class,camera_1_status,camera_2_status,camera_1_points,camera_2_points,estimated_baseline_m,baseline_error_cm,rotation_error_deg,failure_reason,camera_1_image,camera_2_image,source_csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,distance,dist_1_2m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_1_2m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_1_2m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,distance,dist_1_4m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_1_4m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_1_4m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,distance,dist_1_6m,true,valid,SB,SB,54,54,0.732197,3.220,1.177,,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_1_6m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_1_6m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,distance,dist_1_8m,true,valid,SB,SB,54,54,0.705974,0.597,0.263,,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_1_8m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_1_8m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,distance,dist_2_0m,true,valid,SB,SB,54,54,0.705416,0.542,0.335,,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_0m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_0m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,distance,dist_2_2m,true,valid,SB,SB,54,54,0.672947,2.705,0.759,,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_2m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_2m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,distance,dist_2_4m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_4m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_4m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,distance,dist_2_6m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_6m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_6m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,distance,dist_2_8m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_8m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/debug_images/dist_2_8m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,yaw,yaw_0deg,true,valid,SB,SB,54,54,0.705974,0.597,0.263,,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_0deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_0deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,yaw,yaw_10deg,true,valid,SB,SB,54,54,0.750342,5.034,1.624,,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_10deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_10deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,yaw,yaw_20deg,true,valid,SB,SB,54,54,0.695444,0.456,0.181,,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_20deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_20deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,yaw,yaw_30deg,true,valid,SB,SB,54,54,0.685255,1.475,0.484,,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_30deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_30deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,yaw,yaw_35deg,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_35deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_35deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,yaw,yaw_40deg,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_40deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_40deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,yaw,yaw_45deg,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_45deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_45deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,yaw,yaw_50deg,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_50deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/debug_images/yaw_50deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,shift,shift_left_0_6m,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_left_0_6m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_left_0_6m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,shift,shift_left_0_4m,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_left_0_4m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_left_0_4m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,shift,shift_left_0_2m,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_left_0_2m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_left_0_2m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,shift,shift_right_0_2m,false,failure,checkerboard_not_found,SB,0,54,,,,camera_1:checkerboard_not_found;camera_2:SB,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_right_0_2m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_right_0_2m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,shift,shift_right_0_4m,false,failure,checkerboard_not_found,SB,0,54,,,,camera_1:checkerboard_not_found;camera_2:SB,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_right_0_4m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/debug_images/shift_right_0_4m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/shift/summary.csv
