method,target_id,target_pattern,square_size_m,group,scenario,res320x240_pose_class,res320x240_detection_success,res320x240_cam1,res320x240_cam2,res320x240_baseline_error_cm,res320x240_rotation_error_deg,res640x480_pose_class,res640x480_detection_success,res640x480_cam1,res640x480_cam2,res640x480_baseline_error_cm,res640x480_rotation_error_deg,class_change,best_resolution_by_error,best_error_cm
checkerboard,target_9x6_square0_12,9x6,0.12,distance,dist_1_2m,failure,false,checkerboard_not_found,checkerboard_not_found,,,failure,false,checkerboard_not_found,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,distance,dist_1_4m,failure,false,checkerboard_not_found,checkerboard_not_found,,,failure,false,checkerboard_not_found,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,distance,dist_1_6m,valid,true,SB,SB,3.220,1.177,valid,true,SB,SB,0.159,0.072,same,res640x480,0.159
checkerboard,target_9x6_square0_12,9x6,0.12,distance,dist_1_8m,valid,true,SB,SB,0.597,0.263,valid,true,SB,SB,0.242,0.086,same,res640x480,0.242
checkerboard,target_9x6_square0_12,9x6,0.12,distance,dist_2_0m,valid,true,SB,SB,0.542,0.335,valid,true,SB,SB,0.095,0.030,same,res640x480,0.095
checkerboard,target_9x6_square0_12,9x6,0.12,distance,dist_2_2m,valid,true,SB,SB,2.705,0.759,failure,false,checkerboard_not_found,checkerboard_not_found,,,valid -> failure,res320x240,2.705
checkerboard,target_9x6_square0_12,9x6,0.12,distance,dist_2_4m,failure,false,checkerboard_not_found,checkerboard_not_found,,,failure,false,checkerboard_not_found,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,distance,dist_2_6m,failure,false,checkerboard_not_found,checkerboard_not_found,,,failure,false,checkerboard_not_found,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,distance,dist_2_8m,failure,false,checkerboard_not_found,checkerboard_not_found,,,failure,false,checkerboard_not_found,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,height,height_0_6m,valid,true,SB,SB,2.838,1.216,failure,false,SB,checkerboard_not_found,,,valid -> failure,res320x240,2.838
checkerboard,target_9x6_square0_12,9x6,0.12,height,height_0_8m,valid,true,SB,SB,0.518,0.238,valid,true,SB,SB,0.673,0.228,same,res320x240,0.518
checkerboard,target_9x6_square0_12,9x6,0.12,height,height_1_0m,valid,true,SB,SB,0.597,0.263,valid,true,SB,SB,0.242,0.086,same,res640x480,0.242
checkerboard,target_9x6_square0_12,9x6,0.12,height,height_1_2m,valid,true,SB,SB,0.542,0.248,valid,true,SB,SB,0.045,0.036,same,res640x480,0.045
checkerboard,target_9x6_square0_12,9x6,0.12,height,height_1_4m,valid,true,SB,SB,0.623,0.139,valid,true,SB,SB,0.003,0.032,same,res640x480,0.003
checkerboard,target_9x6_square0_12,9x6,0.12,mixed,close_1_4m_yaw_10deg,failure,false,checkerboard_not_found,checkerboard_not_found,,,failure,false,checkerboard_not_found,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,mixed,far_2_4m_yaw_20deg,failure,false,checkerboard_not_found,checkerboard_not_found,,,failure,false,checkerboard_not_found,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,mixed,far_2_4m_yaw_30deg,failure,false,checkerboard_not_found,checkerboard_not_found,,,failure,false,checkerboard_not_found,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,mixed,shift_left_0_2m_yaw_20deg,valid,true,SB,SB,0.705,0.279,valid,true,SB,SB,0.181,0.062,same,res640x480,0.181
checkerboard,target_9x6_square0_12,9x6,0.12,mixed,shift_right_0_2m_yaw_20deg,failure,false,checkerboard_not_found,SB,,,failure,false,checkerboard_not_found,SB,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,shift,shift_left_0_2m,failure,false,SB,checkerboard_not_found,,,failure,false,SB,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,shift,shift_left_0_4m,failure,false,SB,checkerboard_not_found,,,failure,false,SB,checkerboard_not_found,,,same,,
checkerboard,target_9x6_square0_12,9x6,0.12,shift,shift_left_0_6m,failure,false,SB,checkerboard_not_found,,,failure,false,SB,checkerboard_not_found,,,same,,
