camera,source_camera_info,image_width,image_height,fx,fy,cx,cy,hfov_deg,vfov_deg,marker_length_m,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z
cam_edge_0,center_left,1280,720,929.03515625,929.0380859375,636.6603393554688,365.6862487792969,69.12488229198584,42.3624568171132,0.17,3,457.25,552.25,429.0,529.0,483.0,530.0,485.0,575.0,432.0,575.0,True,-0.5729229703214147,0.5966512491025115,2.9673347087132105,3.08047215804844,-2.762619772585959,-0.028442733458298244,-0.036319402800820695
cam_edge_0,center_left,1280,720,929.03515625,929.0380859375,636.6603393554688,365.6862487792969,69.12488229198584,42.3624568171132,0.17,7,1137.25,440.25,1140.0,401.0,1173.0,429.0,1133.0,481.0,1103.0,450.0,True,1.355506338811706,0.2017827717099393,2.5192815681604146,2.8679074847683736,2.2165808360445114,0.8997455331607246,-2.0074851352785084
cam_edge_0,center_left,1280,720,929.03515625,929.0380859375,636.6603393554688,365.6862487792969,69.12488229198584,42.3624568171132,0.17,4,663.75,171.0,633.0,138.0,697.0,140.0,694.0,204.0,631.0,202.0,True,0.07252136315695053,-0.5205206752147613,2.488831066007092,2.5437140555813604,-2.78203134847339,-0.04411147013646679,0.013096469115554982
cam_edge_1,front_right,1280,720,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,69.09271747491788,42.3088318526001,0.17,2,689.75,481.25,666.0,463.0,706.0,456.0,713.0,499.0,674.0,507.0,True,0.13476423157451714,0.49593675890733097,3.6144499529173526,3.650803080021111,-3.1989238748805944,0.24075787322488384,-0.6209738195051053
cam_edge_1,front_right,1280,720,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,69.09271747491788,42.3088318526001,0.17,1,900.25,452.75,853.0,447.0,905.0,436.0,949.0,458.0,894.0,470.0,True,0.6288130897795281,0.2536923673107027,2.388806645088897,2.4831759717608937,1.8173212464842228,-0.40503603246936265,0.276208982749296
cam_edge_1,front_right,1280,720,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,69.09271747491788,42.3088318526001,0.17,5,544.5,307.75,531.0,297.0,554.0,295.0,558.0,318.0,535.0,321.0,True,-0.7803482713254352,-0.32252223991297996,6.552902879406096,6.607079548993472,2.934522502524902,-0.233213183389798,0.6149426641629654
cam_edge_1,front_right,1280,720,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,69.09271747491788,42.3088318526001,0.17,7,233.75,295.25,217.0,283.0,247.0,281.0,250.0,307.0,221.0,310.0,True,-2.645577914548089,-0.3652110722311252,5.8358450680307765,6.417908482308233,-2.795239845960169,0.08895729519652339,-0.6118333557132346
cam_edge_1,front_right,1280,720,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,69.09271747491788,42.3088318526001,0.17,6,310.0,288.0,294.0,276.0,322.0,274.0,326.0,300.0,298.0,302.0,True,-2.187789216135108,-0.41451666253353087,5.891254227535039,6.298025253299995,3.451025888334348,-0.10296287311951619,0.3091846792148303
cam_edge_1,front_right,1280,720,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,69.09271747491788,42.3088318526001,0.17,8,448.75,251.0,436.0,241.0,458.0,239.0,462.0,261.0,439.0,263.0,True,-1.5571421474925962,-0.7727044876118844,7.01118372539548,7.223466004898468,2.9692868559379155,-0.23538963313173766,0.5864478813974227
cam_edge_3,front_left,1280,720,919.951171875,920.0068969726562,661.20947265625,356.6334228515625,69.65182951956672,42.74095302362899,0.17,1,676.25,640.75,654.0,593.0,754.0,623.0,702.0,693.0,595.0,654.0,True,0.021670608710624633,0.4084159192288814,1.3329221469790806,1.394257733802751,1.8739792919698304,0.47422522644752263,-0.3609529088883496
