variant,ap02_camera_status,marker_map_status,estimated_marker_count,estimated_marker_ids,missing_marker_ids,unexpected_marker_ids,gt_full_map_evaluation_exists
moving_cam/density/density_route2_125pct_recaptured,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/density/density_stride_16_6p25pct,OK_FULL,PARTIAL_ESTIMATE_19_OF_20,19,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;19;20,18,,no
moving_cam/density/density_stride_1_100pct,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/density/density_stride_2_50pct,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/density/density_stride_4_25pct,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/density/density_stride_8_12p5pct,OK_FULL,PARTIAL_ESTIMATE_19_OF_20,19,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;19;20,18,,no
moving_cam/density/density_stride_8_offset4,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/fov/fov_100deg,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/fov/fov_140deg_extreme,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/fov/fov_40deg,OK_FULL,PARTIAL_ESTIMATE_19_OF_20,19,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;18;19;20,17,,no
moving_cam/fov/fov_69deg_baseline,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/motion_blur/moving_blur_k00_baseline,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/motion_blur/moving_blur_k09_mild,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/motion_blur/moving_blur_k21_strong,PARTIAL_3_OF_4,PARTIAL_ESTIMATE_11_OF_20,11,1;2;3;4;5;6;7;8;14;19;20,0;9;10;11;12;13;16;17;18,,no
moving_cam/motion_blur/moving_blur_k41_extreme,PARTIAL_3_OF_4,PARTIAL_ESTIMATE_11_OF_20,11,1;2;3;4;5;6;7;8;14;19;20,0;9;10;11;12;13;16;17;18,,no
moving_cam/res/moving_res_1280x720_baseline,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/res/moving_res_160x90_extreme_pixel,OK_FULL,PARTIAL_ESTIMATE_18_OF_20,18,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;19;20,17;18,,no
moving_cam/res/moving_res_2560x1440_upscaled,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
moving_cam/res/moving_res_320x180_low,OK_FULL,PARTIAL_ESTIMATE_19_OF_20,19,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;19;20,18,,no
world/lighting/ceiling_bright,OK_FULL,PARTIAL_ESTIMATE_15_OF_20,15,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,16;17;18;19;20,,no
world/lighting/ceiling_dark_extreme,OK_FULL,PARTIAL_ESTIMATE_15_OF_20,15,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,16;17;18;19;20,,no
world/lighting/ceiling_low,OK_FULL,PARTIAL_ESTIMATE_15_OF_20,15,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,16;17;18;19;20,,no
world/lighting/ceiling_normal,OK_FULL,PARTIAL_ESTIMATE_15_OF_20,15,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,16;17;18;19;20,,no
world/route/route1,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
world/route/route2,OK_FULL,FULL_20_OF_20_EVALUATED,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,,yes
