variant,available_cameras,missing_cameras,available_marker_ids,missing_marker_ids,ref14_available,row_count
clean_baseline,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
fov_40deg,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;18;19;20,17,yes,23
fov_69deg_baseline,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
fov_100deg,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
fov_140deg_extreme,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
moving_blur_k00_baseline,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
moving_blur_k09_mild,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
moving_blur_k21_strong,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,1;2;3;4;5;6;7;8;14;19;20,0;9;10;11;12;13;16;17;18,yes,14
moving_blur_k41_extreme,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,1;2;3;4;5;6;7;8;14;19;20,0;9;10;11;12;13;16;17;18,yes,14
moving_res_160x90_extreme_pixel,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;19;20,17;18,yes,22
moving_res_320x180_low,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;19;20,18,yes,23
moving_res_1280x720_baseline,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
moving_res_2560x1440_upscaled,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
ceiling_dark_extreme,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
ceiling_low,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
ceiling_normal,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
ceiling_bright,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
route1,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
route2,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
density_route2_125pct_recaptured,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
density_stride_1_100pct,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
density_stride_2_50pct,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
density_stride_4_25pct,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
density_stride_8_12p5pct,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;19;20,18,yes,23
density_stride_8_offset4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20,,yes,24
density_stride_16_6p25pct,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;19;20,18,yes,23
