group,variant,baseline_variant,common_markers,missing_markers,mean_position_change_cm,median_position_change_cm,front_mean_position_change_cm,rear_mean_position_change_cm,maximum_position_change_cm,worst_marker,mean_rotation_change_deg
moving_cam/fov,fov_40deg,fov_69deg_baseline,14,,306.6046283395609,5.832012097742461,3.816626152741552,710.3219645886534,849.932038307689,12,61.72293939345506
moving_cam/fov,fov_69deg_baseline,fov_69deg_baseline,14,,0.0,0.0,0.0,0.0,0.0,0,2.94455987996761e-07
moving_cam/fov,fov_100deg,fov_69deg_baseline,14,,2.272621157302581,2.3133551007944884,1.7322716075447362,2.993087223646374,3.749694751898472,13,0.5987083587930598
moving_cam/fov,fov_140deg_extreme,fov_69deg_baseline,14,,3.351027384819514,1.881247684305932,1.372331264259765,5.9892888788991785,7.593612334126602,13,1.0056742532403704
moving_cam/motion_blur,moving_blur_k00_baseline,moving_blur_k00_baseline,14,,0.0,0.0,0.0,0.0,0.0,0,2.94455987996761e-07
moving_cam/motion_blur,moving_blur_k09_mild,moving_blur_k00_baseline,14,,9.589804792594991,6.8012211711290576,5.286967490208346,15.326921195777187,20.87426046178505,13,6.0003069768535
moving_cam/motion_blur,moving_blur_k21_strong,moving_blur_k00_baseline,8,0;9;10;11;12;13,3.741008402471064,3.540759254788113,3.741008402471064,,6.589607285938761,8,1.8183312148523665
moving_cam/motion_blur,moving_blur_k41_extreme,moving_blur_k00_baseline,8,0;9;10;11;12;13,3.7410068618740797,3.540760786538973,3.7410068618740797,,6.589624082185915,8,1.818345776955033
moving_cam/res,moving_res_160x90_extreme_pixel,moving_res_1280x720_baseline,8,0;9;10;11;12;13,4.600120984884767,4.076198406322606,4.600120984884767,,9.143173103402667,8,1.8414068072984568
moving_cam/res,moving_res_320x180_low,moving_res_1280x720_baseline,14,,5.923174388471897,6.048659910748786,3.9445920462228123,8.561284178137344,10.030535192072087,13,1.4634493664428434
moving_cam/res,moving_res_1280x720_baseline,moving_res_1280x720_baseline,14,,0.0,0.0,0.0,0.0,0.0,0,2.94455987996761e-07
moving_cam/res,moving_res_2560x1440_upscaled,moving_res_1280x720_baseline,14,,3.248761059474877,2.3072013912331224,1.8438883763885805,5.121924636923272,6.131023391191212,13,0.3484180912680039
world/lighting,ceiling_dark_extreme,ceiling_normal,14,,12.801700687466008,11.029431937014424,9.587570828506788,17.087207166078297,20.533994955341658,12,2.9589561914374087
world/lighting,ceiling_low,ceiling_normal,14,,0.7458330829714643,0.6997151141951705,0.46592634154648854,1.1190420715380986,1.3010168806878664,11,0.28107811578112674
world/lighting,ceiling_normal,ceiling_normal,14,,0.0,0.0,0.0,0.0,0.0,0,6.037091348628667e-07
world/lighting,ceiling_bright,ceiling_normal,14,,0.8620677591526202,0.7120817974368102,0.4545276237704615,1.4054546063288316,1.746037415284372,12,0.22971926248046892
