ablation,variant,comparison,v1_status,v2_status,v1_pair_count,v2_pair_count,v1_mean_pair_t_cm,v2_mean_pair_t_cm,translation_improvement_percent,v1_mean_pair_r_deg,v2_mean_pair_r_deg,rotation_improvement_percent,v1_worst_pair,v2_worst_pair,v1_worst_pair_t_cm,v2_worst_pair_t_cm
moving_cam/fov,fov_100deg,BETTER,OK,OK_FULL,,6,615.8335642423535,16.114092524273246,97.38336890680877,66.18324007769323,0.958409713023355,98.55188456790833,cam3-cam5,cam1-cam5,1098.8078545798433,28.07901329966026
moving_cam/fov,fov_140deg_extreme,BETTER,OK,OK_FULL,,6,315.2200971497253,22.085750007722726,92.99354634827351,18.65035065466031,1.1775429401913702,93.68621554631667,cam0-cam5,cam1-cam5,628.7951092710005,39.05843567574839
moving_cam/fov,fov_40deg,SIMILAR,OK_FULL,OK_FULL,6,6,593.1314519266799,594.4016974138632,-0.21415918563365882,71.67034179272116,71.84898350251716,-0.2492547200523324,cam3-cam5,cam3-cam5,1176.4402278055504,1176.1421949797127
moving_cam/fov,fov_69deg_baseline,WORSE,OK,OK_FULL,,6,14.90709527356074,17.396743781985943,-16.701097448815865,1.4571638400604296,1.2927978659692025,11.279855399404553,cam1-cam5,cam1-cam5,18.940222030384543,28.54566432238577
moving_cam/motion_blur,moving_blur_k00_baseline,WORSE,OK,OK_FULL,,6,14.90709527356074,17.396743781985943,-16.701097448815865,1.4571638400604296,1.2927978659692025,11.279855399404553,cam1-cam5,cam1-cam5,18.940222030384543,28.54566432238577
moving_cam/motion_blur,moving_blur_k09_mild,BETTER,OK,OK_FULL,,6,77.65765543576548,35.13523991812836,54.75624428657844,6.161489153309635,4.135891835676348,32.87512591895484,cam0-cam5,cam0-cam5,148.79541558732606,52.556212425857986
moving_cam/motion_blur,moving_blur_k21_strong,SIMILAR,PARTIAL_3_OF_4,PARTIAL_3_OF_4,3,3,9.766474932661568,9.76646708151682,8.038872573568225e-05,0.9263170992249407,0.9263170260412172,7.900504425096687e-06,cam0-cam1,cam0-cam1,12.496774007776597,12.496761947155456
moving_cam/motion_blur,moving_blur_k41_extreme,SIMILAR,PARTIAL_3_OF_4,PARTIAL_3_OF_4,3,3,9.766473103833265,9.766464250439782,9.065087661733743e-05,0.9263183989444158,0.9263158243742012,0.0002779357742984524,cam0-cam1,cam0-cam1,12.496765605934906,12.496760206511889
moving_cam/res,moving_res_1280x720_baseline,WORSE,OK,OK_FULL,,6,14.90709527356074,17.396743781985943,-16.701097448815865,1.4571638400604296,1.2927978659692025,11.279855399404553,cam1-cam5,cam1-cam5,18.940222030384543,28.54566432238577
moving_cam/res,moving_res_160x90_extreme_pixel,WORSE,PARTIAL_3_OF_4,PARTIAL_3_OF_4,3,3,9.583056174661872,12.870271068128284,-34.30236485681874,0.8438793218185383,0.6398308670512975,24.179814517497785,cam0-cam1,cam0-cam1,12.246031148469905,16.536005627270132
moving_cam/res,moving_res_2560x1440_upscaled,BETTER,OK,OK_FULL,,6,47.61859966326901,14.103472491153568,70.38242915397532,8.467738879716705,1.3700334883263376,83.82055106106232,cam0-cam3,cam1-cam5,86.42787422342775,21.260829735172475
moving_cam/res,moving_res_320x180_low,BETTER,OK,OK_FULL,,6,127.6089311239045,23.777520616700983,81.36688364420691,8.567626545402488,1.4356773515131556,83.24299800061243,cam3-cam5,cam1-cam5,245.48813010260204,41.93321121086689
world/lighting,ceiling_bright,BETTER,OK_FULL,OK_FULL,6,6,100.87154502772388,14.82074283382677,85.30731057033637,7.504992574302997,0.6841510440117352,90.88405435130929,cam1-cam5,cam1-cam5,180.63078810012755,23.121583088177736
world/lighting,ceiling_dark_extreme,RECOVERED,FAILED_NO_PAIR,OK_FULL,0,6,,16.444286460956633,,,0.9545719773908363,,,cam1-cam5,,21.394674596740558
world/lighting,ceiling_low,BETTER,OK_FULL,OK_FULL,6,6,70.64359089878182,14.643595242917167,79.27116238485311,5.251866553011008,0.6899668902117632,86.86244436625698,cam3-cam5,cam1-cam5,121.47916155198214,22.794602564149567
world/lighting,ceiling_normal,BETTER,OK_FULL,OK_FULL,6,6,62.900721827041906,14.3121820919488,77.24639451467186,9.785688432177933,0.6619621759393871,93.23540514775966,cam0-cam3,cam1-cam5,82.95905992497438,22.315985980814748
