ablation,variant,overall,artifact_integrity,internal_fit,gt_quality_simulation_only,primary_status,camera_count,pair_count,graph_cameras,graph_markers,graph_moving_frames,optimized_cameras,optimized_markers,selected_moving_frames,ba_observations,ba_nfev,initial_mean_reproj_px,final_mean_reproj_px,final_median_reproj_px,final_max_reproj_px,mean_pair_translation_cm,mean_pair_rotation_deg,errors,warnings
moving_cam/fov,fov_100deg,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,241,4,15,144,480,34,10.467005,0.430751,0.395298,2.781282,16.114092524273246,0.958409713023355,,
moving_cam/fov,fov_140deg_extreme,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,234,4,15,130,459,71,16.772818,0.479377,0.422457,2.180743,22.085750007722726,1.1775429401913702,,
moving_cam/fov,fov_40deg,STRUCTURALLY_FULL_BUT_GT_FAILED,PASS,PASS,FAILED,OK_FULL,4,6,4,15,115,4,15,81,147,94,8.686895,0.374425,0.276165,3.646151,594.4016974138632,71.84898350251716,,
moving_cam/fov,fov_69deg_baseline,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,203,4,15,128,371,85,76.54878,0.430515,0.38232,3.095518,17.396743781985943,1.2927978659692025,,
moving_cam/motion_blur,moving_blur_k00_baseline,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,203,4,15,128,371,85,76.54878,0.430515,0.38232,3.095518,17.396743781985943,1.2927978659692025,,
moving_cam/motion_blur,moving_blur_k09_mild,VALID_FULL_DEGRADED,PASS,PASS,DEGRADED,OK_FULL,4,6,4,15,179,4,15,117,220,99,25.102188,0.905319,0.722299,4.295242,35.13523991812836,4.135891835676348,,
moving_cam/motion_blur,moving_blur_k21_strong,VALID_PARTIAL_OBSERVABILITY_LIMIT,PASS,PASS,PARTIAL,PARTIAL_3_OF_4,3,3,3,9,31,3,9,8,26,17,3.566822,0.485333,0.410283,1.585565,9.76646708151682,0.9263170260412172,,
moving_cam/motion_blur,moving_blur_k41_extreme,VALID_PARTIAL_OBSERVABILITY_LIMIT,PASS,PASS,PARTIAL,PARTIAL_3_OF_4,3,3,3,9,5,3,9,5,23,17,4.560107,0.990023,0.478364,5.560945,9.766464250439782,0.9263158243742012,,
moving_cam/res,moving_res_1280x720_baseline,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,203,4,15,128,371,85,76.54878,0.430515,0.38232,3.095518,17.396743781985943,1.2927978659692025,,
moving_cam/res,moving_res_160x90_extreme_pixel,VALID_PARTIAL_OBSERVABILITY_LIMIT,PASS,PASS,PARTIAL,PARTIAL_3_OF_4,3,3,3,9,50,3,9,33,65,37,3.857148,0.343424,0.294449,1.773965,12.870271068128284,0.6398308670512975,,
moving_cam/res,moving_res_2560x1440_upscaled,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,203,4,15,124,363,45,19.689967,0.778218,0.701325,4.381286,14.103472491153568,1.3700334883263376,,
moving_cam/res,moving_res_320x180_low,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,181,4,15,105,240,83,12.995192,0.340351,0.314136,2.016432,23.777520616700983,1.4356773515131556,,
world/lighting,ceiling_bright,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,208,4,15,131,388,77,83.828352,0.402225,0.368734,1.899704,14.82074283382677,0.6841510440117352,,
world/lighting,ceiling_dark_extreme,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,198,4,15,112,270,63,8.021865,0.37879,0.344338,1.808282,16.444286460956633,0.9545719773908363,,
world/lighting,ceiling_low,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,205,4,15,131,379,81,82.652582,0.397074,0.36503,3.375144,14.643595242917167,0.6899668902117632,,
world/lighting,ceiling_normal,VALID_FULL_GOOD,PASS,PASS,GOOD,OK_FULL,4,6,4,15,211,4,15,125,367,25,5.570248,0.403817,0.368656,1.892354,14.3121820919488,0.6619621759393871,,
