group,variant,parameter,method,status,alignment,source_file,camera_count,available_cameras,missing_cameras,failure_reason,mean_translation_error_cm,median_translation_error_cm,max_translation_error_cm,mean_rotation_error_deg,median_rotation_error_deg,max_rotation_error_deg
moving_cam/fov,fov_40deg,40 deg,AP01,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,cam_edge_5: RuntimeError: No relay multichain aggregate row found for cam3_to_cam5 / COLMAP_motion,6.819785995214407,8.000799640825004,8.353428748522653,1.1303175855548473,1.1798299458621564,1.1880829067951446
moving_cam/fov,fov_40deg,40 deg,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,441.1570777879313,298.5751484555454,873.998762707398,43.281167933920415,15.899330279678676,126.1760487324905
moving_cam/fov,fov_40deg,40 deg,AP03,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,,8.093172282624357,10.011624527992142,10.987917117569639,0.47301171967167405,0.4020723164307042,0.6766882286952471
moving_cam/fov,fov_69deg_baseline,69 deg baseline,AP01,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,,,,7.464805,6.949862,10.972906,1.308739,1.265580,1.601827
moving_cam/fov,fov_69deg_baseline,69 deg baseline,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,8.638281984775693,8.379190030430934,14.141271637311064,0.8073122700117802,0.7168965652860584,1.1939975483269536
moving_cam/fov,fov_69deg_baseline,69 deg baseline,AP03,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,,,,6.360968,6.078174,10.816880,0.076540,0.071616,0.134082
moving_cam/fov,fov_100deg,100 deg,AP01,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,,,,7.853343,7.607488,11.460165,1.380261,1.346863,1.826134
moving_cam/fov,fov_100deg,100 deg,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,8.656823323363204,8.751522216300366,14.516288401006538,0.5958142232950158,0.5838192847726822,0.7610629514195807
moving_cam/fov,fov_100deg,100 deg,AP03,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,,,,223.420185,159.382771,439.062102,16.845798,10.928278,34.626995
moving_cam/fov,fov_140deg_extreme,140 deg,AP01,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,,,,8.240505,8.311264,10.393446,1.597879,1.796982,1.962681
