group,variant,method,evaluation,entity_type,entity_id,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_x_m,est_y_m,est_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,interpretation,status
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_0,5.954965875143073,0.7590744787789446,3.637489017065487,-4.362906273625855,1.7875516978265615,0.6241828201706549,-1.7781843231643766,2.1052038166225024,-112.39122118983275,-1.5414642802592466,-0.17769764705724495,0.58780793,-1.734555260428118,2.087328299644237,-112.76486178785166,-1.4967437175878098,-0.8270999106551793,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_1,8.684784452338844,0.2928472171691829,-8.435907652979457,0.5559336960997863,1.9879337965661659,-4.058526396529794,0.4806458365238111,2.1514220180631036,-106.13477360826519,0.6295910573002969,-114.43858103029406,-3.97416732,0.47508649956281324,2.131542680097442,-106.3641137615459,0.7680855332147687,-114.5596564761897,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_3,6.33657203739853,0.352302501757493,-5.858188206260895,-1.576142198262498,1.830178105000435,-3.285937712062609,-1.5789756824039507,2.072512680729384,-109.29965687248229,1.627358069341512,-59.91238210222049,-3.22735583,-1.5632142604213257,2.0542108996793798,-109.39044885636157,1.9674295392793395,-59.899952456623105,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_5,13.643399052453006,0.23363891488182753,13.61036734002754,-0.06550399142995489,-0.9465451923146517,5.994962543400275,0.3477644996470331,2.1292961181483157,-109.04863534613955,4.104473558621172,113.82506957551189,5.85885887,0.34841953956133265,2.138761570071462,-109.27065188628556,4.0731791005917914,113.8768191914187,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,0,5.838245370778214,3.2887621395447852,-5.806049999014773,-0.5531501461371009,-0.26252111187922145,-2.6080604999901476,-0.02553150162135172,0.7773747888771058,63.8049158530062,0.0008181372028717353,89.71936989592534,-2.55,-0.020000000159980713,0.779999999995898,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,1,5.750963316951941,0.7826068597764696,-5.06933709234354,-1.6292971755790253,2.1727381873495544,-2.3006933709234354,-1.0412929720080675,1.2517273816632646,0.7462219288765795,-0.23572580674711635,-89.99362721715737,-2.25,-1.0250000002522772,1.229999999789769,-1.8363890089430702e-07,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,2,4.16907746746972,1.0787590054085756,-3.5494316228195766,-1.584003877305018,1.5078706182477308,-1.1354943162281959,-1.0408400389166226,0.7150787059722465,68.13807137407441,0.02423654420391813,-89.78254515568783,-1.1,-1.0250000001435724,0.6999999997897692,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,3,0.8743042292735654,0.7233915544805387,-0.306245505502771,0.7876344888399944,0.22417289683357433,0.0969375449449723,0.7178763448063585,0.4022417291139592,89.79069833447001,-0.5296040491777202,0.4470733561142375,0.1,0.7099999999179586,0.4000000001456235,90.00000001175157,-0.0,0.0,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,4,2.743378353116216,0.6014281792024925,0.85682611547514,0.3942500921078951,2.576148415961188,0.7085682611547514,0.7139425005929135,1.6257614843052355,90.1509301613107,-0.1021266352591091,0.5730202624821495,0.7,0.7099999996718346,1.6000000001456236,90.00000001175157,-0.0,0.0,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
baseline,clean_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,5,4.362124155661585,0.5838333650436671,3.3291042554787653,-1.9417952183947262,2.0431895006041034,1.9332910425547876,-1.4994179523275195,0.720431894702488,66.6987635174553,-0.15582216975081783,-90.41173017441712,1.9,-1.4800000001435722,0.699999999696447,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
