frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
0,3,9;11;13,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0000.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0000_debug.png,-4.5,0.0,2.2,0.0,0.3,0.0
1,3,9;11;13,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0001.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0001_debug.png,-4.36,0.0,2.2,0.0,0.3,-0.04000000000000001
2,3,5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0002.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0002_debug.png,-4.22,0.0,2.2,0.0,0.3,-0.08000000000000002
3,2,5;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0003.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0003_debug.png,-4.08,0.0,2.2,0.0,0.3,-0.12
4,3,5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0004.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0004_debug.png,-3.94,0.0,2.2,0.0,0.3,-0.16000000000000003
5,5,1;2;5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0005.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0005_debug.png,-3.8,0.0,2.2,0.0,0.3,-0.2
6,5,1;2;5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0006.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0006_debug.png,-3.66,0.0,2.2,0.0,0.3,-0.24
7,5,1;2;5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0007.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0007_debug.png,-3.52,0.0,2.2,0.0,0.3,-0.27999999999999997
8,5,1;2;5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0008.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0008_debug.png,-3.38,0.0,2.2,0.0,0.3,-0.32000000000000006
9,5,1;2;5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0009.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0009_debug.png,-3.24,0.0,2.2,0.0,0.3,-0.36000000000000004
