dataset,image,marker_count,ids
original,moving_frame_0000.png,0,
original,moving_frame_0001.png,0,
original,moving_frame_0002.png,3,5 6 7
original,moving_frame_0003.png,4,5 6 7 14
original,moving_frame_0004.png,3,5 6 7
original,moving_frame_0005.png,4,2 5 6 7
original,moving_frame_0006.png,6,1 2 5 6 7 14
original,moving_frame_0007.png,6,1 2 5 6 7 14
original,moving_frame_0008.png,6,1 2 5 6 7 14
original,moving_frame_0009.png,6,1 2 5 6 7 14
original,moving_frame_0010.png,6,1 2 5 6 7 14
original,moving_frame_0011.png,6,1 2 5 6 7 14
original,moving_frame_0012.png,5,1 2 5 6 14
original,moving_frame_0013.png,4,1 2 5 14
original,moving_frame_0014.png,3,1 2 5
original,moving_frame_0015.png,3,1 2 5
original,moving_frame_0016.png,2,1 2
original,moving_frame_0017.png,2,1 2
original,moving_frame_0018.png,1,1
original,moving_frame_0019.png,1,1
original,moving_frame_0020.png,1,1
original,moving_frame_0021.png,1,1
original,moving_frame_0022.png,1,1
original,moving_frame_0023.png,1,1
original,moving_frame_0024.png,1,1
original,moving_frame_0025.png,1,1
original,moving_frame_0026.png,0,
original,moving_frame_0027.png,0,
original,moving_frame_0028.png,0,
original,moving_frame_0029.png,0,
original,moving_frame_0030.png,0,
original,moving_frame_0031.png,0,
original,moving_frame_0032.png,1,1
original,moving_frame_0033.png,1,1
original,moving_frame_0034.png,1,1
original,moving_frame_0035.png,1,1
original,moving_frame_0036.png,1,1
original,moving_frame_0037.png,0,
original,moving_frame_0038.png,1,0
original,moving_frame_0039.png,1,0
original,moving_frame_0040.png,1,0
original,moving_frame_0041.png,1,0
original,moving_frame_0042.png,1,0
original,moving_frame_0043.png,1,0
original,moving_frame_0044.png,1,0
original,moving_frame_0045.png,1,0
original,moving_frame_0046.png,1,0
original,moving_frame_0047.png,1,0
original,moving_frame_0048.png,1,0
original,moving_frame_0049.png,1,0
original,moving_frame_0050.png,0,
original,moving_frame_0051.png,0,
original,moving_frame_0052.png,0,
original,moving_frame_0053.png,0,
original,moving_frame_0054.png,0,
original,moving_frame_0055.png,1,3
original,moving_frame_0056.png,1,3
original,moving_frame_0057.png,1,3
original,moving_frame_0058.png,1,3
original,moving_frame_0059.png,1,3
original,moving_frame_0060.png,1,3
original,moving_frame_0061.png,1,3
original,moving_frame_0062.png,1,3
original,moving_frame_0063.png,1,3
original,moving_frame_0064.png,0,
original,moving_frame_0065.png,1,4
original,moving_frame_0066.png,1,4
original,moving_frame_0067.png,1,4
original,moving_frame_0068.png,1,4
original,moving_frame_0069.png,1,4
original,moving_frame_0070.png,2,4 7
original,moving_frame_0071.png,2,4 7
original,moving_frame_0072.png,3,4 6 7
original,moving_frame_0073.png,2,6 7
original,moving_frame_0074.png,2,6 7
original,moving_frame_0075.png,2,6 7
original,moving_frame_0076.png,2,6 7
original,moving_frame_0077.png,3,6 7 8
original,moving_frame_0078.png,3,6 7 8
original,moving_frame_0079.png,3,6 7 8
original,moving_frame_0080.png,3,5 6 7
original,moving_frame_0081.png,3,5 6 8
original,moving_frame_0082.png,3,5 6 8
original,moving_frame_0083.png,2,5 8
original,moving_frame_0084.png,2,5 8
original,moving_frame_0085.png,2,5 8
original,moving_frame_0086.png,2,5 8
original,moving_frame_0087.png,1,8
original,moving_frame_0088.png,1,8
original,moving_frame_0089.png,1,8
original,moving_frame_0090.png,2,8 11
original,moving_frame_0091.png,2,8 11
original,moving_frame_0092.png,3,8 11 12
original,moving_frame_0093.png,2,11 12
original,moving_frame_0094.png,2,11 12
original,moving_frame_0095.png,2,11 12
original,moving_frame_0096.png,2,11 12
original,moving_frame_0097.png,2,11 12
original,moving_frame_0098.png,2,11 12
original,moving_frame_0099.png,1,12
original,moving_frame_0100.png,1,12
original,moving_frame_0101.png,1,12
original,moving_frame_0102.png,1,12
original,moving_frame_0103.png,1,12
original,moving_frame_0104.png,2,10 12
original,moving_frame_0105.png,2,10 12
original,moving_frame_0106.png,2,10 12
original,moving_frame_0107.png,2,10 12
original,moving_frame_0108.png,2,10 12
original,moving_frame_0109.png,2,10 12
original,moving_frame_0110.png,2,10 12
original,moving_frame_0111.png,2,10 12
original,moving_frame_0112.png,2,10 12
original,moving_frame_0113.png,2,10 12
original,moving_frame_0114.png,2,10 12
original,moving_frame_0115.png,2,10 12
original,moving_frame_0116.png,2,10 12
original,moving_frame_0117.png,2,10 12
original,moving_frame_0118.png,2,10 12
original,moving_frame_0119.png,2,0 10
original,moving_frame_0120.png,2,0 10
original,moving_frame_0121.png,3,0 9 10
original,moving_frame_0122.png,2,9 10
original,moving_frame_0123.png,1,10
original,moving_frame_0124.png,1,9
original,moving_frame_0125.png,1,9
original,moving_frame_0126.png,1,9
original,moving_frame_0127.png,1,9
original,moving_frame_0128.png,2,9 13
original,moving_frame_0129.png,3,9 11 13
original,moving_frame_0130.png,3,9 11 13
original,moving_frame_0131.png,3,9 11 13
original,moving_frame_0132.png,2,11 13
original,moving_frame_0133.png,3,9 11 13
original,moving_frame_0134.png,3,9 11 13
original,moving_frame_0135.png,3,9 11 13
original,moving_frame_0136.png,2,9 11
original,moving_frame_0137.png,2,9 11
original,moving_frame_0138.png,1,11
original,moving_frame_0139.png,2,9 10
original,moving_frame_0140.png,0,
original,moving_frame_0141.png,1,9
original,moving_frame_0142.png,1,9
original,moving_frame_0143.png,1,9
original,moving_frame_0144.png,1,9
original,moving_frame_0145.png,0,
original,moving_frame_0146.png,1,14
original,moving_frame_0147.png,0,
original,moving_frame_0148.png,1,14
original,moving_frame_0149.png,1,14
original,moving_frame_0150.png,1,3
original,moving_frame_0151.png,2,3 14
original,moving_frame_0152.png,2,3 14
original,moving_frame_0153.png,2,3 14
original,moving_frame_0154.png,2,3 14
original,moving_frame_0155.png,2,3 14
original,moving_frame_0156.png,2,3 14
original,moving_frame_0157.png,2,3 14
original,moving_frame_0158.png,2,3 14
original,moving_frame_0159.png,2,3 14
original,moving_frame_0160.png,3,0 3 14
original,moving_frame_0161.png,3,0 3 14
original,moving_frame_0162.png,3,0 3 14
original,moving_frame_0163.png,1,0
original,moving_frame_0164.png,1,0
original,moving_frame_0165.png,0,
original,moving_frame_0166.png,1,0
original,moving_frame_0167.png,1,0
original,moving_frame_0168.png,1,0
original,moving_frame_0169.png,0,
original,moving_frame_0170.png,0,
original,moving_frame_0171.png,1,0
original,moving_frame_0172.png,1,0
original,moving_frame_0173.png,0,
original,moving_frame_0174.png,0,
original,moving_frame_0175.png,0,
original,moving_frame_0176.png,0,
original,moving_frame_0177.png,1,1
original,moving_frame_0178.png,1,0
original,moving_frame_0179.png,2,0 1
original,moving_frame_0180.png,1,0
original,moving_frame_0181.png,2,0 1
original,moving_frame_0182.png,2,0 1
original,moving_frame_0183.png,2,0 1
original,moving_frame_0184.png,1,0
original,moving_frame_0185.png,0,
original,moving_frame_0186.png,0,
original,moving_frame_0187.png,0,
original,moving_frame_0188.png,0,
original,moving_frame_0189.png,0,
original,moving_frame_0190.png,0,
original,moving_frame_0191.png,0,
original,moving_frame_0192.png,0,
original,moving_frame_0193.png,0,
original,moving_frame_0194.png,0,
original,moving_frame_0195.png,0,
original,moving_frame_0196.png,0,
original,moving_frame_0197.png,0,
original,moving_frame_0198.png,0,
original,moving_frame_0199.png,0,
original,moving_frame_0200.png,0,
original,moving_frame_0201.png,0,
original,moving_frame_0202.png,0,
original,moving_frame_0203.png,0,
original,static_cam_edge_0.png,3,3 4 7
original,static_cam_edge_1.png,7,1 2 5 6 7 8 14
original,static_cam_edge_3.png,8,1 2 3 5 6 7 8 14
original,static_cam_edge_5.png,6,0 9 10 11 12 13
low_light_pp,moving_frame_0000.png,0,
low_light_pp,moving_frame_0001.png,0,
low_light_pp,moving_frame_0002.png,0,
low_light_pp,moving_frame_0003.png,1,14
low_light_pp,moving_frame_0004.png,0,
low_light_pp,moving_frame_0005.png,0,
low_light_pp,moving_frame_0006.png,2,1 14
low_light_pp,moving_frame_0007.png,3,1 2 14
low_light_pp,moving_frame_0008.png,2,1 14
low_light_pp,moving_frame_0009.png,3,1 2 14
low_light_pp,moving_frame_0010.png,2,1 14
low_light_pp,moving_frame_0011.png,3,1 2 14
low_light_pp,moving_frame_0012.png,3,1 2 14
low_light_pp,moving_frame_0013.png,3,1 2 14
low_light_pp,moving_frame_0014.png,2,1 2
low_light_pp,moving_frame_0015.png,2,1 2
low_light_pp,moving_frame_0016.png,2,1 2
low_light_pp,moving_frame_0017.png,2,1 2
low_light_pp,moving_frame_0018.png,1,1
low_light_pp,moving_frame_0019.png,1,1
low_light_pp,moving_frame_0020.png,1,1
low_light_pp,moving_frame_0021.png,1,1
low_light_pp,moving_frame_0022.png,1,1
low_light_pp,moving_frame_0023.png,1,1
low_light_pp,moving_frame_0024.png,1,1
low_light_pp,moving_frame_0025.png,1,1
low_light_pp,moving_frame_0026.png,0,
low_light_pp,moving_frame_0027.png,0,
low_light_pp,moving_frame_0028.png,0,
low_light_pp,moving_frame_0029.png,0,
low_light_pp,moving_frame_0030.png,0,
low_light_pp,moving_frame_0031.png,0,
low_light_pp,moving_frame_0032.png,1,1
low_light_pp,moving_frame_0033.png,1,1
low_light_pp,moving_frame_0034.png,1,1
low_light_pp,moving_frame_0035.png,1,1
low_light_pp,moving_frame_0036.png,1,1
low_light_pp,moving_frame_0037.png,1,1
low_light_pp,moving_frame_0038.png,1,0
low_light_pp,moving_frame_0039.png,1,0
low_light_pp,moving_frame_0040.png,1,0
low_light_pp,moving_frame_0041.png,1,0
low_light_pp,moving_frame_0042.png,1,0
low_light_pp,moving_frame_0043.png,1,0
low_light_pp,moving_frame_0044.png,1,0
low_light_pp,moving_frame_0045.png,1,0
low_light_pp,moving_frame_0046.png,1,0
low_light_pp,moving_frame_0047.png,1,0
low_light_pp,moving_frame_0048.png,1,0
low_light_pp,moving_frame_0049.png,1,0
low_light_pp,moving_frame_0050.png,0,
low_light_pp,moving_frame_0051.png,0,
low_light_pp,moving_frame_0052.png,0,
low_light_pp,moving_frame_0053.png,0,
low_light_pp,moving_frame_0054.png,0,
low_light_pp,moving_frame_0055.png,1,3
low_light_pp,moving_frame_0056.png,1,3
low_light_pp,moving_frame_0057.png,1,3
low_light_pp,moving_frame_0058.png,1,3
low_light_pp,moving_frame_0059.png,1,3
low_light_pp,moving_frame_0060.png,1,3
low_light_pp,moving_frame_0061.png,1,3
low_light_pp,moving_frame_0062.png,1,3
low_light_pp,moving_frame_0063.png,1,3
low_light_pp,moving_frame_0064.png,0,
low_light_pp,moving_frame_0065.png,1,4
low_light_pp,moving_frame_0066.png,1,4
low_light_pp,moving_frame_0067.png,1,4
low_light_pp,moving_frame_0068.png,1,4
low_light_pp,moving_frame_0069.png,1,4
low_light_pp,moving_frame_0070.png,2,4 7
low_light_pp,moving_frame_0071.png,2,4 7
low_light_pp,moving_frame_0072.png,3,4 6 7
low_light_pp,moving_frame_0073.png,2,6 7
low_light_pp,moving_frame_0074.png,2,6 7
low_light_pp,moving_frame_0075.png,2,6 7
low_light_pp,moving_frame_0076.png,2,6 7
low_light_pp,moving_frame_0077.png,2,6 7
low_light_pp,moving_frame_0078.png,2,6 8
low_light_pp,moving_frame_0079.png,1,6
