frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok
0,0,5.5,0.5,2.2,0.0,0.4,-2.716814693,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0000.png,True
1,0,5.468,0.5,2.2,0.0,0.41600000000000004,-2.79412434212,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0001.png,True
2,0,5.436,0.5,2.2,0.0,0.43200000000000005,-2.87143399124,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0002.png,True
3,0,5.404,0.5,2.2,0.0,0.448,-2.94874364036,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0003.png,True
4,0,5.372,0.5,2.2,0.0,0.464,-3.02605328948,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0004.png,True
5,0,5.34,0.5,2.2,0.0,0.48,-3.1033629386,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0005.png,True
6,0,5.308,0.5,2.2,0.0,0.496,-3.18067258772,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0006.png,True
7,1,5.246666666666666,0.5,2.2,0.0,0.48666666666666675,-3.1411209795333335,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0007.png,True
8,1,5.175555555555555,0.5,2.2,0.0,0.4688888888888889,-3.0626156189111113,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0008.png,True
9,1,5.104444444444444,0.5,2.2,0.0,0.45111111111111113,-2.984110258288889,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0009.png,True
10,1,5.033333333333333,0.5,2.2,0.0,0.43333333333333335,-2.9056048976666666,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0010.png,True
11,1,4.9622222222222225,0.5,2.2,0.0,0.4155555555555556,-2.8270995370444445,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0011.png,True
12,1,4.891111111111111,0.5,2.2,0.0,0.39777777777777784,-2.7485941764222224,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0012.png,True
13,1,4.819999999999999,0.5,2.2,0.0,0.38,-2.6700888158000002,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0013.png,True
14,1,4.748888888888889,0.5,2.2,0.0,0.3622222222222223,-2.591583455177778,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0014.png,True
