initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_bottleneck,pnp_reprojection_rmse_px,area_px2,distance_m
observer,moving_frame_000050,marker,14,14,moving_frame_000050,50,29.35440935546069,29.35440935546069,0.13252292078676825,3377.0,2.3822995391762856
observer,moving_frame_000046,marker,14,14,moving_frame_000046,46,28.442187541955814,28.442187541955814,0.1209228800594736,3161.5,2.475507569870158
observer,moving_frame_000120,marker,14,14,moving_frame_000120,120,27.791980040934373,27.791980040934373,0.11308299599760042,3169.5,2.673262365999603
observer,moving_frame_000044,marker,14,14,moving_frame_000044,44,26.289921749329906,26.289921749329906,0.15246726898292043,3285.0,2.5612479200275367
marker,19,observer,moving_frame_000120,19,moving_frame_000120,120,34.708804847850594,27.791980040934373,0.61384100596587,11505.0,1.4078757191483484
observer,moving_frame_000122,marker,19,19,moving_frame_000122,122,75.93607648095937,27.791980040934373,0.2426797405592736,18146.0,1.319616467065999
observer,moving_frame_000076,marker,19,19,moving_frame_000076,76,54.854753725203075,27.791980040934373,0.349002888219756,12353.0,1.2396308742101456
observer,moving_frame_000114,marker,19,19,moving_frame_000114,114,46.851556918275485,27.791980040934373,0.1656191566692402,7154.5,1.765649629933895
observer,moving_frame_000118,marker,19,19,moving_frame_000118,118,46.68888494930028,27.791980040934373,0.2801597012225406,8907.5,1.5215009232756407
observer,moving_frame_000074,marker,19,19,moving_frame_000074,74,46.352116301463184,27.791980040934373,0.25693322248712563,7857.0,1.4651051552300114
observer,moving_frame_000116,marker,19,19,moving_frame_000116,116,43.05965926304831,27.791980040934373,0.26889391306644367,7830.5,1.6290974351159455
observer,moving_frame_000070,marker,19,19,moving_frame_000070,70,36.192496962910035,27.791980040934373,0.14668227009386778,4308.0,1.9022439487260157
observer,moving_frame_000072,marker,19,19,moving_frame_000072,72,30.967017966230944,27.791980040934373,0.3521364184741952,5474.5,1.7079047522990822
observer,moving_frame_000066,marker,19,19,moving_frame_000066,66,30.113711372100404,27.791980040934373,0.15824510331253838,3624.0,2.2205355507980133
marker,2,observer,moving_frame_000114,2,moving_frame_000114,114,49.36696953160505,27.791980040934373,0.22739507431090406,10210.0,1.8459303119735275
marker,0,observer,moving_frame_000074,0,moving_frame_000074,74,35.442735569823085,27.791980040934373,0.08317146041262043,4305.5,2.489890739225449
marker,16,observer,moving_frame_000066,16,moving_frame_000066,66,53.5490233335594,27.791980040934373,0.1032393212213879,7591.0,1.786968731769183
observer,moving_frame_000106,marker,2,2,moving_frame_000106,106,42.35383344728449,27.791980040934373,0.12349708177795916,6087.0,2.129757018118423
observer,moving_frame_000110,marker,2,2,moving_frame_000110,110,41.15655502473057,27.791980040934373,0.10606926115736176,5481.0,2.161984019077594
observer,moving_frame_000104,marker,2,2,moving_frame_000104,104,33.79325629710403,27.791980040934373,0.330418846267551,7325.5,2.0474987020042916
observer,moving_frame_000108,marker,2,2,moving_frame_000108,108,33.40731845481914,27.791980040934373,0.21065039819556874,5304.0,2.212306445050341
observer,moving_frame_000112,marker,2,2,moving_frame_000112,112,31.949462352017374,27.791980040934373,0.295705265766604,6021.0,2.092746497622031
observer,cam_edge_1,marker,2,2,cam_edge_1,static,15.6329583956338,15.6329583956338,0.20013423151238488,1824.0,3.5976855054744283
observer,moving_frame_000078,marker,0,0,moving_frame_000078,78,43.59012794221678,27.791980040934373,0.08106657745134407,5513.0,2.1242319755006602
observer,moving_frame_000082,marker,0,0,moving_frame_000082,82,39.627445655827145,27.791980040934373,0.37526395582050726,9394.0,1.6722998650395147
observer,moving_frame_000080,marker,0,0,moving_frame_000080,80,32.1337195923529,27.791980040934373,0.3787072241857697,7007.0,1.8781138415644858
observer,moving_frame_000084,marker,0,0,moving_frame_000084,84,11.790735185211098,11.790735185211098,0.2625076288175368,13131.0,1.4870993287355034
observer,moving_frame_000062,marker,16,16,moving_frame_000062,62,44.44704736337195,27.791980040934373,0.0416397749393781,4920.0,2.115480618570902
observer,moving_frame_000064,marker,16,16,moving_frame_000064,64,39.326478967774435,27.791980040934373,0.17276764241800432,5691.0,1.9452282015543216
observer,moving_frame_000056,marker,16,16,moving_frame_000056,56,38.06751956781426,27.791980040934373,0.048163015066317476,4221.0,2.4131863909291535
observer,moving_frame_000068,marker,16,16,moving_frame_000068,68,31.370276468757194,27.791980040934373,0.16607678429602332,11803.0,1.6217620278358025
observer,moving_frame_000052,marker,16,16,moving_frame_000052,52,30.276214061045746,27.791980040934373,0.1645715432994724,4400.5,2.609962070376281
observer,moving_frame_000054,marker,16,16,moving_frame_000054,54,22.155468664898297,22.155468664898297,0.31674718930180584,3810.0,2.581983681274742
observer,moving_frame_000028,marker,16,16,moving_frame_000028,28,15.445225381193605,15.445225381193605,0.09818126622707495,1545.0,4.452909413803334
observer,moving_frame_000022,marker,16,16,moving_frame_000022,22,13.010700831214908,13.010700831214908,0.0005002771295116123,900.0,5.306061443937078
