initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_bottleneck,pnp_reprojection_rmse_px,area_px2,distance_m
observer,moving_frame_000120,marker,14,14,moving_frame_000120,120,27.791980040934373,27.791980040934373,0.11308299599760042,3169.5,2.673262365999603
observer,moving_frame_000048,marker,14,14,moving_frame_000048,48,21.165830587285622,21.165830587285622,0.31653552075400865,3256.5,2.419636498218137
marker,19,observer,moving_frame_000120,19,moving_frame_000120,120,34.708804847850594,27.791980040934373,0.61384100596587,11505.0,1.4078757191483484
marker,3,observer,moving_frame_000048,3,moving_frame_000048,48,26.10074662813446,21.165830587285622,0.12783800091445155,2588.0,2.3478563225891502
observer,moving_frame_000072,marker,19,19,moving_frame_000072,72,30.967017966230944,27.791980040934373,0.3521364184741952,5474.5,1.7079047522990822
observer,cam_edge_3,marker,19,19,cam_edge_3,static,25.178157788771355,25.178157788771355,0.016647152282941655,2079.0,3.069909646884428
observer,cam_edge_0,marker,3,3,cam_edge_0,static,18.33153824743589,18.33153824743589,0.2501329859149684,2478.0,3.0191078343462854
marker,0,observer,moving_frame_000072,0,moving_frame_000072,72,24.866538994916766,24.866538994916766,0.2349902332162037,3898.5,2.710271264032932
marker,1,observer,cam_edge_3,1,cam_edge_3,static,27.831654891560927,25.178157788771355,0.3643846771493961,8775.0,1.3811741570838951
marker,2,observer,cam_edge_3,2,cam_edge_3,static,22.66096287609206,22.66096287609206,0.3292475173885345,4155.5,2.5920485786031056
marker,4,observer,cam_edge_0,4,cam_edge_0,static,29.561155734243147,18.33153824743589,0.17216158635105214,4132.5,2.5050713755995706
observer,moving_frame_000080,marker,0,0,moving_frame_000080,80,32.1337195923529,24.866538994916766,0.3787072241857697,7007.0,1.8781138415644858
observer,moving_frame_000064,marker,0,0,moving_frame_000064,64,21.962734655692945,21.962734655692945,0.09591541521974327,2409.0,3.4622293013094114
observer,moving_frame_000096,marker,1,1,moving_frame_000096,96,89.09527237881078,25.178157788771355,0.17087730602206327,15080.0,1.0107563244875473
observer,moving_frame_000104,marker,2,2,moving_frame_000104,104,33.79325629710403,22.66096287609206,0.330418846267551,7325.5,2.0474987020042916
observer,moving_frame_000112,marker,2,2,moving_frame_000112,112,31.949462352017374,22.66096287609206,0.295705265766604,6021.0,2.092746497622031
