frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok
0,0,5.5,0.5,2.2,0.0,0.4,-2.716814693,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0000.png,True
8,1,5.033333333333333,0.5,2.2,0.0,0.43333333333333335,-2.9056048976666666,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0008.png,True
16,2,4.388888888888889,0.3888888888888889,2.2,0.0,0.3,-2.5000986843333335,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0016.png,True
24,3,3.857142857142857,0.0,2.2,0.0,0.2857142857142857,-3.195764607285714,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0024.png,True
32,3,2.7142857142857144,0.0,2.2,0.0,0.17142857142857143,-3.6291402335714285,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0032.png,True
40,4,1.875,0.0,2.2,0.0,0.275,-3.80420367325,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0040.png,True
48,4,1.5416666666666667,0.0,2.2,0.0,0.7416666666666667,-3.548746801916667,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0048.png,True
56,7,1.2,0.0,2.2,0.0,0.5,-3.141592654,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0056.png,True
64,8,0.7,0.0,2.2,0.0,0.5,-3.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0064.png,True
72,9,-0.09999999999999999,0.0857142857142857,2.2,0.0,0.5,-3.6202417142857146,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/bus_real_data/ablation/moving_cam/density/density_stride_8_12p5pct/raw_images/moving/frame_0072.png,True
