observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0000.png,5,0.17,929.46709573,929.46709573,640.0,360.0,True,2.6253201221775755,-0.07479172835299214,0.4137634773644448,0.932213452218322,0.4733645852414095,7.219007357480295,7.294324038484457,760.0,421.0,400.0,748.0,411.0,768.0,411.0,772.0,431.0,752.0,431.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0000.png,6,0.17,929.46709573,929.46709573,640.0,360.0,True,2.7759598307222912,0.052239811418884896,-0.3606687915388479,-0.5063746121065642,0.22515845780879368,7.907244170505567,7.926640016482595,580.5,386.5,361.0,572.0,377.0,591.0,377.0,589.0,396.0,570.0,396.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0000.png,7,0.17,929.46709573,929.46709573,640.0,360.0,True,2.6534884727567354,0.07670181996237813,-0.36945179007429424,-0.9019648579683306,0.21443249240275197,7.534257728299912,7.591084337250828,528.75,386.5,370.5,521.0,377.0,540.0,377.0,537.0,396.0,517.0,396.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0000.png,4,0.17,929.46709573,929.46709573,640.0,360.0,True,-2.1043282397920464,-0.46052966932057915,-0.0483950990878201,-0.7253972341414627,-0.23955750009963123,1.6537170055868018,1.8216390635142425,231.75,224.0,5541.5,183.0,176.0,280.0,215.0,281.0,265.0,183.0,240.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0001.png,5,0.17,929.46709573,929.46709573,640.0,360.0,True,2.6253201221775755,-0.07479172835299214,0.4137634773644448,0.932213452218322,0.4733645852414095,7.219007357480295,7.294324038484457,760.0,421.0,400.0,748.0,411.0,768.0,411.0,772.0,431.0,752.0,431.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0001.png,6,0.17,929.46709573,929.46709573,640.0,360.0,True,2.7759598307222912,0.052239811418884896,-0.3606687915388479,-0.5063746121065642,0.22515845780879368,7.907244170505567,7.926640016482595,580.5,386.5,361.0,572.0,377.0,591.0,377.0,589.0,396.0,570.0,396.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0001.png,7,0.17,929.46709573,929.46709573,640.0,360.0,True,2.6534884727567354,0.07670181996237813,-0.36945179007429424,-0.9019648579683306,0.21443249240275197,7.534257728299912,7.591084337250828,528.75,386.5,370.5,521.0,377.0,540.0,377.0,537.0,396.0,517.0,396.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0001.png,4,0.17,929.46709573,929.46709573,640.0,360.0,True,-2.1043282397920464,-0.46052966932057915,-0.0483950990878201,-0.7253972341414627,-0.23955750009963123,1.6537170055868018,1.8216390635142425,231.75,224.0,5541.5,183.0,176.0,280.0,215.0,281.0,265.0,183.0,240.0
moving,moving_frame_000008,moving_calib_camera,8,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0008.png,2,0.17,929.46709573,929.46709573,640.0,360.0,True,-3.0531914443657824,0.18242425688275632,-0.14097631364369886,-0.11755739911942593,-0.07052519917400474,12.493409268540706,12.494161384305274,631.25,354.75,158.5,624.0,349.0,637.0,348.0,638.0,360.0,626.0,362.0
moving,moving_frame_000008,moving_calib_camera,8,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0008.png,1,0.17,929.46709573,929.46709573,640.0,360.0,True,1.9167962000574021,-0.2832193590515327,0.2283341758362923,0.17436590175462377,-0.09800672653747682,6.483350518960649,6.486435287417012,665.0,346.0,200.0,650.0,343.0,672.0,341.0,681.0,349.0,657.0,351.0
moving,moving_frame_000009,moving_calib_camera,9,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0009.png,2,0.17,929.46709573,929.46709573,640.0,360.0,True,2.8398277517298443,-0.1893865293691036,-0.15897568959994,-0.18271979777527275,-0.06827068271574677,11.50927969817379,11.51093248096838,625.25,354.5,178.5,618.0,349.0,631.0,347.0,633.0,360.0,619.0,362.0
moving,moving_frame_000010,moving_calib_camera,10,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0010.png,2,0.17,929.46709573,929.46709573,640.0,360.0,True,3.1363737421644067,-0.22289521177905375,-6.862502709275834e-07,-0.24041630713757844,-0.06010407748447769,11.172952195101603,11.175700123701139,620.0,355.0,200.0,612.0,349.0,626.0,347.0,628.0,361.0,614.0,363.0
moving,moving_frame_000010,moving_calib_camera,10,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_140deg_extreme/raw_images/moving/frame_0010.png,1,0.17,929.46709573,929.46709573,640.0,360.0,True,1.981722848921636,-0.3695197654945154,0.2527549749798772,0.14447072603680672,-0.04563847341581201,5.595841656526458,5.597892327104381,664.0,352.5,330.0,646.0,349.0,671.0,345.0,683.0,356.0,656.0,360.0
