observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
static,cam_edge_0,cam_edge_0,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_0.png,3,0.17,929.03515625,929.0380859375,636.6603393554688,365.6862487792969,True,-2.76256349899677,-0.028219715778818037,-0.03543475641281719,-0.5728538039815858,0.5965785985518353,2.966971704844008,3.0800955508443573,457.25,552.25,2433.0,429.0,529.0,483.0,530.0,485.0,575.0,432.0,575.0
static,cam_edge_0,cam_edge_0,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_0.png,7,0.17,929.03515625,929.0380859375,636.6603393554688,365.6862487792969,True,2.216938438747998,0.9001879335792523,-2.0068710350726433,1.3558746853228,0.20183682459736169,2.5199646910419746,2.8686854672760873,1137.25,440.25,2726.5,1140.0,401.0,1173.0,429.0,1133.0,481.0,1103.0,450.0
static,cam_edge_0,cam_edge_0,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_0.png,4,0.17,929.03515625,929.0380859375,636.6603393554688,365.6862487792969,True,-2.77058332398758,-0.04372985369397898,0.01296888827582298,0.07244981948858947,-0.519982893561705,2.486406114159564,2.5412293384247704,663.75,171.0,4069.0,633.0,138.0,697.0,140.0,694.0,204.0,631.0,202.0
static,cam_edge_1,cam_edge_1,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_1.png,14,0.17,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,True,1.1035950047886993,-1.7324093582140452,1.341320658868141,-1.286722386236238,1.0254931663920932,4.335222705430527,4.636965240244824,379.25,573.75,622.5,363.0,585.0,358.0,570.0,395.0,562.0,401.0,578.0
static,cam_edge_1,cam_edge_1,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_1.png,2,0.17,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,True,2.9514078542707605,-0.2220512509511339,0.5709168728748207,0.13478863216370732,0.4960341724889731,3.6151700551872765,3.6515301455088878,689.75,481.25,1774.5,666.0,463.0,706.0,456.0,713.0,499.0,674.0,507.0
static,cam_edge_1,cam_edge_1,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_1.png,1,0.17,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,True,1.8177279223165173,-0.40559962786139664,0.27661057119007787,0.6289509691951304,0.2537478273033637,2.3893291801085814,2.4837192297904807,900.25,452.75,1692.5,853.0,447.0,905.0,436.0,949.0,458.0,894.0,470.0
static,cam_edge_1,cam_edge_1,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_1.png,5,0.17,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,True,2.935079685285978,-0.2331420565804293,0.6103730257439258,-0.780635021312917,-0.32264018356545837,6.555287852953594,6.609484591073067,544.5,307.75,550.5,531.0,297.0,554.0,295.0,558.0,318.0,535.0,321.0
static,cam_edge_1,cam_edge_1,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_1.png,7,0.17,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,True,-2.803543675140528,0.0911990598209096,-0.6085861390987047,-2.647367373250276,-0.3654639668833167,5.839780666392598,6.422239185176221,233.75,295.25,790.5,217.0,283.0,247.0,281.0,250.0,307.0,221.0,310.0
static,cam_edge_1,cam_edge_1,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_1.png,6,0.17,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,True,-2.802583270896597,0.08324565490310419,-0.2521419590868157,-2.18742198071485,-0.4144456605080812,5.890268944566905,6.296971364597252,310.0,288.0,736.0,294.0,276.0,322.0,274.0,326.0,300.0,298.0,302.0
static,cam_edge_1,cam_edge_1,static,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_60deg/raw_images/static/cam_edge_1.png,8,0.17,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,True,2.9746715255435245,-0.23524242862365247,0.5915348973914898,-1.5574011488720236,-0.7728284130829889,7.012360412161704,7.224677200029697,448.75,251.0,502.0,436.0,241.0,458.0,239.0,462.0,261.0,439.0,263.0
