observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0000.png,5,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,-2.560203887459002,-2.0624365157926444e-12,-0.6872441756862777,-3.5343218132046266,-3.4139141012568,13.167439965467711,14.05445535815068,781.0,238.0,576.0,769.0,226.0,793.0,226.0,793.0,250.0,769.0,250.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0000.png,7,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.0836716292151003,-0.003943822280235229,0.012611856782273312,-5.629667950250529,-3.791850058612635,13.49041795545708,15.101743763883608,504.25,197.5,540.5,493.0,186.0,516.0,186.0,516.0,209.0,492.0,209.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0000.png,6,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.078397065851677,-0.03260815182015054,0.10369811783437839,-5.169296141725401,-3.788217777795598,13.4774902027827,14.923637582672914,567.0,197.5,552.0,555.0,186.0,579.0,186.0,579.0,209.0,555.0,209.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0001.png,5,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,-2.560203887459002,-2.0624365157926444e-12,-0.6872441756862777,-3.5343218132046266,-3.4139141012568,13.167439965467711,14.05445535815068,781.0,238.0,576.0,769.0,226.0,793.0,226.0,793.0,250.0,769.0,250.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0001.png,7,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.0836716292151003,-0.003943822280235229,0.012611856782273312,-5.629667950250529,-3.791850058612635,13.49041795545708,15.101743763883608,504.25,197.5,540.5,493.0,186.0,516.0,186.0,516.0,209.0,492.0,209.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0001.png,6,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.078397065851677,-0.03260815182015054,0.10369811783437839,-5.169296141725401,-3.788217777795598,13.4774902027827,14.923637582672914,567.0,197.5,552.0,555.0,186.0,579.0,186.0,579.0,209.0,555.0,209.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0002.png,5,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,-2.560203887459002,-2.0624365157926444e-12,-0.6872441756862777,-3.5343218132046266,-3.4139141012568,13.167439965467711,14.05445535815068,781.0,238.0,576.0,769.0,226.0,793.0,226.0,793.0,250.0,769.0,250.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0002.png,7,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.0836716292151003,-0.003943822280235229,0.012611856782273312,-5.629667950250529,-3.791850058612635,13.49041795545708,15.101743763883608,504.25,197.5,540.5,493.0,186.0,516.0,186.0,516.0,209.0,492.0,209.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0002.png,6,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.078397065851677,-0.03260815182015054,0.10369811783437839,-5.169296141725401,-3.788217777795598,13.4774902027827,14.923637582672914,567.0,197.5,552.0,555.0,186.0,579.0,186.0,579.0,209.0,555.0,209.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0003.png,5,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.093433032964677,-0.07622491136402267,0.26664304603941935,-3.8590030913591336,-3.6250067470098997,13.599633375925457,14.593923623706281,752.5,224.5,552.0,740.0,213.0,764.0,213.0,765.0,236.0,741.0,236.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0003.png,6,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.1415854759136668,-1.7182627418112881e-06,5.9590732561456e-06,-5.284170350105185,-3.796669348817622,13.167460011723023,14.687380896317316,534.0,184.0,576.0,522.0,172.0,546.0,172.0,546.0,196.0,522.0,196.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0003.png,7,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.0866972107779933,-0.036428396349374656,0.012201213507074643,-5.762925719011546,-3.807045293552462,13.209504539180127,14.906237515906724,469.0,184.25,564.0,457.0,173.0,481.0,172.0,481.0,196.0,457.0,196.0
moving,moving_frame_000004,moving_calib_camera,4,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0004.png,5,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.1359320058964517,-0.03357249263132997,0.12180640059938175,-3.9322984223361517,-3.601552267784473,13.153332533484619,14.193107706077473,724.25,211.0,588.0,712.0,199.0,736.0,199.0,737.0,223.0,712.0,223.0
moving,moving_frame_000004,moving_calib_camera,4,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0004.png,6,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.0874759696672847,-0.031071111702947865,0.09586894563607617,-5.4282524622080235,-3.8231590861778546,12.94526081444137,14.548616695260172,500.5,171.0,600.0,488.0,159.0,513.0,159.0,513.0,183.0,488.0,183.0
moving,moving_frame_000004,moving_calib_camera,4,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0004.png,7,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,-2.3816070078056764,0.0,-1.084508749111955,-5.755798202415025,-3.7295394799167263,12.640752871410797,14.381491954427462,433.5,171.5,625.0,421.0,159.0,446.0,159.0,446.0,184.0,421.0,184.0
moving,moving_frame_000005,moving_calib_camera,5,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0005.png,5,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.13684039572023,-0.06425764740006124,0.11441359881475817,-4.047338081402501,-3.619425878005169,12.883240570213951,13.980667967645575,696.0,197.75,613.0,683.0,186.0,708.0,185.0,709.0,210.0,684.0,210.0
moving,moving_frame_000005,moving_calib_camera,5,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0005.png,6,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,-2.408448327678986,0.026998577655234595,-0.9626313456458304,-5.433017653526178,-3.7550156988038115,12.415910159052277,14.063166385968977,466.5,157.75,663.5,453.0,145.0,479.0,145.0,480.0,170.0,454.0,171.0
moving,moving_frame_000005,moving_calib_camera,5,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0005.png,7,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,3.099605466021493,-0.05816418607978133,0.08974806865852482,-5.80477045354901,-3.6907026654479727,12.224017518514668,14.026519542498555,397.25,158.75,676.0,384.0,146.0,410.0,146.0,411.0,171.0,384.0,172.0
moving,moving_frame_000006,moving_calib_camera,6,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_69deg_baseline/raw_images/moving/frame_0006.png,14,0.17,1858.934191458762,1858.934191458762,1280.0,720.0,True,1.4962011508593662,-1.8852576978168523,1.0361134848127618,-4.333673317882663,-1.519858387343579,9.338177216843816,10.406356119069137,417.25,417.5,540.5,397.0,426.0,401.0,411.0,437.0,409.0,434.0,424.0
