observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0000.png,6,0.17,929.46709573,929.46709573,640.0,360.0,True,2.7375569952781063,0.0163126307337264,-0.133715776062579,-0.49846667834768404,0.2264706206919653,2.837226008026263,2.889569066847204,476.75,434.5,2888.5,453.0,408.0,506.0,408.0,502.0,461.0,446.0,461.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0000.png,7,0.17,929.46709573,929.46709573,640.0,360.0,True,2.6808954322552223,0.025313057089837856,-0.08879410913282294,-0.920022457178878,0.22291765288296855,2.80381028191374,2.959304935055784,335.0,434.25,2892.5,313.0,408.0,367.0,408.0,358.0,461.0,302.0,460.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0001.png,6,0.17,929.46709573,929.46709573,640.0,360.0,True,2.7375569952781063,0.0163126307337264,-0.133715776062579,-0.49846667834768404,0.2264706206919653,2.837226008026263,2.889569066847204,476.75,434.5,2888.5,453.0,408.0,506.0,408.0,502.0,461.0,446.0,461.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0001.png,7,0.17,929.46709573,929.46709573,640.0,360.0,True,2.6808954322552223,0.025313057089837856,-0.08879410913282294,-0.920022457178878,0.22291765288296855,2.80381028191374,2.959304935055784,335.0,434.25,2892.5,313.0,408.0,367.0,408.0,358.0,461.0,302.0,460.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0002.png,5,0.17,929.46709573,929.46709573,640.0,360.0,True,-2.946301147019771,-3.11211114311119e-14,0.3074785759333078,1.0304752482266026,-0.8923702831639052,9.875588522735413,9.969225277315442,737.0,276.0,256.0,729.0,268.0,745.0,268.0,745.0,284.0,729.0,284.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0002.png,6,0.17,929.46709573,929.46709573,640.0,360.0,True,-2.8979037129165133,4.023798196784486e-14,-0.15589059967872979,-0.5311726592208873,-1.1898267890247758,9.875588522735686,9.961178687895003,590.0,248.0,256.0,582.0,240.0,598.0,240.0,598.0,256.0,582.0,256.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0002.png,7,0.17,929.46709573,929.46709573,640.0,360.0,True,-2.8882236866105035,-6.067421032172841e-14,-0.2920953612113549,-0.9986056608873161,-1.1898280293091665,9.875588522735367,9.99700718593662,546.0,248.0,256.0,538.0,240.0,554.0,240.0,554.0,256.0,538.0,256.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0003.png,5,0.17,929.46709573,929.46709573,640.0,360.0,True,2.955294742228264,-0.015865688596139123,0.08044316000175364,0.7500181940980262,-0.9728060259683637,9.516486696963772,9.595436306345162,713.25,265.0,264.0,705.0,257.0,721.0,257.0,722.0,273.0,705.0,273.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0003.png,6,0.17,929.46709573,929.46709573,640.0,360.0,True,2.912003328722705,-0.019097577982339402,0.07609976800614271,-0.7772761155376792,-1.2338432996101107,9.322463036584551,9.435827707003948,562.5,237.0,272.0,554.0,229.0,571.0,229.0,571.0,245.0,554.0,245.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_90deg/raw_images/moving/frame_0003.png,7,0.17,929.46709573,929.46709573,640.0,360.0,True,2.9224282061385107,-0.02890817311606986,0.1181394792317262,-1.2339711278342476,-1.2392282053078276,9.363222066167491,9.525140353271693,517.5,237.0,272.0,509.0,229.0,526.0,229.0,526.0,245.0,509.0,245.0
