entity_type,entity_id,distance_from_ref14_m,x_world_m,y_world_m,z_world_m
static_camera,cam_edge_0,2.841104,0.636423,-1.271006,2.528467
static_camera,cam_edge_1,4.621125,-4.082467,0.971435,2.513292
static_camera,cam_edge_3,4.197041,-3.302164,-1.085678,2.448533
static_camera,cam_edge_5,6.391740,5.999649,0.815786,2.581473
aruco_marker,marker_000,2.779526,-2.686544,0.550967,1.111090
aruco_marker,marker_001,2.820167,-2.309686,-0.546652,1.634184
aruco_marker,marker_002,1.697889,-1.137512,-0.543656,1.106877
aruco_marker,marker_003,0.830364,0.096675,1.222927,0.796906
aruco_marker,marker_004,1.918831,0.703540,1.218381,2.034280
aruco_marker,marker_005,2.561411,1.944673,-0.993675,1.140277
aruco_marker,marker_006,2.242670,2.003183,0.518717,1.408204
aruco_marker,marker_007,2.285629,2.000276,0.960868,1.405285
aruco_marker,marker_008,3.079021,2.701254,-0.523603,1.465757
aruco_marker,marker_009,3.288457,3.124412,0.472690,1.425307
aruco_marker,marker_010,3.611805,3.112711,-1.003735,1.446398
aruco_marker,marker_011,4.304297,4.112536,-0.025524,1.556652
aruco_marker,marker_012,4.532052,4.138366,-1.017390,1.454017
aruco_marker,marker_013,4.268901,4.171475,0.709063,1.282388
aruco_marker,aruco_ref_floor_14,0.000000,0.000000,0.500000,0.400000
