point3d_id,x_ref_aruco_m,y_ref_aruco_m,z_ref_aruco_m,r,g,b,colmap_reprojection_error
3366,0.8151651043968942,0.14873546839537694,0.9443812179364635,121,121,121,0.11371276709043722
8453,-0.046200087349386854,-0.12339295246425808,0.8561103245538617,228,228,228,0.42181950703147747
3365,0.7869866440195049,0.150233412606448,0.9547332546843901,48,52,64,0.2137106373985782
8452,-0.046200087349386854,-0.12339295246425808,0.8561103245538617,228,228,228,0.42181950703147747
3364,0.7870008071932919,0.1501030613528727,0.9548107446846237,48,52,64,0.22036740629267784
3362,0.7983176150778741,0.14922061458541186,0.9558099732252678,42,49,62,0.2230787384402309
3361,0.7983176150778741,0.14922061458541186,0.9558099732252678,42,49,62,0.2230787384402309
3360,0.8985830384906116,0.1446355680027746,0.9469531517137896,37,42,57,0.09978510249092214
3358,0.94627732933639,0.14258068341687763,0.9460597506432398,122,122,122,0.1283171742505325
3357,0.9433866552374952,0.1434084310439248,0.9461918368571363,112,113,114,0.025156705365966925
8444,3.4710027199987237,-1.0861037797641768,1.0633022341588718,0,0,0,0.5413102042611522
3355,0.9306369689383619,0.14334945379848202,0.9501241102802911,123,123,124,0.06246944427931846
3354,0.785242371183048,0.14930292056367095,0.965730182340798,119,120,120,0.1558610603709998
3353,0.7961526727096484,0.14884817158665115,0.9652592448415571,111,118,124,0.09518996573313113
8440,0.1178986824067545,-0.5654148249775918,0.756150875970666,110,115,132,0.3192077809827833
3352,0.7934966488517896,0.1492161634671168,0.9652238756273906,111,117,123,0.138466661381475
3351,0.9423202501717742,0.13968721942029144,0.9526853901305049,113,113,114,0.2622012482075475
8438,2.717436973305018,-0.8525732106497576,1.0927752459734967,0,0,0,0.39348793218624695
3350,0.9431418324468801,0.14398411317020948,0.9492702728569786,113,113,114,0.24162973907948584
8437,2.717436973305018,-0.8525732106497576,1.0927752459734967,0,0,0,0.39348793218624695
3349,0.8154952551908979,0.14106235556370278,0.9726674914350097,9,25,45,0.14353170252612377
