marker_id,entity_id,corner_idx,x_colmap,y_colmap,z_colmap,target_x_ref14_m,target_y_ref14_m,target_z_ref14_m,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,used_for_sim3,registered_x_ref14_m,registered_y_ref14_m,registered_z_ref14_m,corner_fit_error_cm
0,marker_000,0,-2.589340286296702,0.8686823657121296,6.316752619813451,-2.5831005588238014,-0.10500000028212902,0.8582901844687094,19,19,0.8051178404772175,0.6728629440391056,2.13553427210529,yes,1.4436146077371579,-0.7135705539154574,-0.05790489202345839,417.42312549198937
0,marker_000,1,-2.386724132374137,0.48737891242678344,6.468035600287436,-2.583100559368669,0.06499999971787099,0.858290184503577,19,19,0.5857441365705172,0.5337215403554192,1.2049219942253404,yes,1.397647768341748,-0.6434723951105057,-0.06575096341683406,414.7546554995279
0,marker_000,2,-2.032047773558563,0.7376430672829625,6.615196944850447,-2.5168994411761982,0.0649999999621676,0.7017098155230865,19,19,0.41953301017070166,0.42722207997751804,0.8014674855964158,yes,1.4685529509439597,-0.5978507506505152,-0.06795078152213252,411.28553733492856
0,marker_000,3,-2.2325272803868366,1.1189783822408794,6.458219173999661,-2.5168994406313305,-0.10500000003783241,0.701709815488219,19,19,0.4881617114553866,0.5050978095696953,0.7993685383575062,yes,1.5145596643624797,-0.6680106619982349,-0.05898785699941489,414.10511310109035
1,marker_001,0,-2.593118701630307,-3.1916273485907594,-0.3827257612279994,-2.1649999997275664,-0.940000000524711,1.229999999534769,24,16,1.030635031042607,0.7204159250774094,3.3757041780707984,yes,0.6202253306672807,-0.8642285380533878,1.1157101176976998,278.85988655036886
1,marker_001,1,-2.5931423320019933,-3.1915807554584896,-0.38280193061143303,-2.1650000002724337,-1.110000000524711,1.2299999994999014,24,14,1.367101854360379,1.2994446565789985,2.791848719646186,yes,0.6202298040241764,-0.864240854199776,1.1157209424629355,279.8385663846524
1,marker_001,2,-2.5932277353994775,-3.1916258528678463,-0.3827759498562693,-2.3350000002724336,-1.1099999999798433,1.230000000044769,24,15,1.7622443817215327,1.817682018175662,4.8373800215738045,yes,0.6202165780526913,-0.8642488033745115,1.115710913371386,296.76186868890767
1,marker_001,3,-2.5932052580117766,-3.1916728954436357,-0.3827025789236954,-2.3349999997275663,-0.9399999999798434,1.2300000000796367,24,12,1.5434391338359357,1.2251296200278157,3.864008759926638,yes,0.6202118859492061,-0.8642368207585747,1.1157004860236661,295.8391746791558
2,marker_002,0,-2.5923376685378607,-3.190884962406251,-0.3827730043250777,-1.066899440631331,-0.9400000002657207,0.7782901842974482,14,11,0.9697277068974259,0.9597709636960691,1.9351480466181654,yes,0.6204056519721809,-0.8641677299282093,1.1157665113224915,172.23934742249233
2,marker_002,1,-2.592397342416424,-3.1908548748828274,-0.38287127253348424,-1.0668994411761985,-1.1100000002657207,0.7782901842625807,14,11,0.38088428071585556,0.3436738161077823,0.6414569221690992,yes,0.6204042646482437,-0.8641858402233403,1.115778689646725,173.8193570415177
2,marker_002,2,-2.5924685765484328,-3.1907843741086346,-0.38280140945415625,-1.1331005593686692,-1.110000000021424,0.6217098152820902,14,11,1.03242390861166,0.7529854185877073,4.10487914118991,yes,0.6204123840665451,-0.8641973306648948,1.1157611556155287,183.82908697871756
2,marker_002,3,-2.5924312965283947,-3.1908408668541433,-0.3827010065376024,-1.1331005588238017,-0.9400000000214241,0.6217098153169578,14,11,0.4112901514549981,0.43007143656343244,0.6391974032340451,yes,0.6204077594337999,-0.8641805254396671,1.1157472750177628,182.33521400190585
3,marker_003,0,4.10578867782111,0.29580329229597463,3.0230100382598035,0.015,0.7099999999005248,0.4850000001456235,20,13,0.4434280893882117,0.32149659816024706,1.2859733560795683,yes,1.7649426935000911,0.13333749927341587,0.979296030878015,190.76602517643602
3,marker_003,1,4.444013904045182,0.3394554166644691,2.711358084341408,0.185,0.7099999999005248,0.4850000001456235,20,13,0.6006039260789992,0.5009813464754026,1.9596728720590333,yes,1.790260280631092,0.16077660140677008,1.0556707267155316,179.00201083196436
