point3d_id,x_ref_aruco_m,y_ref_aruco_m,z_ref_aruco_m,r,g,b,colmap_reprojection_error
8035,-2.7083399924612257,0.7690854207968696,0.868906658073527,9,9,9,0.9537594487778095
8005,1.9377721492134528,0.7631610537327611,0.8984784770827996,6,20,42,0.18454958352333917
8002,0.6416379282281216,0.7645825413617691,1.4380463943229915,141,141,141,1.0812829606203442
7994,-0.5340264011313199,0.5851717012806905,1.1564507310958982,108,114,121,0.13363523454403975
7993,-0.5340710841707815,0.5852977015203669,1.1563921998394808,108,114,121,0.1444122048237189
7990,-0.5012201340093002,0.7174058687511822,1.240174658011414,0,0,0,0.663241536224132
7970,-0.5117238722270933,0.586070217336274,1.2725552350863223,115,115,117,0.032547317780051856
7969,-0.5025295157388594,0.5855687683744737,1.2730188666777813,119,120,120,0.04876898508103614
7968,-0.5051236066253023,0.5883838297859825,1.2746708578685317,17,27,47,0.05433888264001584
7960,-1.7179540124702755,0.5929396208497275,1.1159955721422876,5,44,15,0.324751124136782
7957,-2.5478990022243897,0.049215614139790476,0.11164550754601588,0,0,0,2.456728147196541
7956,-2.5478990022243897,0.049215614139790476,0.11164550754601588,0,0,0,2.456728147196541
7923,-0.5836791949599983,0.5834627359338365,1.5201439786874502,87,93,104,0.09833396755984308
7913,-0.5152403026284852,0.5825984089801661,1.5027426844583927,84,90,102,0.02289510718251117
7912,-0.5152403026284852,0.5825984089801661,1.5027426844583927,84,90,102,0.02289510718251117
7909,0.016576358318357798,0.701092143694839,0.4835879999377868,0,0,0,0.00403656525750043
7908,-0.5213946936031768,0.5863114539072452,1.2726999372153693,55,59,69,0.2136739845314879
7896,2.318315017277857,0.7575150094439069,-0.02781587578339728,231,231,231,0.7824139403112215
7889,1.5392550394564117,0.7640368691937098,0.8782431581317606,9,9,9,0.4509486825996727
7888,1.611189794931856,0.7397417883774093,0.8960933702261433,10,10,10,0.2603607149489061
7878,1.7049349411136199,0.7044050433019264,0.17179513877097197,122,122,122,0.10520851751509601
7868,-0.5134701838083974,0.5840134116189288,1.3290737432162247,12,89,38,0.08960539302236935
7850,-0.8026830790023047,0.5823571157843968,1.0936977650755968,66,69,77,0.24315365908246944
7847,0.06421478055121199,0.7067731656605614,0.4466052079327416,142,142,142,0.4970195456165849
7845,-0.4429859512038935,0.5854146813829917,1.1441314669357647,124,124,124,0.38021779153314583
7818,-0.5887420803137171,0.5867333906770578,1.5020078087839068,65,72,86,0.09025061107369604
7817,-0.5887420803137171,0.5867333906770578,1.5020078087839068,65,72,86,0.09025061107369604
7803,1.1301969358192703,0.758047840839285,0.8711450984948805,231,231,231,0.257634549147144
7794,-0.7393543064825798,0.5857360212056588,1.2761281354327454,19,29,49,0.0992828030169523
