observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0000.png,13,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,1.9555050917105328,0.4099334679227101,-0.27338522234498414,0.8114167199175714,0.37674402594424194,1.5014788849868046,1.747790604308103,931.0,495.75,2367.5,897.0,471.0,962.0,485.0,968.0,522.0,897.0,505.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0000.png,11,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,1.9394698872504852,0.4204736664711008,-0.2661747634700264,0.1617903633192267,6.785360660281065e-05,1.7155008590822258,1.723113264930351,690.75,360.5,1117.0,675.0,347.0,724.0,355.0,708.0,375.0,656.0,365.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0000.png,12,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.6111445901813037,0.6562221321773098,-1.5859373257929976,-0.7467729029357097,-0.039250469228508576,2.0926312177036683,2.2222321618592473,447.75,350.0,1497.5,423.0,337.0,454.0,323.0,472.0,362.0,442.0,378.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0000.png,9,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.8129382470054,-0.15809598684681458,0.5634222187535226,1.0108504453749447,-0.16782663096246284,2.4131065939022376,2.621653645031966,865.25,322.5,1531.0,848.0,302.0,889.0,306.0,882.0,344.0,842.0,338.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0000.png,10,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-3.0384507097075653,-0.2554181965232557,0.6179351834305375,-0.3348236715382114,-0.4060145179421545,2.976968099240119,3.0231264848986146,579.75,286.75,824.0,569.0,270.0,595.0,273.0,591.0,304.0,564.0,300.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0000.png,16,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.9112354617538223,-0.17361900401024077,0.4162060241647987,1.8982071741379583,-1.7546846954800972,6.707617346325859,7.188479625152487,792.0,219.5,198.0,786.0,212.0,800.0,213.0,798.0,227.0,784.0,226.0
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0000.png,0,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.804063668364339,-0.23206965108037542,0.7320939108840011,3.600013522940623,-2.108298147867906,7.836131670170199,8.877498408780651,886.75,215.5,152.5,882.0,209.0,894.0,210.0,892.0,222.0,879.0,221.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0001.png,13,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,1.973709350259191,0.3230861783410489,-0.2137183640296759,0.6703007117652272,0.32948449526810053,1.5276266697944898,1.7004429773098682,876.25,476.75,2185.0,844.0,454.0,905.0,465.0,912.0,500.0,844.0,488.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0001.png,12,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.536420891868901,0.7223249060630611,-1.6708346028264696,-0.9509191806669305,-0.031942930142948946,1.9986330848907519,2.213549603457376,383.75,351.5,1756.0,355.0,339.0,390.0,323.0,411.0,363.0,379.0,381.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0001.png,9,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,2.983327944044061,0.2355491687440249,-0.3194613298490473,0.761456023354332,-0.2337690079264769,2.4216576215968963,2.5492918351589053,809.0,308.25,1446.0,792.0,288.0,831.0,292.0,826.0,329.0,787.0,324.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0001.png,10,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-3.099439613330609,-0.21335973424153604,0.41845843244078856,-0.6331683490044264,-0.43626130007859937,2.928522940560269,3.0277834621245665,524.0,280.0,880.0,512.0,263.0,540.0,266.0,536.0,297.0,508.0,294.0
moving,moving_frame_000001,moving_calib_camera,1,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0001.png,16,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.9387340384659124,-0.054260921225703,0.016456984974786735,1.1717284679560114,-1.8606097413899148,6.520818255804891,6.8815613735265,736.5,206.75,203.5,730.0,199.0,744.0,200.0,743.0,214.0,729.0,214.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0002.png,13,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,2.0043693902836934,0.23577496165894035,-0.15775232461107686,0.5423231377694868,0.29416851248281684,1.5696161151494359,1.6865183806983255,826.0,461.5,2042.0,795.0,441.0,853.0,448.0,860.0,483.0,796.0,474.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0002.png,11,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,1.9975899822017489,0.22685262490604788,-0.14610736688910708,-0.16138849958932502,-0.036549030660596143,1.63120142642114,1.6395731679313017,586.75,348.5,1264.5,570.0,335.0,621.0,340.0,606.0,362.0,550.0,357.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0002.png,12,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.4719072113830363,0.7968460944966803,-1.7488508079963496,-1.135521346890837,-0.013472631291315722,1.8759816591401057,2.1929198404111254,314.0,356.25,2161.0,280.0,344.0,320.0,326.0,346.0,367.0,310.0,388.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0002.png,9,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.836302520510653,-0.09074843931446508,0.29740591086427676,0.5362436513407086,-0.29825028715094803,2.4802376419965158,2.555012572995537,756.25,295.25,1377.5,739.0,276.0,777.0,278.0,773.0,315.0,736.0,312.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0002.png,10,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-3.08601224968444,-0.14597364336728566,0.357853364937123,-0.8997003946935564,-0.4411221427915689,2.771143011563163,2.946741104272332,465.75,274.5,978.5,452.0,257.0,482.0,259.0,479.0,292.0,450.0,290.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0002.png,16,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.8994273231805137,-0.0010431378114084085,-0.253142080419861,0.5104794805165248,-2.019564231364761,6.5639833839440165,6.886588912468167,681.75,194.75,196.0,675.0,187.0,689.0,188.0,688.0,202.0,675.0,202.0
moving,moving_frame_000002,moving_calib_camera,2,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0002.png,0,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-3.0361823709087523,-0.19798755064802445,0.4742124515882161,1.9457945301812545,-2.58345791423523,8.054638859527378,8.679722248189536,769.75,187.75,133.0,765.0,182.0,776.0,182.0,775.0,194.0,763.0,193.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0003.png,13,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,2.0350209687902017,0.1349784528533368,-0.08954934533367191,0.40678660491054286,0.2588816536277056,1.5724991054785942,1.6447639615612448,779.25,449.25,2028.0,748.0,430.0,805.0,434.0,813.0,469.0,751.0,464.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0003.png,12,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.3391733060341404,0.8495839253740401,-1.8138104499094252,-1.2977610619069697,0.018137016612275507,1.730405767526572,2.1630572913038444,236.0,365.75,2771.0,196.0,355.0,241.0,332.0,274.0,375.0,233.0,401.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0003.png,9,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-3.101445392197471,-0.12509649906138323,0.311973012003001,0.2982838625349895,-0.34709348128308043,2.469239806155749,2.511292967318246,705.0,284.5,1375.0,688.0,265.0,725.0,267.0,722.0,304.0,685.0,302.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0003.png,10,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-3.0744313700103603,-0.09403837707934933,0.19924505296355857,-1.1735196668624235,-0.43762007056418334,2.663985247802164,2.9437182499656878,403.5,271.75,1105.5,388.0,254.0,420.0,255.0,419.0,290.0,387.0,288.0
moving,moving_frame_000003,moving_calib_camera,3,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0003.png,16,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.6058247040891303,-0.05221083433283357,0.12682300392430795,-0.1567323398964304,-2.129168466649514,6.47086676491874,6.813959207030372,627.0,183.25,203.0,620.0,176.0,634.0,176.0,634.0,191.0,620.0,190.0
