observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000081,moving_calib_camera,81,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0081.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,1.951089221545852,-0.5051603833399573,0.2773242027514245,0.010597159248968532,1.4527057858817165,1.2473492959309882,1.9147706562870384,642.0,632.75,1499.5,621.0,622.0,648.0,602.0,664.0,641.0,635.0,666.0
moving,moving_frame_000063,moving_calib_camera,63,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0063.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,2.22479995321611,0.5021952682252194,-0.22671439075769254,1.2554877239214974,1.4097669563481083,1.1494304702710196,2.2101770748327043,895.25,647.25,1883.0,869.0,612.0,910.0,633.0,924.0,685.0,878.0,659.0
moving,moving_frame_000064,moving_calib_camera,64,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0064.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,2.240759280940635,0.40273739307049866,-0.22456012618264332,1.230088059761507,1.3524822021862593,1.2439554488410396,2.211277888620002,871.0,614.5,1529.0,847.0,585.0,884.0,600.0,897.0,646.0,856.0,627.0
moving,moving_frame_000066,moving_calib_camera,66,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0066.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,2.2608262208887866,0.22727295304209053,-0.11441682604281048,1.1285433294483214,1.2157036497788112,1.395826086689447,2.1679197113386373,828.75,563.75,1063.5,808.0,542.0,838.0,549.0,851.0,586.0,818.0,578.0
moving,moving_frame_000065,moving_calib_camera,65,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0065.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,2.255116649705349,0.299158643717522,-0.20622114850274229,1.1967795217734145,1.295954332557578,1.33725103314047,2.2135986947606865,849.0,586.75,1256.0,827.0,562.0,860.0,572.0,873.0,613.0,836.0,600.0
moving,moving_frame_000079,moving_calib_camera,79,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0079.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,2.0475632100773176,-0.4905497581082538,0.2752303151483762,0.13912650146864067,1.314909714003254,1.4768600525643623,1.982286395617806,662.0,568.25,918.5,644.0,560.0,666.0,546.0,681.0,575.0,657.0,592.0
moving,moving_frame_000080,moving_calib_camera,80,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0080.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,1.9425205416291889,-0.4725719600343069,0.2875027084202739,0.0737600727808608,1.3782666575512177,1.3525534379216266,1.9324751822695305,652.75,598.5,1153.5,633.0,589.0,658.0,573.0,673.0,606.0,647.0,626.0
moving,moving_frame_000224,moving_calib_camera,224,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0224.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,1.534546879944795,1.5308174197259063,-0.9784009196034031,0.5201264215933005,1.3663159264477633,1.562150462427548,2.139547796280061,717.75,564.5,790.5,726.0,549.0,735.0,580.0,708.0,580.0,702.0,549.0
moving,moving_frame_000078,moving_calib_camera,78,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0078.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,2.1275666241977933,-0.5138875840233041,0.2946903060106031,0.20278212723946498,1.2277556407711936,1.5772482062337205,2.009033700225244,670.0,542.0,763.0,653.0,535.0,673.0,522.0,688.0,548.0,666.0,563.0
moving,moving_frame_000223,moving_calib_camera,223,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0223.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,1.5285091278335357,1.5288839637573521,-0.9616320398105508,0.5152662772838932,1.2638920690200595,1.688053331943063,2.17081702363923,711.25,535.0,611.0,719.0,522.0,727.0,548.0,702.0,548.0,697.0,522.0
moving,moving_frame_000221,moving_calib_camera,221,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0221.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,1.5518161477195411,1.5490661459564266,-0.904571770975834,0.514652376081381,1.0572246109543155,1.9680004810810459,2.2925132147381273,701.0,485.5,380.0,708.0,476.0,714.0,495.0,693.0,495.0,689.0,476.0
moving,moving_frame_000222,moving_calib_camera,222,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0222.png,14,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,1.5448699563153645,1.545144114058574,-0.9385979595817887,0.5188949016359929,1.1742818450783477,1.8414184679241608,2.2447743193106513,705.75,509.0,473.0,713.0,498.0,720.0,520.0,697.0,520.0,693.0,498.0
moving,moving_frame_000064,moving_calib_camera,64,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0064.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-2.383966187308065,0.881062264105549,-1.450725301164943,-1.2272257004527314,0.16166585205702858,1.4410358213171628,1.8996849754346778,440.75,386.25,941.0,416.0,385.0,444.0,367.0,464.0,387.0,439.0,406.0
moving,moving_frame_000249,moving_calib_camera,249,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0249.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,3.0457308649333155,0.012831638175670018,-0.01676925968573269,0.4854608587186132,0.8363546951665765,0.7896566490889275,1.2484867019417323,783.25,607.0,2775.0,757.0,579.0,807.0,580.0,810.0,635.0,759.0,634.0
moving,moving_frame_000042,moving_calib_camera,42,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0042.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-2.8012527491487136,-0.37545191751451956,0.6618253525745491,0.7207464181216104,0.6545794498995683,0.8487283431403079,1.2916227993944847,839.25,539.75,2477.0,820.0,509.0,879.0,537.0,856.0,571.0,802.0,542.0
moving,moving_frame_000040,moving_calib_camera,40,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0040.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-2.7557993057450827,-0.45951654641907347,0.8501326277081229,0.7021214332653318,0.7700117115345332,0.6912933563046426,1.2505115143099812,879.5,620.5,4193.0,855.0,577.0,935.0,630.0,899.0,664.0,829.0,611.0
moving,moving_frame_000070,moving_calib_camera,70,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0070.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-1.9521274477954835,1.1513378398666223,-1.8904685751015968,-1.7177302987148302,0.5811109994809839,0.8991829122706015,2.0240596044978933,190.75,512.0,4251.0,121.0,532.0,190.0,480.0,252.0,494.0,200.0,542.0
moving,moving_frame_000069,moving_calib_camera,69,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0069.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-2.0105354203559735,1.116283904669841,-1.8680247765996683,-1.6557473906556595,0.4970557645774326,1.00181322877032,1.998047446909581,252.0,476.5,2984.0,197.0,489.0,252.0,448.0,301.0,465.0,258.0,504.0
moving,moving_frame_000044,moving_calib_camera,44,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0044.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-2.8345926970626327,-0.2537789230168184,0.48631427577317804,0.7015913693315091,0.5355606421289395,1.0148359622397807,1.3449712566345666,801.75,482.75,1583.0,785.0,460.0,831.0,474.0,817.0,506.0,774.0,491.0
moving,moving_frame_000041,moving_calib_camera,41,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0041.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-2.7754072343684495,-0.41045239624680097,0.7668874487058883,0.7159176105248378,0.7130298582199095,0.7687670001489482,1.2696268366298462,859.0,576.5,3185.0,837.0,540.0,906.0,579.0,877.0,613.0,816.0,574.0
moving,moving_frame_000068,moving_calib_camera,68,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0068.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-2.155592229505524,1.157747492896322,-1.7210497621283318,-1.61659126056592,0.42546286587339166,1.1211805461617692,2.0128168746974753,302.0,449.0,2182.0,257.0,457.0,302.0,424.0,343.0,441.0,306.0,474.0
moving,moving_frame_000250,moving_calib_camera,250,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0250.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,3.0402875221234322,-0.005999777360739743,-0.0157038944852744,0.482593539402408,0.8672120391755627,0.6704064779423895,1.1976635966877764,807.75,661.75,3954.5,776.0,628.0,835.0,629.0,840.0,695.0,780.0,695.0
moving,moving_frame_000243,moving_calib_camera,243,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0243.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,3.030371403607907,-0.0037771133863008684,-0.010528463439666338,0.5012413777734768,0.6449100740258827,1.5264295854311778,1.7312247692463043,716.5,458.5,702.0,703.0,445.0,729.0,445.0,730.0,472.0,704.0,472.0
moving,moving_frame_000242,moving_calib_camera,242,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0242.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,3.0825302028215575,-0.03918196631536874,-0.1154418161543479,0.4918355741870572,0.5993697550813732,1.6147848029830876,1.7912778386636024,711.0,446.5,625.0,698.0,434.0,723.0,434.0,724.0,459.0,699.0,459.0
moving,moving_frame_000061,moving_calib_camera,61,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0061.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-2.4815390807522273,0.6386296686180002,-1.1100577417471587,-0.8775625355867726,0.03973466880811077,1.5975012853917265,1.8231031799102853,511.5,365.75,647.0,493.0,362.0,517.0,349.0,529.0,369.0,507.0,383.0
moving,moving_frame_000062,moving_calib_camera,62,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0062.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-2.4474012703139016,0.7291979950418923,-1.1893273790623602,-0.9888270798278158,0.07097548730153777,1.5369829873141037,1.8289705347247895,489.5,370.75,740.0,469.0,368.0,494.0,353.0,509.0,373.0,486.0,389.0
moving,moving_frame_000240,moving_calib_camera,240,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0240.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,2.9498478527701333,0.011016645426633092,0.06036177735747443,0.4962721955915282,0.5274013820457627,1.8641072540949541,1.9998335342398992,702.0,426.0,462.0,691.0,415.0,712.0,415.0,713.0,437.0,692.0,437.0
moving,moving_frame_000237,moving_calib_camera,237,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0237.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,-3.13998559402434,1.494594941643797e-07,7.900842151300789e-07,0.491111084214873,0.4155555242472244,2.1999977017653367,2.292131405165039,692.0,404.0,324.0,683.0,395.0,701.0,395.0,701.0,413.0,683.0,413.0
moving,moving_frame_000239,moving_calib_camera,239,results/bus_real_data/ablation/moving_cam/fov/fov_140deg_extreme/raw_images/moving/frame_0239.png,0,0.17,232.94094993036956,232.94094993036956,640.0,360.0,True,2.9902823182280653,-0.03894713905064872,-0.22357877744100033,0.5092661229042388,0.5049433751409091,2.0300719546713477,2.1530239053897557,698.5,418.0,400.0,688.0,408.0,708.0,408.0,709.0,428.0,689.0,428.0
