observer_id,frame_number,marker_ids,marker_count,frame_score,reference_marker_seen,selection_reasons
moving_frame_000018,18,1;2;6;7,4,31.6290456540632,False,top_pair_1_7;top_pair_2_7
moving_frame_000019,19,1;2;6;7,4,46.816346624094706,False,top_pair_1_7;top_pair_2_7
moving_frame_000020,20,1;2;6;7,4,45.33511530094609,False,top_pair_1_6;top_pair_1_7;top_pair_2_6;top_pair_2_7
moving_frame_000021,21,1;2;3;6;7,5,57.306858868571865,False,top_pair_1_3;top_pair_1_6;top_pair_1_7;top_pair_2_3;top_pair_2_6;top_pair_2_7
moving_frame_000022,22,1;2;5;6;7,5,56.996980457426304,False,top_pair_1_6;top_pair_2_6
moving_frame_000023,23,1;2;5;6,4,39.44990376590182,False,top_pair_1_5;top_pair_1_6;top_pair_2_5;top_pair_2_6
moving_frame_000025,25,1;2;5;14,4,62.41069834801364,True,reference_marker_14;top_pair_1_14;top_pair_1_5;top_pair_2_14;top_pair_2_5;top_pair_5_14
moving_frame_000026,26,1;2;5,3,49.832984975778004,False,top_marker_2;top_pair_1_5;top_pair_2_5
moving_frame_000027,27,1;2;5,3,52.524116274601866,False,top_marker_2;top_pair_1_5;top_pair_2_5
moving_frame_000028,28,1;2,2,52.353003986766446,False,top_marker_2
moving_frame_000029,29,1;2,2,63.47936377186646,False,top_marker_2;top_pair_1_2
moving_frame_000030,30,1;2,2,58.489129315262346,False,top_marker_2;top_pair_1_2
moving_frame_000031,31,1;2,2,91.92782254710968,False,top_marker_1;top_marker_2;top_pair_1_2
moving_frame_000032,32,1;2,2,76.24066396253569,False,top_marker_2;top_pair_1_2
moving_frame_000033,33,1;2,2,46.540208478805674,False,top_marker_2
moving_frame_000037,37,1,1,43.43262992815615,False,top_marker_1
moving_frame_000039,39,1,1,46.075126447331336,False,top_marker_1
moving_frame_000040,40,0;1,2,77.62036573232757,False,top_marker_0;top_pair_0_1
moving_frame_000042,42,0;1,2,81.18755171042298,False,top_marker_0;top_pair_0_1
moving_frame_000044,44,0;1,2,50.05595708661649,False,top_marker_0
moving_frame_000058,58,0;1,2,60.59847039400807,False,top_marker_1
moving_frame_000059,59,0;1;3,3,73.83263766154079,False,top_marker_1;top_pair_0_3;top_pair_1_3
moving_frame_000060,60,0;1;3,3,79.03898821019754,False,top_marker_1;top_marker_3;top_pair_0_3;top_pair_1_3
moving_frame_000061,61,0;3,2,28.630761333345117,False,top_pair_0_3
moving_frame_000062,62,0;3,2,27.6878017427981,False,top_pair_0_3
moving_frame_000063,63,0;3;14,3,45.066932702664204,True,reference_marker_14;top_marker_14;top_pair_3_14
moving_frame_000064,64,0;3;14,3,44.33224948168684,True,reference_marker_14;top_marker_14;top_pair_0_14
moving_frame_000065,65,0;3;14,3,43.70682905321703,True,reference_marker_14;top_marker_14;top_pair_0_14;top_pair_3_14
moving_frame_000066,66,0;3;14,3,38.10513492228189,True,reference_marker_14;top_marker_14
moving_frame_000067,67,0;3;4;14,4,75.54929374157894,True,reference_marker_14;top_marker_4;top_pair_0_14;top_pair_0_4;top_pair_4_14
moving_frame_000068,68,0;3;4;14,4,61.6395234846936,True,reference_marker_14;top_pair_0_14;top_pair_0_4;top_pair_4_14
moving_frame_000069,69,0;3;4;7;14,5,86.67297058800608,True,reference_marker_14;top_marker_0;top_pair_0_4;top_pair_0_7;top_pair_4_7
