observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000049,moving_calib_camera,49,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0049.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.963767479190455,1.3564521505212601,-0.6295675150805286,-0.08050602322068814,0.1109376851613895,2.251142271213045,2.2553114895743347,606.75,406.5,3464.0,628.0,375.0,652.0,420.0,584.0,439.0,563.0,392.0
moving,moving_frame_000047,moving_calib_camera,47,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0047.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.8995944218266456,1.2281367388162474,-0.6442100979059271,-0.20869902987507358,0.332652130466968,2.277420258933361,2.3110291561932117,554.75,496.5,3352.0,575.0,465.0,600.0,508.0,533.0,529.0,511.0,484.0
moving,moving_frame_000045,moving_calib_camera,45,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0045.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.8178758818969092,1.1019368382214845,-0.6792928978810759,-0.3442728066865393,0.5663775683597442,2.259846710468052,2.355040226870488,498.25,593.75,3355.0,519.0,562.0,544.0,603.0,476.0,627.0,454.0,583.0
moving,moving_frame_000052,moving_calib_camera,52,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0052.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.7116290478344447,1.4817789813884588,-0.8514814980150307,0.25792390072188315,0.4864580071264601,2.1244078201157723,2.1946012661597747,753.0,573.75,4050.0,780.0,543.0,799.0,596.0,724.0,605.0,709.0,551.0
moving,moving_frame_000050,moving_calib_camera,50,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0050.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.8797578325074624,1.4028115576164781,-0.6726981220436246,0.037016721877973904,0.23308966136277845,2.2220892508139816,2.2345875830935444,655.5,458.25,3602.5,678.0,427.0,701.0,475.0,631.0,490.0,612.0,441.0
moving,moving_frame_000048,moving_calib_camera,48,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0048.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.9126186635620035,1.27927725756087,-0.6363809729534519,-0.14168198953562042,0.2172954175522856,2.2435063966133706,2.2584534611749483,581.25,450.75,3394.0,602.0,420.0,627.0,463.0,559.0,483.0,537.0,437.0
moving,moving_frame_000046,moving_calib_camera,46,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0046.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.8678148093063336,1.155198369720276,-0.6699524379070528,-0.27456900899090547,0.44561580072247714,2.260519655777983,2.3203255583452926,527.0,544.0,3366.0,547.0,512.0,573.0,554.0,505.0,577.0,483.0,533.0
moving,moving_frame_000044,moving_calib_camera,44,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0044.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.7941394207151695,1.0328887530784856,-0.6907425033664417,-0.4169354724632705,0.6875873439297612,2.249042897378279,2.3884734660402316,467.5,645.0,3414.0,488.0,612.0,514.0,653.0,445.0,679.0,423.0,636.0
moving,moving_frame_000028,moving_calib_camera,28,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0028.png,14,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.497004177224235,1.0960130939243442,-0.9266729229037018,-0.3874585549458429,0.9696604570914021,3.506804413541213,3.6589674402322245,537.25,617.25,923.0,554.0,604.0,565.0,624.0,518.0,630.0,512.0,611.0
moving,moving_frame_000052,moving_calib_camera,52,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k09_mild/raw_images/moving/frame_0052.png,16,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.373168219697035,0.03988048927366543,-0.20740281507751152,-0.8154055057224461,-0.6240421532557555,2.2751239768378784,2.4960977260085713,306.5,104.25,4624.5,262.0,74.0,336.0,71.0,349.0,134.0,279.0,138.0
