approach,evaluation,entity_type,entity_id,marker_id,used_for_alignment,alignment_frame,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_local_x_m,est_local_y_m,est_local_z_m,est_local_roll_deg,est_local_pitch_deg,est_local_yaw_deg,est_local_rvec_x,est_local_rvec_y,est_local_rvec_z,est_gt_aligned_x_m,est_gt_aligned_y_m,est_gt_aligned_z_m,est_gt_aligned_roll_deg,est_gt_aligned_pitch_deg,est_gt_aligned_yaw_deg,est_gt_aligned_rvec_x,est_gt_aligned_rvec_y,est_gt_aligned_rvec_z,gt_world_x_m,gt_world_y_m,gt_world_z_m,gt_world_roll_deg,gt_world_pitch_deg,gt_world_yaw_deg,gt_world_rvec_x,gt_world_rvec_y,gt_world_rvec_z
AP02_ref_marker_graph_ba,ref14_anchored_available_map,static_camera,cam_edge_0,,no,GT_world_from_est_local_using_ref14_pose_only,18.601561316276026,3.210661530677885,-0.1669781680761484,5.274504092817067,17.83731505214332,0.5861381483192385,-1.681810226333637,2.2657014451310578,-115.65091423167331,-0.47565401878792385,-1.7466072153438779,-2.0184212270865687,0.025495328662354332,-0.027733194654122287,0.5861381483192385,-1.1818102190718294,2.6657014505214334,-115.65091441523323,-0.47565402438511367,-1.7466072138200308,-2.0184212302912634,0.02549532863268955,-0.02773319471105621,0.58780793,-1.23455526,2.4873283,-112.76486179960601,-1.4967437177574447,-0.8270999103481541,-1.9681387137868624,-0.0028859165404719407,-0.03515086081927826
AP02_ref_marker_graph_ba,ref14_anchored_available_map,static_camera,cam_edge_1,,no,GT_world_from_est_local_using_ref14_pose_only,8.99435775884579,0.7814868229854255,-7.950877029462378,3.523711756070713,-2.294663682678877,-4.053676090294624,0.5103236108024387,2.108596044808851,-105.62187092011555,0.5956373306416187,-114.7244250485108,-1.11710565034832,1.7594744554433444,-1.3257783950068858,-4.053676090294624,1.010323617560707,2.508596043173211,-105.62187084330364,0.5956371638369033,-114.72442504771229,-1.117105652102684,1.7594744539062273,-1.3257783982692293,-3.97416732,0.9750865,2.53154268,-106.36411375666104,0.7680855225263834,-114.55965647612422,-1.1237817096415734,1.7685660170005004,-1.312074204858069
AP02_ref_marker_graph_ba,ref14_anchored_available_map,static_camera,cam_edge_3,,no,GT_world_from_est_local_using_ref14_pose_only,7.951275907936902,0.9644547629793657,-7.662208992130859,2.124331946087543,-0.023573457068026826,-3.3039779199213086,-1.5419709471223275,2.0539751604871435,-109.11632269477663,1.1434966335073888,-60.31229953318865,-1.6924843997097296,0.9994620265451056,-0.6858281539602294,-3.3039779199213086,-1.0419709405391246,2.45397516542932,-109.116322785746,1.1434964739733244,-60.31229953500409,-1.6924844024907737,0.9994620259342476,-0.6858281558969324,-3.22735583,-1.06321426,2.4542109,-109.39044886225861,1.9674295291124646,-59.89995245682555,-1.692187338487859,1.002617043578016,-0.6660823965823887
AP02_ref_marker_graph_ba,ref14_anchored_available_map,aruco_marker,marker_001,1,no,GT_world_from_est_local_using_ref14_pose_only,6.729201639355232,0.7133488272299422,-6.586179520309088,0.5767470211076042,1.253697293211653,-2.315861795203091,-1.0192325337713835,1.2425369696653705,0.6782952143656963,-0.13641279744479742,-90.17451613565403,0.0074140733498918275,-0.011183738553167597,-1.5738072593705468,-2.315861795203091,-0.519232529788924,1.6425369729321164,0.6782952149250394,-0.13641298108284644,-90.17451613565537,0.007414070835403888,-0.01118374107525202,-1.573807259349371,-2.25,-0.525,1.63,-1.8363890085664206e-07,-0.0,-90.0000001836389,-2.5172823638819805e-09,2.517282371950131e-09,-1.57079633
AP02_ref_marker_graph_ba,ref14_anchored_available_map,aruco_marker,marker_002,2,no,GT_world_from_est_local_using_ref14_pose_only,4.000500866487693,1.7267350743187877,-3.923365832716419,-0.14249963339506566,0.7687012292983741,-1.1392336583271643,-1.0264249986021607,0.7076870090031856,67.65774653636291,-1.1520691835037093,-91.15583864068623,0.8948312725002893,-0.9408950025742002,-1.3744819147743172,-1.1392336583271643,-0.5264249963339507,1.1076870122929838,67.65774654006799,-1.152069367105245,-91.15583864076072,0.8948312700845127,-0.9408950045373504,-1.3744819129165755,-1.1,-0.525,1.1,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
AP02_ref_marker_graph_ba,ref14_anchored_available_map,aruco_marker,marker_003,3,no,GT_world_from_est_local_using_ref14_pose_only,6.465622212021318,2.8129176595420637,0.21262694760198486,-1.9031494619623057,6.17552285196723,0.10212626947601985,0.6909685039004035,0.46175523073429786,87.65367719226394,0.3266151014352632,-1.5235881041103938,1.529818746879497,-0.015798055602054103,-0.025551295737061844,0.10212626947601985,1.190968505380377,0.8617552285196723,87.65367700868698,0.3266150965525812,-1.52358810515687,1.5298187436746449,-0.015798055636279458,-0.025551295700872813,0.1,1.21,0.8,90.0,-0.0,0.0,1.5707963267948966,0.0,0.0
AP02_ref_marker_graph_ba,ref14_anchored_available_map,aruco_marker,marker_004,4,no,GT_world_from_est_local_using_ref14_pose_only,6.769366867084163,4.654803505063068,2.872351190177924,3.140996721864875,5.263845173890891,0.7287235119017792,0.7414099619217714,1.6526384541152046,86.74593938197243,1.941167516371576,2.649828119144053,1.5127697987544666,0.062140569689519955,0.011409570402531318,0.7287235119017792,1.2414099672186487,2.052638451738909,86.74593919842458,1.941167524861522,2.6498281129266834,1.5127697955504724,0.06214056968168171,0.011409570298151483,0.7,1.21,2.0,90.0,-0.0,0.0,1.5707963267948966,0.0,0.0
AP02_ref_marker_graph_ba,ref14_anchored_available_map,aruco_marker,marker_005,5,no,GT_world_from_est_local_using_ref14_pose_only,5.895158977700144,0.871680471392204,3.910442376097878,-2.691066672066178,3.495640136237066,1.9391044237609787,-1.506910669076273,0.7349563965325662,67.83167797339145,-0.43368514576503137,-89.90655714507619,0.9144719835451995,-0.9233178247074797,-1.3620424448132338,1.9391044237609787,-1.0069106667206618,1.1349564013623707,67.83167797309196,-0.43368532940368804,-89.90655714507393,0.9144719811099656,-0.9233178266501508,-1.362042442979424,1.9,-0.98,1.1,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
AP02_ref_marker_graph_ba,ref14_anchored_available_map,aruco_marker,marker_006,6,no,GT_world_from_est_local_using_ref14_pose_only,4.917029634889131,1.732698780936054,4.050596678325502,0.280998191320847,2.7732448497005624,2.010505966783255,0.0028099787153727475,0.997732448506012,65.79936971973184,-0.5876696810304367,-90.99973239758774,0.8788912004758178,-0.9086595079033376,-1.3891890836139822,2.010505966783255,0.5028099819132085,1.3977324484970057,65.7993697229361,-0.5876698646413834,-90.9997323976206,0.8788911980539504,-0.9086595099025845,-1.3891890818107622,1.97,0.5,1.37,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
AP02_ref_marker_graph_ba,ref14_anchored_available_map,aruco_marker,marker_007,7,no,GT_world_from_est_local_using_ref14_pose_only,4.208247387771752,0.8515941036354687,3.1782537046180392,0.8155368733422819,2.6349476416028583,2.0017825370461804,0.44315536554001966,0.9963494778363875,66.84273129738688,-0.6919371954904016,-90.43368959027055,0.8947168397430003,-0.9181671388121764,-1.373370004611524,2.0017825370461804,0.9431553687334229,1.3963494764160287,66.84273129877698,-0.6919373791240417,-90.43368959028734,0.894716837313673,-0.9181671407795593,-1.3733700027908302,1.97,0.935,1.37,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
