observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000006,moving_calib_camera,6,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0006.png,11,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.9990327190525643,0.028013290031851188,-0.009680429083490741,-0.40201640002260863,0.022495748742683255,1.2452149427852341,1.3086953420618055,338.75,378.5,7038.5,299.0,350.0,419.0,352.0,385.0,407.0,252.0,405.0
moving,moving_frame_000007,moving_calib_camera,7,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0007.png,11,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.9679728861110233,0.11744152649512067,-0.06038377716651563,-0.302345259889913,0.06925108115207528,1.201030925389563,1.2404368795552398,405.0,415.5,7784.0,367.0,383.0,488.0,390.0,450.0,449.0,315.0,440.0
moving,moving_frame_000008,moving_calib_camera,8,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0008.png,11,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.937898654644536,0.20507032147647855,-0.12911316708338016,-0.2180438624853241,0.11786819850900418,1.1553303460546973,1.1816193324003055,463.75,457.0,8750.0,428.0,420.0,551.0,432.0,506.0,496.0,370.0,480.0
moving,moving_frame_000009,moving_calib_camera,9,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0009.png,11,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.9040068793243408,0.2983737376410352,-0.19779491766185955,-0.14749974558625822,0.16894315514136737,1.1136070769766373,1.1359659706653105,516.25,503.5,9922.0,484.0,461.0,608.0,480.0,555.0,549.0,418.0,524.0
moving,moving_frame_000011,moving_calib_camera,11,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0011.png,11,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,1.8314787585130003,0.469630650059792,-0.33360863746366737,-0.039695850413449224,0.26959086853858727,1.003658804519384,1.0399932657612336,603.0,613.25,14020.0,578.0,556.0,708.0,593.0,634.0,677.0,492.0,627.0
moving,moving_frame_000015,moving_calib_camera,15,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0015.png,12,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.772397358000526,0.28314942933719256,-0.7097779413654547,-0.7271162098792595,0.34670132710701806,1.3186188535193513,1.5452040233391948,125.25,604.0,15298.0,41.0,572.0,175.0,532.0,208.0,632.0,77.0,680.0
moving,moving_frame_000068,moving_calib_camera,68,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0068.png,16,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.4991941173852417,0.009667448996916041,-0.38016677094514334,-0.718031881579954,0.26054483572780857,1.2414832750775724,1.4576467736344823,100.5,553.5,13246.0,12.0,518.0,157.0,500.0,186.0,588.0,47.0,608.0
moving,moving_frame_000083,moving_calib_camera,83,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0083.png,1,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,0.4239272557818885,-2.5018335313589697,1.5766587571995654,-0.6703256470662311,-0.08550198544137828,1.2373584465500629,1.4098592085303994,134.5,297.25,6289.0,137.0,329.0,32.0,310.0,135.0,267.0,234.0,283.0
moving,moving_frame_000084,moving_calib_camera,84,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0084.png,0,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,-2.757324163515945,-0.2038475644903944,0.42616574416539194,0.3002255153846941,0.3696241407746001,1.2107467539911572,1.301024622300243,872.0,642.75,15006.5,817.0,572.0,950.0,606.0,926.0,715.0,795.0,678.0
moving,moving_frame_000085,moving_calib_camera,85,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0085.png,1,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,0.6264266009665428,-2.378544975478978,1.522345975595811,-0.5436174878560622,-0.04452739599676228,1.1842691642263958,1.303838991376878,211.5,326.75,7157.0,203.0,364.0,107.0,334.0,225.0,292.0,311.0,317.0
moving,moving_frame_000086,moving_calib_camera,86,results/bus_real_data/ablation/moving_cam/motion_blur/moving_blur_k21_strong/raw_images/moving/frame_0086.png,1,0.17,929.4671630859375,929.467134475708,640.0,360.0,True,0.7494016307369965,-2.2718480792155256,1.4589074320154938,-0.45458158123799147,-0.030529065204553653,1.1690857662921843,1.2547262517258815,277.0,337.5,7248.0,257.0,377.0,178.0,341.0,296.0,302.0,377.0,330.0
