marker,marker_id,trans_err_cm,rot_err_deg,dx_cm,dy_cm,dz_cm,est_x_m,est_y_m,est_z_m,gt_x_m,gt_y_m,gt_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
marker_000,0,15.760,9.256,-9.619,6.933,-10.383,-2.646186,0.049334,0.676171,-2.550000,-0.020000,0.780000,57.922,0.624,88.772,67.082,-0.000,90.000
marker_001,1,8.340,1.323,-7.624,-3.007,1.546,-2.326241,-1.055065,1.245460,-2.250000,-1.025000,1.230000,0.945,-0.898,-90.231,-0.000,0.000,-90.000
marker_002,2,4.895,2.086,-4.097,-2.416,1.154,-1.140974,-1.049163,0.711535,-1.100000,-1.025000,0.700000,69.054,-0.682,-89.992,67.082,0.000,-90.000
marker_003,3,1.957,1.664,-0.615,1.735,-0.663,0.093845,0.727353,0.393367,0.100000,0.710000,0.400000,88.514,-0.608,0.446,90.000,-0.000,0.000
marker_004,4,5.380,3.810,-1.410,4.226,3.016,0.685896,0.752261,1.630161,0.700000,0.710000,1.600000,86.271,-0.770,0.151,90.000,-0.000,0.000
marker_005,5,11.513,1.667,9.748,-3.129,5.267,1.997478,-1.511291,0.752670,1.900000,-1.480000,0.700000,67.448,-1.139,-91.164,67.082,0.000,-90.000
marker_006,6,7.176,1.229,4.761,2.703,4.640,2.017609,0.027031,1.016395,1.970000,-0.000000,0.970000,66.887,-0.913,-89.199,67.082,0.000,-90.000
marker_007,7,6.072,1.514,2.554,3.526,4.231,1.995545,0.470264,1.012312,1.970000,0.435000,0.970000,67.493,-1.406,-90.389,67.082,0.000,-90.000
marker_008,8,14.603,2.801,12.784,-0.357,7.050,2.777838,-1.028566,1.080497,2.650000,-1.025000,1.010000,69.293,-1.467,-89.131,67.082,0.000,-90.000
marker_009,9,73.768,4.403,-1.090,-63.744,37.110,3.009101,-0.657444,1.391103,3.020000,-0.020000,1.020000,64.597,1.355,86.597,67.082,-0.000,90.000
marker_010,10,77.179,8.541,-18.072,-66.394,34.956,2.839276,-2.143940,1.369557,3.020000,-1.480000,1.020000,61.241,-0.818,83.861,67.082,-0.000,90.000
marker_011,11,89.645,7.939,-5.119,-76.637,46.226,3.948811,-1.266367,1.592263,4.000000,-0.500000,1.130000,-4.138,-0.527,83.263,-0.000,-0.000,90.000
marker_012,12,91.051,8.784,-16.672,-77.801,44.263,3.873282,-2.258013,1.462635,4.040000,-1.480000,1.020000,66.727,4.591,172.503,67.082,-0.000,180.000
marker_013,13,89.551,7.465,5.607,-76.019,47.000,4.106069,-0.530190,1.340004,4.050000,0.230000,0.870000,-3.810,-0.960,83.683,-0.000,-0.000,90.000
aruco_ref_floor_14,14,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,-0.000,0.000,0.000,-0.000,0.000
