marker,marker_id,trans_err_cm,rot_err_deg,dx_cm,dy_cm,dz_cm,est_x_m,est_y_m,est_z_m,gt_x_m,gt_y_m,gt_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
marker_000,0,6.287,3.751,-4.903,-1.157,-3.762,-2.599026,-0.031571,0.742384,-2.550000,-0.020000,0.780000,63.784,1.698,90.510,67.082,-0.000,90.000
marker_001,1,6.550,1.529,-6.218,-2.029,-0.349,-2.312180,-1.045288,1.226508,-2.250000,-1.025000,1.230000,1.161,-0.931,-90.360,-0.000,0.000,-90.000
marker_002,2,3.657,2.640,-3.211,-1.746,0.130,-1.132109,-1.042455,0.701296,-1.100000,-1.025000,0.700000,69.629,-0.339,-89.402,67.082,0.000,-90.000
marker_003,3,2.048,1.761,-1.932,0.574,-0.362,0.080676,0.715742,0.396381,0.100000,0.710000,0.400000,88.540,-0.496,0.857,90.000,-0.000,0.000
marker_004,4,5.062,3.923,-2.059,3.370,3.168,0.679413,0.743696,1.631681,0.700000,0.710000,1.600000,86.258,-0.538,-1.032,90.000,-0.000,0.000
marker_005,5,12.055,1.418,10.794,-2.429,4.785,2.007944,-1.504285,0.747855,1.900000,-1.480000,0.700000,67.930,-0.390,-88.935,67.082,0.000,-90.000
marker_006,6,6.341,2.610,3.478,2.695,4.566,2.004780,0.026947,1.015656,1.970000,-0.000000,0.970000,66.504,-0.288,-87.470,67.082,0.000,-90.000
marker_007,7,5.445,1.296,1.320,3.209,4.196,1.983202,0.467090,1.011964,1.970000,0.435000,0.970000,67.519,-1.101,-89.479,67.082,0.000,-90.000
marker_008,8,13.237,2.334,11.135,0.148,7.156,2.761349,-1.023521,1.081556,2.650000,-1.025000,1.010000,68.442,-1.797,-90.628,67.082,0.000,-90.000
marker_009,9,57.526,4.218,11.002,-54.953,-12.976,3.130018,-0.569532,0.890240,3.020000,-0.020000,1.020000,67.684,1.532,86.124,67.082,-0.000,90.000
marker_010,10,58.469,5.103,-1.760,-57.411,-10.932,3.002396,-2.054114,0.910679,3.020000,-1.480000,1.020000,67.621,0.853,85.002,67.082,-0.000,90.000
marker_011,11,66.679,5.574,9.436,-64.747,-12.842,4.094364,-1.147468,1.001576,4.000000,-0.500000,1.130000,1.898,1.003,84.872,-0.000,-0.000,90.000
marker_012,12,67.649,5.626,-0.911,-66.474,-12.521,4.030892,-2.144739,0.894792,4.040000,-1.480000,1.020000,68.071,-0.814,174.515,67.082,-0.000,180.000
marker_013,13,67.791,5.257,15.189,-64.385,-14.818,4.201889,-0.413850,0.721825,4.050000,0.230000,0.870000,1.953,0.572,85.163,-0.000,-0.000,90.000
aruco_ref_floor_14,14,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,-0.000,0.000,0.000,-0.000,0.000
