point3d_id,x_ref_aruco_m,y_ref_aruco_m,z_ref_aruco_m,r,g,b,colmap_reprojection_error
6392,-1.0600370947565874,0.6008388628186501,1.279279337024692,88,92,98,0.06966223890353981
6391,-1.0360683539645894,0.5998832916628807,1.2782485249540083,90,93,99,0.1380158780677161
6378,0.03900914509977149,0.7215115308395068,0.4091661975609202,142,142,142,0.515619050145146
6359,-1.0443478937694073,0.5990799746929925,1.1073748903962217,124,124,124,0.1154057826162362
6358,-0.9258089723996983,0.5994439548801456,1.0885210212093577,97,99,104,0.0680873283710664
6337,-0.9723002001555798,0.6001379314095558,1.1878814008238634,7,21,43,0.12661565210510228
6334,-0.5555507022984795,0.6024513516786059,1.1380755348451326,7,36,42,0.10519172363960698
6332,-1.0315440492599928,0.6008008762687314,1.2776576764777245,124,124,124,0.05937621242847847
6303,0.053860085010576375,0.7092979744714085,0.4150704840647619,0,0,0,1.7460773190929486
6289,-1.0256365581805826,0.5968790140333367,0.9626309106684579,110,117,123,0.1452568377604362
6279,-0.9508565170513423,0.5999196258025858,1.1082677483333054,39,45,59,0.09223709382953288
6276,-0.7958672675860782,0.6003108930764187,1.1105111047105105,22,31,49,0.0572084214538157
6271,-0.9710658674914705,0.600325910883899,1.1474651368635564,122,122,122,0.1402903059656894
6270,-1.0108304980435163,0.5995770665754865,1.1577642735895972,122,122,122,0.10156709387206514
6267,-1.0078803003712047,0.599068847124139,1.1691639608918463,110,116,122,0.08249616586419782
6264,-1.0070064833431693,0.6004705524706597,1.1775520695694808,12,90,38,0.1046072752544487
6255,-0.5639512181628538,0.6015732229889772,1.1468974051188423,8,25,43,0.07340735598315226
6250,-0.7474132371947035,0.6017428410968892,1.205265862526709,30,92,47,0.12243966100755051
6238,-0.994368217263393,0.5984878435310661,1.2963871644597442,121,121,121,0.2110164309031278
6237,-1.0158313283264857,0.6013168924075738,1.2982216199339485,23,32,50,0.06855411868336234
6236,-1.0381286739272655,0.6014026176391634,1.3009854666851632,19,29,48,0.07808721649416894
6226,-0.7612134962991246,0.6028812358386471,1.2971080199717209,120,121,121,0.045691170459178566
6225,-0.7612140699868215,0.6028423424978238,1.2971132378153278,120,121,121,0.04930839251696579
6216,-1.0124438091018708,0.6026799641872727,1.3479538363954953,112,118,124,0.07520524789803043
6200,-1.0237451465124865,0.6017287519618173,1.3688359522108255,110,116,122,0.15422532780600273
6191,-0.556925554729319,0.604737729624014,1.3740608016569948,30,92,47,0.061229632102883735
6190,-0.512039951655991,0.6041419732027047,1.3720634051225198,25,33,50,0.07550322747686689
6189,-0.8073171950309529,0.603689937594655,1.451361434204544,13,24,45,0.3286444080801853
6173,-0.8167561154421651,0.5977693035237601,0.899312759732098,124,124,124,0.05540537219710735
6143,-0.9647865615981306,0.5993201436629956,1.1045162384363358,40,45,59,0.18335347470989408
6108,-0.9994929414227878,0.6023932258233669,1.2759047316516199,90,93,99,0.08817356254351494
6066,-0.9777447771600702,0.6148659729217272,1.343186997205494,30,38,54,0.31079279647523284
6065,-0.7696065478349897,0.6843598461618983,1.2889071362935423,34,40,55,0.17601467766026702
5977,-0.5216436799429756,0.603898936550409,1.1519358836976141,124,124,124,0.13049606460596927
5948,-0.5492012886137942,0.6039613880749608,1.2798002575487806,92,95,100,0.11382654302879372
5947,-0.5492900981391727,0.6033608564297339,1.2801002340562757,92,95,100,0.13630817891737554
5946,-0.5417785621509041,0.6034452412566385,1.279934081502235,94,97,102,0.28994944522595756
5919,-0.7530876635169363,0.60808809960028,1.3715186538172977,112,118,124,0.47100616307692267
