variant,method,status,camera_count,available_cameras,missing_cameras,pair_count_ok,pair_count_total,pair_coverage,mean_pair_t_cm,median_pair_t_cm,max_pair_t_cm,mean_pair_r_deg,median_pair_r_deg,max_pair_r_deg,mean_baseline_error_cm,mean_direction_error_deg,worst_pair,worst_pair_t_cm,worst_pair_r_deg,source,failure_reason,note
moving_res_1280x720_baseline,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,46.99153079867242,42.43749335363547,89.83302769030456,7.281828565942331,7.311484991531611,12.870307067022516,36.97112678798169,2.4870406231477116,cam3-cam5,89.83302769030456,12.870307067022516,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
moving_res_1280x720_baseline,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,17.39674075044661,14.980296755563135,28.545656749545927,1.2927977826803267,1.2480578297348937,1.947834936672599,13.297613701093502,1.1773633264233505,cam1-cam5,28.545656749545927,1.0734429987227094,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_res_1280x720_baseline,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,13.062053048586998,9.526109612512993,23.730537127483164,0.7753308197302514,0.8208979797335532,1.094253109554302,10.098248906803088,0.6480105160340831,cam3-cam5,23.730537127483164,0.696792765420478,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
moving_res_160x90_extreme_pixel,AP01,PARTIAL_2_OF_4,2,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,1,6,0.16666666666666666,6.693538956447511,6.693538956447511,6.693538956447511,1.8616307118908735,1.8616307118908735,1.8616307118908735,0.06579721552966156,1.7658104034511908,cam1-cam3,6.693538956447511,1.8616307118908735,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
moving_res_160x90_extreme_pixel,AP02,FAILED_NO_PAIR,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,0,6,0.0,,,,,,,,,,,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_res_160x90_extreme_pixel,AP03,FAILED_NO_PAIR,1,cam_edge_5,cam_edge_0;cam_edge_1;cam_edge_3,0,6,0.0,,,,,,,,,,,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
moving_res_2560x1440_upscaled,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,11.682916251970312,9.581636605723471,24.36071640269466,1.9396734832312588,2.04148009545073,2.3639101558117304,6.464579016140089,0.9520128889421003,cam1-cam5,24.36071640269466,2.3639101558117304,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
moving_res_2560x1440_upscaled,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,14.103469584871881,12.24950056390282,21.26082287483449,1.3700333321639764,1.2616179266690746,2.123252448375449,7.805401500525599,1.2509137491931555,cam1-cam5,21.26082287483449,1.0561721344673218,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_res_2560x1440_upscaled,AP03,FAILED_NO_PAIR,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,0,6,0.0,,,,,,,,,,,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
moving_res_320x180_low,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,43.76189371564303,42.83021314242689,78.0849285325493,2.075054223508111,2.1114573579185323,2.814874426010589,36.53449527171991,1.8277539419511506,cam3-cam5,78.0849285325493,2.180246950160663,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
moving_res_320x180_low,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,23.777530372808172,21.219054856948787,41.933237838115275,1.4356815663898699,1.4454680974229586,2.577584185566842,20.808458377218006,1.1655681985999575,cam1-cam5,41.933237838115275,1.7881987528936492,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_res_320x180_low,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,29.423336498443806,25.442477700245803,48.17755360359726,0.8492175152910714,0.7272327271475643,1.4367191188285784,27.804558142192658,0.8183641514970116,cam1-cam5,48.17755360359726,0.4769777577349832,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
