variant,method,status,alignment,source_file,camera_count,mean_translation_error_cm,median_translation_error_cm,max_translation_error_cm,mean_rotation_error_deg,median_rotation_error_deg,max_rotation_error_deg,available_cameras,missing_cameras,failure_reason
moving_res_1280x720_baseline,AP01,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,7.355471,6.799184,10.779713,1.321836,1.294881,1.600869,,,
moving_res_1280x720_baseline,AP02,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,6.982065,6.709509,9.941314,0.913854,0.743525,1.465884,,,
moving_res_1280x720_baseline,AP03,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,7.191911,7.000179,11.890755,0.080173,0.077694,0.107663,,,
moving_res_160x90_extreme_pixel,AP01,PARTIAL_2_OF_4_NO_SE3_ALIGNMENT,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,2,,,,,,,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv
moving_res_160x90_extreme_pixel,AP02,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3,6.11335438211384,6.31151731950244,8.068712627762107,0.47353771964887886,0.5593891204686452,0.6728674352142797,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,
moving_res_160x90_extreme_pixel,AP03,FAILED_NO_STATIC_CAMERAS,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,0,,,,,,,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,
moving_res_2560x1440_upscaled,AP01,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,7.573174,7.042228,11.402500,1.306068,1.183207,1.775607,,,
moving_res_2560x1440_upscaled,AP02,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,31.084417,24.893432,53.299666,5.431675,4.334913,10.361197,,,
moving_res_2560x1440_upscaled,AP03,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,4.034720,3.965850,6.652343,0.162177,0.152791,0.243889,,,
moving_res_320x180_low,AP01,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,83.230265,64.684203,161.481658,9.070175,6.863117,18.001752,,,
moving_res_320x180_low,AP02,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,71.032882,52.655155,141.036394,6.125478,4.158307,12.248963,,,
moving_res_320x180_low,AP03,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,24.264052,23.417043,29.523019,1.116620,0.918442,1.839226,,,
