method,camera,alignment,source_file,translation_error_cm,rotation_error_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_z_m,gt_x_m,gt_y_m,gt_z_m,aligned_est_roll_deg,aligned_est_pitch_deg,aligned_est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
AP01,cam_edge_0,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,6.819122,1.230033,0.631946793,-1.717463063,2.038240006,0.587807930,-1.734555260,2.087328300,-111.979150162,-1.148577063,0.034970503,-112.764861788,-1.496743718,-0.827099911
AP01,cam_edge_1,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,10.779713,1.096712,-4.075657296,0.452760042,2.160205109,-3.974167320,0.475086500,2.131542680,-105.934237168,0.662565549,-113.550853747,-106.364113762,0.768085533,-114.559656476
AP01,cam_edge_3,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,5.043804,1.359729,-3.231127971,-1.546959849,2.101808810,-3.227355830,-1.563214260,2.054210900,-110.188318838,0.975230508,-60.398197546,-109.390448856,1.967429539,-59.899952457
AP01,cam_edge_5,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,6.779245,1.600869,5.919982124,0.337399388,2.111589525,5.858858870,0.348419540,2.138761570,-109.738923551,3.466848162,112.440025194,-109.270651886,4.073179101,113.876819191
AP02,cam_edge_0,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,6.050885,1.465884,0.645418354,-1.742052491,2.070412280,0.587807930,-1.734555260,2.087328300,-112.817608943,-0.992977689,0.549642955,-112.764861788,-1.496743718,-0.827099911
AP02,cam_edge_1,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,9.941314,0.702483,-4.072067902,0.486459157,2.144546918,-3.974167320,0.475086500,2.131542680,-106.064034506,0.355392523,-115.039549860,-106.364113762,0.768085533,-114.559656476
AP02,cam_edge_3,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4.567928,0.754507,-3.248983755,-1.595038257,2.029592562,-3.227355830,-1.563214260,2.054210900,-109.123734727,1.660791734,-60.527269099,-109.390448856,1.967429539,-59.899952457
AP02,cam_edge_5,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,7.368134,0.732543,5.920776953,0.376368110,2.167291690,5.858858870,0.348419540,2.138761570,-109.566444358,3.453894440,113.600514527,-109.270651886,4.073179101,113.876819191
AP03,cam_edge_0,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,2.876531,0.085303,0.602072023,-1.758946016,2.092719919,0.587807930,-1.734555260,2.087328300,-112.841582375,-1.499947801,-0.862301167,-112.764861788,-1.496743718,-0.827099911
AP03,cam_edge_1,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,8.471103,0.070084,-4.054167090,0.502860028,2.133693596,-3.974167320,0.475086500,2.131542680,-106.305756416,0.743735453,-114.528656688,-106.364113762,0.768085533,-114.559656476
AP03,cam_edge_3,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,5.529255,0.057641,-3.279493682,-1.581440429,2.051619158,-3.227355830,-1.563214260,2.054210900,-109.338812126,1.993094624,-59.898965873,-109.390448856,1.967429539,-59.899952457
AP03,cam_edge_5,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,11.890755,0.107663,5.976732399,0.363262934,2.133810776,5.858858870,0.348419540,2.138761570,-109.230696265,3.973468589,113.887397773,-109.270651886,4.073179101,113.876819191
