initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_bottleneck,pnp_reprojection_rmse_px,area_px2,distance_m
observer,moving_frame_000118,marker,14,14,moving_frame_000118,118,54.328951891582186,54.328951891582186,0.03664849037795951,9553.0,2.8025350054298386
observer,moving_frame_000120,marker,14,14,moving_frame_000120,120,48.02873922487341,48.02873922487341,0.20389977763731662,12876.0,2.6571572603515694
observer,moving_frame_000046,marker,14,14,moving_frame_000046,46,47.93238830886956,47.93238830886956,0.22829032756624398,12856.0,2.4583493427184853
observer,moving_frame_000050,marker,14,14,moving_frame_000050,50,47.617439448367755,47.617439448367755,0.26496436118509026,13733.0,2.365484920002765
observer,moving_frame_000044,marker,14,14,moving_frame_000044,44,41.73229877874134,41.73229877874134,0.317599767286231,13352.0,2.5437104246398667
observer,moving_frame_000045,marker,14,14,moving_frame_000045,45,40.99905665162653,40.99905665162653,0.33047309649452705,13251.0,2.5158024590030967
observer,moving_frame_000048,marker,14,14,moving_frame_000048,48,28.4135067455519,28.4135067455519,0.6163777376576288,13241.0,2.402700676363741
marker,19,observer,moving_frame_000118,19,moving_frame_000118,118,60.7578725781716,54.328951891582186,0.5927933326521292,35992.0,1.5148273802241363
observer,moving_frame_000122,marker,19,19,moving_frame_000122,122,110.82521698876354,54.328951891582186,0.4583772315817492,73096.0,1.3156395775641287
observer,moving_frame_000119,marker,19,19,moving_frame_000119,119,78.90305765614657,54.328951891582186,0.43321488294828525,38560.0,1.4679258589931488
observer,moving_frame_000071,marker,19,19,moving_frame_000071,71,77.29205014787246,54.328951891582186,0.15336248116669168,19220.0,1.8181112347556467
observer,moving_frame_000076,marker,19,19,moving_frame_000076,76,75.76796387463813,54.328951891582186,0.6275479439488653,49806.0,1.2364463249198963
observer,moving_frame_000117,marker,19,19,moving_frame_000117,117,75.74437629075722,54.328951891582186,0.3898705638098919,33516.0,1.5655032225412124
observer,moving_frame_000114,marker,19,19,moving_frame_000114,114,74.23782403789603,54.328951891582186,0.3146545397845035,28935.0,1.7576258730819638
observer,moving_frame_000075,marker,19,19,moving_frame_000075,75,71.69633616061834,54.328951891582186,0.5475724350307145,39592.0,1.342794559028658
observer,moving_frame_000115,marker,19,19,moving_frame_000115,115,71.36871611502137,54.328951891582186,0.36676885706823914,30136.0,1.695467780011416
observer,moving_frame_000070,marker,19,19,moving_frame_000070,70,60.79137868472791,54.328951891582186,0.25777284222418584,17495.0,1.8915642972532627
observer,moving_frame_000116,marker,19,19,moving_frame_000116,116,60.52208002738533,54.328951891582186,0.5193746118709794,31658.0,1.6217963655588816
observer,moving_frame_000121,marker,19,19,moving_frame_000121,121,53.62751223787557,53.62751223787557,0.9611268027101578,57539.0,1.3525841925132698
observer,moving_frame_000065,marker,19,19,moving_frame_000065,65,47.66900300025362,47.66900300025362,0.30669966839404994,15096.0,2.278697239154106
observer,moving_frame_000072,marker,19,19,moving_frame_000072,72,39.84100989814904,39.84100989814904,0.6935799828398619,22191.0,1.699391136446439
marker,0,observer,moving_frame_000076,0,moving_frame_000076,76,56.172789320806416,54.328951891582186,0.2838075756753621,19570.0,2.283174523057445
marker,2,observer,moving_frame_000114,2,moving_frame_000114,114,70.88388504555353,54.328951891582186,0.4539024979006022,41243.0,1.8370208781705204
marker,16,observer,moving_frame_000065,16,moving_frame_000065,65,112.45136323304622,47.66900300025362,0.030248561087136056,26385.0,1.8520793203283927
observer,moving_frame_000083,marker,0,0,moving_frame_000083,83,96.52105659708826,54.328951891582186,0.3282629972549752,45007.0,1.5520282916873935
observer,moving_frame_000078,marker,0,0,moving_frame_000078,78,76.57587956815397,54.328951891582186,0.15931554452306698,22350.0,2.110021610599835
observer,moving_frame_000074,marker,0,0,moving_frame_000074,74,62.22726855904654,54.328951891582186,0.16265695266536026,17483.0,2.4708598307016145
observer,moving_frame_000081,marker,0,0,moving_frame_000081,81,53.216365481644104,53.216365481644104,0.5950694840275397,32433.0,1.7692054799786903
observer,moving_frame_000082,marker,0,0,moving_frame_000082,82,48.747754355399564,48.747754355399564,0.7601408727720858,37960.0,1.6642833330810292
observer,moving_frame_000073,marker,0,0,moving_frame_000073,73,46.38025817257388,46.38025817257388,0.31571597658611406,16565.0,2.569665083716321
observer,moving_frame_000063,marker,0,0,moving_frame_000063,63,46.051905505641024,46.051905505641024,0.07549030988463823,10087.0,3.5550098144183955
observer,moving_frame_000069,marker,0,0,moving_frame_000069,69,41.44617963262166,41.44617963262166,0.23751703242700353,12010.0,2.9810499802221195
observer,moving_frame_000080,marker,0,0,moving_frame_000080,80,39.63065961789593,39.63065961789593,0.7634823982994003,28363.0,1.8672610850338558
observer,moving_frame_000079,marker,0,0,moving_frame_000079,79,38.835864270347344,38.835864270347344,0.6964767489172694,24989.0,2.0002822480165245
observer,moving_frame_000054,marker,0,0,moving_frame_000054,54,35.324785232576644,35.324785232576644,0.07150206377539628,6723.0,4.087257539509448
observer,moving_frame_000043,marker,0,0,moving_frame_000043,43,26.514835985486396,26.514835985486396,0.23200972931956626,7180.0,4.432921126859955
observer,moving_frame_000077,marker,0,0,moving_frame_000077,77,24.707818961136994,24.707818961136994,0.9931777491237482,21061.0,2.18587863876478
observer,moving_frame_000023,marker,0,0,moving_frame_000023,23,18.001613339568287,18.001613339568287,0.00012345007248098857,2209.0,6.8133141826393
observer,moving_frame_000035,marker,0,0,moving_frame_000035,35,13.25002126307298,13.25002126307298,0.6453194203534046,6368.0,4.949587529056285
observer,moving_frame_000105,marker,2,2,moving_frame_000105,105,96.51354672293007,54.328951891582186,0.08479791623468474,26870.0,2.083031061803672
observer,moving_frame_000110,marker,2,2,moving_frame_000110,110,68.67754931733703,54.328951891582186,0.21693534656684393,22220.0,2.148050331767763
observer,moving_frame_000109,marker,2,2,moving_frame_000109,109,67.53175817816458,54.328951891582186,0.1906322175751097,20507.0,2.2375641641154744
observer,moving_frame_000106,marker,2,2,moving_frame_000106,106,67.50151685696223,54.328951891582186,0.26430993850199214,24651.0,2.1173530065183606
observer,moving_frame_000103,marker,2,2,moving_frame_000103,103,63.483444066858596,54.328951891582186,0.4226990145251348,33006.0,1.9990323071152638
