observer_id,frame_number,marker_ids,marker_count,frame_score,reference_marker_seen,selection_reasons
moving_frame_000000,0,9;10;11;12;13,5,34.3885878283126,False,top_pair_10_11;top_pair_10_13;top_pair_11_12;top_pair_11_13;top_pair_12_13;top_pair_9_12
moving_frame_000001,1,9;10;11;12;13,5,38.386604499276764,False,top_marker_12;top_marker_13;top_pair_10_12;top_pair_10_13;top_pair_11_13;top_pair_12_13;top_pair_9_10;top_pair_9_12;top_pair_9_13
moving_frame_000002,2,9;10;12;13,4,24.84070279356538,False,top_marker_13;top_marker_9;top_pair_12_13;top_pair_9_12;top_pair_9_13
moving_frame_000003,3,9;10;13,3,18.103533410875063,False,top_marker_13;top_pair_10_13
moving_frame_000004,4,9;10;13,3,24.561799657566667,False,top_marker_13;top_marker_9;top_pair_9_13
moving_frame_000005,5,9;13,2,22.670453525041225,False,top_marker_13;top_marker_9;top_pair_9_13
moving_frame_000006,6,9;10;11;13,4,31.92575071885104,False,top_marker_11;top_marker_13;top_pair_11_13
moving_frame_000007,7,9;10;11;13,4,25.702650844815846,False,top_marker_9;top_pair_10_13;top_pair_9_11
moving_frame_000008,8,9;10;11,3,35.05531450406039,False,top_marker_10;top_marker_11;top_marker_9;top_pair_10_11;top_pair_9_10;top_pair_9_11
moving_frame_000009,9,9;10;11,3,35.37058824984072,False,top_marker_11;top_marker_9;top_pair_10_11;top_pair_9_11
moving_frame_000010,10,9;10;11,3,28.026506684879966,False,top_marker_10;top_marker_11;top_marker_9;top_pair_10_11;top_pair_9_10;top_pair_9_11
moving_frame_000011,11,9;10;11;12,4,21.824508355543365,False,top_marker_9;top_pair_9_10;top_pair_9_12
moving_frame_000012,12,10;12,2,15.328143759468482,False,top_marker_12;top_pair_10_12
moving_frame_000013,13,10;12;16,3,20.546749178134625,False,top_marker_10;top_marker_12;top_pair_10_12;top_pair_10_16;top_pair_12_16
moving_frame_000014,14,10;12,2,17.279092403872614,False,top_marker_10;top_marker_12;top_pair_10_12
moving_frame_000015,15,10;12,2,12.373239160684497,False,top_marker_10
moving_frame_000017,17,10,1,7.307686515282489,False,top_marker_10
moving_frame_000018,18,10,1,11.635652294781954,False,top_marker_10
moving_frame_000019,19,10,1,8.583393767087424,False,top_marker_10
moving_frame_000037,37,4,1,10.862542381021408,False,top_marker_4
moving_frame_000038,38,4,1,10.509836801601438,False,top_marker_4
moving_frame_000039,39,0;4,2,12.193674754783194,False,top_marker_4;top_pair_0_4
moving_frame_000040,40,0;4,2,12.511657481693499,False,top_marker_4;top_pair_0_4
moving_frame_000041,41,0;3;4,3,11.41701246359554,False,top_marker_3;top_pair_0_3;top_pair_0_4;top_pair_3_4
moving_frame_000044,44,0;14,2,4.269675692572222,True,reference_marker_14;top_pair_0_14
moving_frame_000046,46,14,1,5.397957765428437,True,reference_marker_14;top_marker_14
moving_frame_000047,47,3;14,2,11.781138979688885,True,reference_marker_14;top_marker_14;top_marker_3;top_pair_3_14
moving_frame_000048,48,3;14,2,11.866761716287595,True,reference_marker_14;top_marker_14;top_marker_3;top_pair_3_14
moving_frame_000049,49,14,1,6.48319991927728,True,reference_marker_14;top_marker_14
moving_frame_000050,50,3;14,2,10.756206846696884,True,reference_marker_14;top_marker_14;top_marker_3;top_pair_3_14
moving_frame_000051,51,3;14;16,3,14.196031460157169,True,reference_marker_14;top_marker_14;top_marker_3;top_pair_14_16;top_pair_3_14;top_pair_3_16
moving_frame_000052,52,14;16,2,6.885457328008423,True,reference_marker_14;top_pair_14_16
moving_frame_000053,53,3;14;16,3,12.333839987139434,True,reference_marker_14;top_marker_3;top_pair_14_16;top_pair_3_16
moving_frame_000058,58,16,1,8.515071168795723,False,top_marker_16
moving_frame_000059,59,0;16,2,13.161359734371917,False,top_marker_16;top_pair_0_16
moving_frame_000061,61,0;16,2,10.45095799993862,False,top_marker_16
moving_frame_000062,62,0;16,2,12.92634575471336,False,top_marker_16
moving_frame_000063,63,0;16,2,14.78892646750085,False,top_marker_16;top_pair_0_16
moving_frame_000064,64,0;16,2,12.971293683836947,False,top_marker_16;top_pair_0_16
moving_frame_000065,65,0;16;19,3,14.497284430950526,False,top_pair_16_19
moving_frame_000066,66,0;16;19,3,26.9585742423658,False,top_marker_16;top_pair_0_16;top_pair_16_19
moving_frame_000067,67,0;16,2,13.01308035110589,False,top_marker_16
moving_frame_000068,68,0;16;19,3,15.13410004626872,False,top_pair_16_19
moving_frame_000072,72,0;19,2,17.610248974491498,False,top_marker_19
moving_frame_000073,73,0;19,2,16.912201759245633,False,top_marker_0;top_pair_0_19
moving_frame_000074,74,0;19,2,21.17764726293025,False,top_marker_0;top_pair_0_19
moving_frame_000075,75,0;19,2,21.124536856550232,False,top_marker_0;top_marker_19;top_pair_0_19
moving_frame_000076,76,0;19,2,18.12026380905874,False,top_marker_19;top_pair_0_19
moving_frame_000079,79,0,1,10.170479442612097,False,top_marker_0
moving_frame_000080,80,0,1,10.243546438621348,False,top_marker_0
moving_frame_000081,81,0,1,11.461391523138815,False,top_marker_0
moving_frame_000082,82,0,1,13.371417566018609,False,top_marker_0
moving_frame_000083,83,0,1,8.436825777583836,False,top_marker_0
moving_frame_000086,86,1,1,10.778591288021666,False,top_marker_1
moving_frame_000091,91,1,1,12.95182113202307,False,top_marker_1
moving_frame_000092,92,1,1,12.04586752240462,False,top_marker_1
moving_frame_000093,93,1,1,18.84154158419135,False,top_marker_1
moving_frame_000094,94,1,1,17.290396966083197,False,top_marker_1
moving_frame_000096,96,1,1,20.987594273887574,False,top_marker_1
moving_frame_000097,97,1,1,10.515916515988122,False,top_marker_1
moving_frame_000098,98,1,1,9.839878280007653,False,top_marker_1
