observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000000,moving_calib_camera,0,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0000.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.9824523555891447,-0.16412646288349644,0.12201051341071013,0.24987321358527143,-0.13247248026078828,1.9067205572586345,1.9275810915151024,190.5,74.0,146.0,178.0,71.0,197.0,70.0,204.0,77.0,183.0,78.0
moving,moving_frame_000005,moving_calib_camera,5,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0005.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.9103675724387184,-0.10384253255120521,0.08809269552913632,0.2825774306083406,-0.13621918058323418,1.9342607528163511,1.9595331916897087,194.0,73.75,112.5,182.0,71.0,201.0,71.0,207.0,76.0,186.0,77.0
moving,moving_frame_000006,moving_calib_camera,6,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0006.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.9824523555891447,-0.16412646288349644,0.12201051341071013,0.24987321358527143,-0.13247248026078828,1.9067205572586345,1.9275810915151024,190.5,74.0,146.0,178.0,71.0,197.0,70.0,204.0,77.0,183.0,78.0
moving,moving_frame_000007,moving_calib_camera,7,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0007.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.9850004877293013,-0.16019883364384707,0.7600155140725562,-0.02817455681611812,-0.06499170910705944,3.013019920475871,3.0138524796494046,157.75,85.0,151.0,151.0,79.0,163.0,78.0,164.0,91.0,153.0,92.0
moving,moving_frame_000008,moving_calib_camera,8,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0008.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-2.941754416394416,0.15244327139288702,-0.5077624838238406,-0.09990363480391888,-0.0701607002034523,3.1182599629431142,3.12064872367815,152.5,84.75,151.5,146.0,79.0,158.0,78.0,159.0,90.0,147.0,92.0
moving,moving_frame_000008,moving_calib_camera,8,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0008.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.9784215536724659,-0.22714895519385342,0.13513919333630184,0.18178859687614227,-0.10239716851939276,1.6766809612977056,1.6896127722212517,185.25,76.0,195.0,171.0,73.0,192.0,71.0,201.0,79.0,177.0,81.0
moving,moving_frame_000009,moving_calib_camera,9,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0009.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,3.1020431162822235,-0.17563608928189922,0.18158845787050837,-0.15894935888876063,-0.07189971689644477,2.9020213741696295,2.9072603124106933,147.25,84.25,184.5,140.0,78.0,153.0,77.0,155.0,90.0,141.0,92.0
moving,moving_frame_000009,moving_calib_camera,9,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0009.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.0039294933187235,-0.26651573208474394,0.17640365996647497,0.1596371059916771,-0.08329083634367829,1.549180681238891,1.559609615305068,184.0,77.75,250.5,168.0,74.0,191.0,72.0,201.0,81.0,176.0,84.0
moving,moving_frame_000010,moving_calib_camera,10,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0010.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.886448603687817,-0.16334420013121168,-0.2879667223184862,-0.20466882794771019,-0.05888889690905027,2.710866468985632,2.719219418138831,142.5,85.0,198.0,135.0,79.0,149.0,77.0,150.0,91.0,136.0,93.0
moving,moving_frame_000010,moving_calib_camera,10,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0010.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.9826462455102465,-0.2796568239160955,0.17082052177654028,0.14389291407173635,-0.060082970984873876,1.427111149720897,1.435604878711453,183.5,80.5,290.0,166.0,77.0,191.0,74.0,202.0,84.0,175.0,87.0
moving,moving_frame_000011,moving_calib_camera,11,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0011.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-3.084526175883726,0.20459196594713516,0.4403090376725393,-0.2478654711249049,-0.050449832768682285,2.610420021753939,2.6226465959744165,138.0,85.5,214.0,130.0,79.0,144.0,77.0,146.0,92.0,132.0,94.0
moving,moving_frame_000011,moving_calib_camera,11,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0011.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.023169101202393,-0.33163512072704715,0.2036776888758335,0.1414008212856206,-0.03679686081020252,1.345311790590247,1.3532228253790541,184.5,84.0,372.0,166.0,80.0,191.0,76.0,205.0,88.0,176.0,92.0
moving,moving_frame_000011,moving_calib_camera,11,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0011.png,6,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-3.111532425534429,0.19769100688337876,-0.3109847742143899,-2.4723083856992063,-1.6201632981690248,5.247032311013599,6.022340569874245,50.5,18.25,60.5,46.0,15.0,54.0,14.0,55.0,22.0,47.0,22.0
moving,moving_frame_000012,moving_calib_camera,12,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0012.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.0320302947358155,-0.35530542791184266,0.2226325432995833,0.14285228470510938,-0.007715273099935678,1.2337511117737003,1.242017756107906,187.0,89.0,476.0,166.0,84.0,194.0,80.0,209.0,93.0,179.0,99.0
moving,moving_frame_000012,moving_calib_camera,12,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0012.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-3.134347558111372,0.20803595465154062,9.197289663696345e-07,-0.2976987827901819,-0.039318705775146574,2.6103888520501344,2.627603563098172,133.5,86.5,229.0,125.0,80.0,140.0,78.0,142.0,93.0,127.0,95.0
moving,moving_frame_000012,moving_calib_camera,12,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0012.png,7,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-2.594625251194226,0.24067077276751409,-1.1088824331860054,-3.0423144854934376,-1.5213019182048355,4.86061895578788,5.9325924846007565,14.5,17.25,77.5,9.0,13.0,18.0,13.0,20.0,21.0,11.0,22.0
moving,moving_frame_000013,moving_calib_camera,13,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0013.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.030449863397222,-0.3972703094810632,0.22674414348453295,0.15150059934733776,0.02079375999049262,1.1498510144720702,1.159975071947494,190.75,94.75,580.0,168.0,90.0,197.0,84.0,215.0,99.0,183.0,106.0
moving,moving_frame_000013,moving_calib_camera,13,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0013.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-2.8414801154055693,0.18078454891227796,-0.368770110848236,-0.31458870034220443,-0.02296438479094222,2.442736607331558,2.4630175691922123,130.0,87.75,253.0,121.0,81.0,137.0,79.0,139.0,94.0,123.0,97.0
moving,moving_frame_000014,moving_calib_camera,14,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0014.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.024346780980128,-0.4863085598836119,0.30164486876165597,0.08928703000651673,0.028203871138935823,1.111034751436465,1.1149734754576424,178.75,96.5,636.0,155.0,92.0,184.0,85.0,204.0,100.0,172.0,109.0
moving,moving_frame_000014,moving_calib_camera,14,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0014.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.920835014400867,-0.3428572964712781,-0.14540850222633764,-0.4614240928254205,-0.000547525449957894,2.35478977813533,2.3995723353203,114.5,90.0,268.0,105.0,84.0,121.0,80.0,124.0,96.0,108.0,100.0
moving,moving_frame_000015,moving_calib_camera,15,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0015.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.0202906765741324,-0.580860497477773,0.34294390066577396,0.03526661645239264,0.03712583093697269,1.0971151565908945,1.0983094866112302,167.5,98.5,680.0,143.0,95.0,172.0,86.0,193.0,101.0,162.0,112.0
moving,moving_frame_000015,moving_calib_camera,15,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0015.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-3.1014514372403563,0.36623128813060496,0.2600442066539857,-0.5938883974450782,0.02440401268144775,2.260420299469399,2.3372631248338656,99.0,92.5,288.0,89.0,86.0,105.0,82.0,109.0,99.0,93.0,103.0
moving,moving_frame_000016,moving_calib_camera,16,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0016.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.0225782867306408,-0.6450986806675016,0.38536284398676884,-0.01381332289707737,0.049051470593007684,1.0787493933510084,1.0799523639086885,157.0,101.25,736.5,132.0,98.0,161.0,88.0,183.0,103.0,152.0,116.0
moving,moving_frame_000016,moving_calib_camera,16,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0016.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-2.8489253069447926,0.35708012634568015,-0.8478926964184785,-0.7313548239672066,0.05748785938113707,2.2197767117102543,2.3378608560749545,83.25,96.0,320.0,72.0,90.0,90.0,85.0,94.0,102.0,77.0,107.0
moving,moving_frame_000017,moving_calib_camera,17,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0017.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,2.0192712311175267,-0.7311414846716664,0.42590798914950456,-0.060474935183607324,0.06206183194228511,1.0663004619905432,1.0698156682395055,146.75,104.25,790.5,121.0,102.0,150.0,90.0,173.0,105.0,143.0,120.0
moving,moving_frame_000017,moving_calib_camera,17,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0017.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,3.068400303291944,-0.5197440570038672,0.2747702021956001,-0.8772828095982779,0.0989600240988387,2.1934284500386503,2.3644336699990647,67.0,100.5,342.0,55.0,95.0,73.0,89.0,79.0,106.0,61.0,112.0
moving,moving_frame_000017,moving_calib_camera,17,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0017.png,5,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-2.9360356645030654,0.5549379564608947,-0.952895267206139,-2.575853115704993,-1.2474953081300983,4.47692493430871,5.313578896085836,26.25,25.25,86.0,20.0,22.0,29.0,20.0,33.0,29.0,23.0,30.0
moving,moving_frame_000018,moving_calib_camera,18,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0018.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.9617559912151148,-0.7966547521491959,0.4443148142142934,-0.09868528760584448,0.07388454601461078,1.012875079683027,1.020349763156013,137.25,107.75,852.5,110.0,107.0,140.0,93.0,165.0,107.0,134.0,124.0
moving,moving_frame_000018,moving_calib_camera,18,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0018.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-2.8498314743485555,0.5219616901411963,-0.8274515436313127,-0.9721897678286422,0.13600603568044506,2.0721627894209176,2.292925906407117,50.75,105.25,397.5,37.0,100.0,57.0,93.0,64.0,110.0,45.0,118.0
moving,moving_frame_000019,moving_calib_camera,19,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0019.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.9343054099427128,-0.9372906409437869,0.5786206500016774,-0.13300409838678862,0.08765821837018965,0.9874119587461347,1.0001781989777605,128.5,111.5,942.0,100.0,112.0,128.0,96.0,157.0,109.0,129.0,129.0
moving,moving_frame_000019,moving_calib_camera,19,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0019.png,2,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,-2.7206076732223368,0.5356243497063543,-1.0610601615957995,-1.0634645892212127,0.181496363114677,1.9624267173690348,2.2394232479357497,33.75,111.5,445.5,19.0,107.0,40.0,98.0,48.0,116.0,28.0,125.0
moving,moving_frame_000020,moving_calib_camera,20,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0020.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.90685618767136,-0.9929995825260064,0.5787232908352637,-0.15912114536517627,0.10039819995862913,0.9418554577798148,0.9604639716339614,120.5,115.75,1056.0,90.0,118.0,120.0,99.0,150.0,112.0,122.0,134.0
moving,moving_frame_000021,moving_calib_camera,21,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0021.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.8812673948212058,-1.0799647791634184,0.6455121031283769,-0.18533721989872465,0.11558035396178655,0.9129100755468811,0.9386764668067119,112.5,120.5,1174.0,81.0,124.0,110.0,103.0,143.0,115.0,116.0,140.0
moving,moving_frame_000022,moving_calib_camera,22,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0022.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.8330969798613108,-1.160441258761972,0.6848804925094295,-0.20321312253075954,0.12720201467554423,0.8806814700056546,0.9127298490339513,106.0,124.75,1281.0,73.0,130.0,102.0,107.0,137.0,117.0,112.0,145.0
moving,moving_frame_000023,moving_calib_camera,23,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0023.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.8043155513908997,-1.2442160081253084,0.7221080611286465,-0.22229680180995257,0.1420658070157924,0.8636004046056761,0.9029973535138789,99.75,129.5,1386.5,66.0,137.0,94.0,111.0,131.0,120.0,108.0,150.0
moving,moving_frame_000024,moving_calib_camera,24,results/bus_real_data/ablation/moving_cam/res/moving_res_320x180_low/raw_images/moving/frame_0024.png,1,0.17,232.36677393234524,232.36677393234524,160.0,90.0,True,1.7826509088317162,-1.3155061786453706,0.7559149702926203,-0.23177247755118602,0.15421930856840688,0.8318647145548292,0.8772120495107897,94.75,134.5,1562.5,60.0,144.0,87.0,115.0,127.0,123.0,105.0,156.0
