observer_id,frame_number,marker_ids,marker_count,frame_score,reference_marker_seen,selection_reasons
moving_frame_000009,9,2;5;6;7,4,54.65666356731997,False,top_pair_2_7;top_pair_5_7
moving_frame_000012,12,1;2;5;6;7,5,85.80065556737304,False,top_pair_1_5;top_pair_2_5;top_pair_5_7
moving_frame_000013,13,1;2;5;6;7,5,106.17354987524428,False,top_pair_1_7
moving_frame_000014,14,1;2;5;6;7,5,113.23115575695954,False,top_pair_1_6;top_pair_1_7;top_pair_2_6;top_pair_2_7
moving_frame_000015,15,1;2;5;6;7,5,118.22653107305291,False,top_pair_1_6;top_pair_1_7;top_pair_2_6;top_pair_2_7;top_pair_5_7
moving_frame_000016,16,1;2;5;6;7,5,118.22653107305291,False,top_pair_1_6;top_pair_1_7;top_pair_2_6;top_pair_2_7;top_pair_5_7
moving_frame_000017,17,1;2;5;6,4,124.12435648842177,False,top_marker_2;top_pair_1_6;top_pair_2_6
moving_frame_000018,18,1;2;5,3,112.87061997285669,False,top_marker_2;top_pair_1_2
moving_frame_000019,19,1;2;5,3,104.24481272177209,False,top_marker_2;top_pair_1_2;top_pair_1_5;top_pair_2_5
moving_frame_000020,20,1;2;5,3,104.55370616947863,False,top_marker_2;top_pair_1_5;top_pair_2_5
moving_frame_000021,21,1;2;5,3,110.09344328498796,False,top_marker_2;top_marker_5;top_pair_1_2;top_pair_1_5;top_pair_2_5
moving_frame_000022,22,1;2,2,111.81715312797934,False,top_marker_1;top_marker_2
moving_frame_000023,23,1;2,2,111.81715312797934,False,top_marker_2
moving_frame_000024,24,1;2,2,157.59863783463555,False,top_marker_1;top_marker_2;top_pair_1_2
moving_frame_000029,29,1,1,80.93346124290726,False,top_marker_1
moving_frame_000035,35,1,1,110.05776593225366,False,top_marker_1
moving_frame_000047,47,1,1,80.40572891174388,False,top_marker_1
moving_frame_000048,48,1,1,152.68489264951896,False,top_marker_1
moving_frame_000049,49,1,1,98.28066407624995,False,top_marker_1
moving_frame_000050,50,1,1,98.28066407624995,False,top_marker_1
moving_frame_000056,56,0,1,53.88873515097666,False,top_marker_0
moving_frame_000058,58,0,1,54.63350637292016,False,top_marker_0
moving_frame_000059,59,0,1,59.64827494591301,False,top_marker_0
moving_frame_000060,60,0,1,59.64827494591301,False,top_marker_0
moving_frame_000062,62,0,1,58.25678872202514,False,top_marker_0
moving_frame_000063,63,0,1,52.67430252530705,False,top_marker_0
moving_frame_000064,64,0,1,52.67430252530705,False,top_marker_0
moving_frame_000066,66,0,1,59.48800475367785,False,top_marker_0
moving_frame_000077,77,3,1,27.846075568039357,False,top_marker_3
moving_frame_000078,78,3,1,40.325587429721296,False,top_marker_3
moving_frame_000079,79,3,1,40.325587429721296,False,top_marker_3
moving_frame_000080,80,3,1,35.27027374946265,False,top_marker_3
moving_frame_000081,81,3,1,33.19021969273546,False,top_marker_3
moving_frame_000083,83,3,1,31.92171415790485,False,top_marker_3
moving_frame_000088,88,4,1,60.378394678776125,False,top_marker_4
moving_frame_000091,91,4,1,46.74576968868497,False,top_marker_4
moving_frame_000092,92,4,1,77.7089285526118,False,top_marker_4
moving_frame_000093,93,4;7,2,110.0678017733863,False,top_marker_4;top_marker_7;top_pair_4_7
moving_frame_000094,94,4;7,2,99.62890093343158,False,top_marker_4;top_pair_4_7
moving_frame_000095,95,4;7,2,99.62890093343158,False,top_marker_4;top_pair_4_7
moving_frame_000096,96,4;6;7,3,121.59951949532686,False,top_marker_4;top_marker_7;top_pair_4_6;top_pair_4_7
moving_frame_000098,98,6;7,2,82.3962914174445,False,top_marker_6
moving_frame_000099,99,6;7,2,88.76538623574245,False,top_marker_6;top_marker_7
moving_frame_000100,100,6;7,2,88.76538623574245,False,top_marker_6;top_marker_7
moving_frame_000101,101,6;7,2,73.56278693020262,False,top_marker_7;top_pair_6_7
moving_frame_000102,102,6;7;8,3,111.770724746083,False,top_marker_6;top_pair_6_8;top_pair_7_8
moving_frame_000103,103,6;7;8,3,123.31009620144135,False,top_marker_7;top_pair_6_7;top_pair_6_8;top_pair_7_8
moving_frame_000104,104,6;7;8,3,111.86321310462006,False,top_marker_7;top_pair_6_7;top_pair_6_8;top_pair_7_8
moving_frame_000105,105,6;7;8,3,111.86321310462006,False,top_marker_7;top_pair_6_7;top_pair_6_8;top_pair_7_8
moving_frame_000107,107,5;6,2,95.25288791938902,False,top_marker_5;top_marker_6;top_pair_5_6
moving_frame_000108,108,5;6,2,116.15188447621588,False,top_marker_5;top_marker_6;top_pair_5_6
moving_frame_000109,109,5;6;8,3,114.59071022167036,False,top_marker_5;top_marker_6;top_pair_5_6;top_pair_5_8
moving_frame_000110,110,5;6;8,3,114.59071022167036,False,top_marker_5;top_marker_6;top_pair_5_6
moving_frame_000111,111,5;8,2,71.43321534817127,False,top_marker_5;top_pair_5_8
moving_frame_000112,112,5;8,2,83.53067294968332,False,top_marker_5;top_marker_8;top_pair_5_8
moving_frame_000113,113,5;8,2,83.0135853370504,False,top_marker_5;top_pair_5_8
moving_frame_000114,114,8,1,50.99794850375629,False,top_marker_8
moving_frame_000115,115,8,1,50.99794850375629,False,top_marker_8
moving_frame_000117,117,8,1,66.90068016877605,False,top_marker_8
moving_frame_000118,118,8;11,2,78.16022589115379,False,top_marker_8;top_pair_8_11
moving_frame_000119,119,8;11,2,78.16022589115379,False,top_marker_8;top_pair_8_11
moving_frame_000120,120,8;11,2,91.68431841797255,False,top_marker_8;top_pair_8_11
moving_frame_000121,121,8,1,97.33980174751014,False,top_marker_8
moving_frame_000124,124,12;13,2,42.11409028630476,False,top_marker_13
moving_frame_000126,126,12;13,2,74.95779235331445,False,top_marker_13;top_pair_12_13
moving_frame_000127,127,11;12;13,3,114.53316069804683,False,top_marker_13;top_pair_11_13;top_pair_12_13
moving_frame_000130,130,11;12,2,102.54727753235716,False,top_marker_11
moving_frame_000131,131,11;12,2,115.90188928218367,False,top_marker_11;top_pair_11_12
moving_frame_000136,136,12,1,64.80173795605545,False,top_marker_12
moving_frame_000138,138,12,1,91.38522957128326,False,top_marker_12
moving_frame_000139,139,12,1,73.2412075991667,False,top_marker_12
moving_frame_000159,159,10,1,52.04239675601577,False,top_marker_10
moving_frame_000160,160,10,1,47.458101479756934,False,top_marker_10
moving_frame_000161,161,10,1,47.458101479756934,False,top_marker_10
moving_frame_000162,162,10;12,2,66.18970973774697,False,top_marker_10
moving_frame_000163,163,10;12,2,98.03022548314814,False,top_marker_12;top_pair_10_12
moving_frame_000164,164,0;10;12,3,95.07331969087156,False,top_marker_12;top_pair_0_10;top_pair_0_12
moving_frame_000165,165,10;12,2,84.10360247776816,False,top_pair_10_12
moving_frame_000166,166,10;12,2,84.10360247776816,False,top_pair_10_12
moving_frame_000167,167,10;12,2,79.27857055028852,False,top_marker_10;top_pair_10_12
moving_frame_000169,169,0;11;12,3,114.08688491664256,False,top_marker_11;top_pair_0_11;top_pair_0_12
moving_frame_000170,170,11;12,2,81.98272979021041,False,top_marker_11
moving_frame_000171,171,11;12,2,81.98272979021041,False,top_marker_11
moving_frame_000172,172,10;11;12,3,135.09809716045027,False,top_marker_11;top_pair_10_11;top_pair_11_12
moving_frame_000173,173,9;10;11;12,4,118.9635443272379,False,top_marker_9
moving_frame_000175,175,0;9;10;11;12,5,123.95882509716348,False,top_marker_9;top_pair_0_11;top_pair_0_9;top_pair_9_12
moving_frame_000176,176,0;9;10;11;12,5,123.95882509716348,False,top_marker_9;top_pair_0_9
moving_frame_000177,177,9;10;11;12;13,5,152.15090283319222,False,top_marker_13;top_marker_9;top_pair_9_13
moving_frame_000178,178,9;10;11;12;13,5,167.39116023226035,False,top_marker_13;top_marker_9;top_pair_10_13;top_pair_12_13;top_pair_9_10;top_pair_9_11;top_pair_9_12;top_pair_9_13
moving_frame_000179,179,9;10;11;12;13,5,160.80615489168665,False,top_marker_13;top_pair_10_13;top_pair_11_13;top_pair_12_13;top_pair_9_13
moving_frame_000180,180,10;11;13,3,140.70958422233235,False,top_marker_13;top_pair_10_11;top_pair_10_13;top_pair_11_13
moving_frame_000181,181,10;11;13,3,140.70958422233235,False,top_marker_13;top_pair_10_11;top_pair_10_13;top_pair_11_13
moving_frame_000182,182,9;10;11,3,133.79914485072365,False,top_marker_11;top_marker_9;top_pair_10_11;top_pair_9_10;top_pair_9_11
moving_frame_000183,183,0;9;10;11;12,5,172.4828932538673,False,top_marker_9;top_pair_0_11;top_pair_0_12;top_pair_0_9;top_pair_11_12;top_pair_9_10;top_pair_9_11;top_pair_9_12
moving_frame_000184,184,0;9;10;11;12,5,210.27668424148712,False,top_marker_11;top_marker_9;top_pair_0_11;top_pair_0_12;top_pair_0_9;top_pair_11_12;top_pair_9_10;top_pair_9_11;top_pair_9_12
moving_frame_000185,185,9;10;11;12,4,130.8660715370962,False,top_marker_12
moving_frame_000189,189,10;12,2,88.02356368542675,False,top_marker_12
moving_frame_000190,190,10;12,2,88.02356368542675,False,top_marker_12
moving_frame_000193,193,0;10,2,45.55460100522073,False,top_pair_0_10
moving_frame_000195,195,0;10,2,66.32710133610028,False,top_marker_10;top_pair_0_10
moving_frame_000196,196,0;10,2,66.32710133610028,False,top_marker_10;top_pair_0_10
moving_frame_000197,197,0;10,2,59.798339772898906,False,top_marker_10
moving_frame_000209,209,0;4,2,30.809720719320566,False,top_pair_0_4
moving_frame_000213,213,0;4,2,16.240536953959452,False,top_pair_0_4
moving_frame_000214,214,0;4,2,27.180310215616668,False,top_pair_0_4
moving_frame_000215,215,4,1,45.25375231783831,False,top_marker_4
moving_frame_000223,223,14,1,23.51522660044524,True,reference_marker_14;top_marker_14
moving_frame_000224,224,14,1,25.434481049883722,True,reference_marker_14;top_marker_14
moving_frame_000225,225,3;14,2,52.14975934847721,True,reference_marker_14;top_marker_14;top_marker_3;top_pair_3_14
moving_frame_000226,226,3;14,2,52.14975934847721,True,reference_marker_14;top_marker_14;top_marker_3;top_pair_3_14
moving_frame_000244,244,0;1,2,60.7841912616411,False,top_pair_0_1
moving_frame_000248,248,0;1,2,60.76381191064457,False,top_pair_0_1
