observer_type,observer_id,frame_id,marker_id,num_corners,mean_reproj_px,median_reproj_px,max_reproj_px
static,cam_edge_0,static,3,4,0.4612900644740932,0.4907491297317247,0.6855325428319383
static,cam_edge_0,static,7,4,0.812816271324805,0.8767753477671524,1.2608762469281924
static,cam_edge_0,static,4,4,0.43239199095169917,0.45891613712739976,0.7502298062094763
static,cam_edge_1,static,14,4,0.4352884713269998,0.49684453849592247,0.6342949969324159
static,cam_edge_1,static,2,4,0.24753945751707712,0.1601488237854526,0.6245881771648408
static,cam_edge_1,static,5,4,0.3563301882819233,0.36539642418587054,0.45975118027106404
static,cam_edge_1,static,7,4,0.5112820487945952,0.5854733012205741,0.707909438451511
static,cam_edge_1,static,6,4,0.4862730873337425,0.4579020245427947,0.7553116976906469
static,cam_edge_1,static,8,4,0.5378420439243488,0.4953745836850446,0.8439979347537344
static,cam_edge_3,static,1,4,0.6389912991358155,0.5420153542571964,1.1278358417550145
static,cam_edge_3,static,2,4,0.44853836126758306,0.44493543990681456,0.5619943394582415
static,cam_edge_3,static,14,4,0.31625313838959934,0.2172309851221847,0.6640390909861008
static,cam_edge_3,static,5,4,0.4544502032130724,0.41627379908742557,0.6241630205715
static,cam_edge_3,static,6,4,0.5127185180651651,0.48654795466064704,0.7028873620003484
static,cam_edge_3,static,7,4,0.337371732939173,0.29870859875663003,0.5687378451242354
static,cam_edge_3,static,8,4,0.36022707971410944,0.3767297046425495,0.39048401067313593
static,cam_edge_5,static,13,4,0.5764466841914924,0.5736524745215221,0.8800915098017598
static,cam_edge_5,static,11,4,0.2667897238392765,0.21448605483589672,0.4878248394297838
static,cam_edge_5,static,12,4,0.4785106006404166,0.478621194723692,0.6458218827335992
static,cam_edge_5,static,9,4,0.43908738543849757,0.49019645262085976,0.5875553072692903
static,cam_edge_5,static,10,4,0.5812139721756442,0.5640839960957118,0.9456287026600567
static,cam_edge_5,static,0,4,0.39208663603573113,0.3983052173868302,0.4658941058302315
moving,moving_frame_000000,0,13,4,0.7734097772059151,0.615146657334354,1.412839264825946
moving,moving_frame_000000,0,11,4,0.33309838999118024,0.2972511359793251,0.6262036121880051
moving,moving_frame_000000,0,12,4,0.7331841718603866,0.6658854320919354,1.0606604712385896
moving,moving_frame_000000,0,9,4,0.23490912634082917,0.2338730812169118,0.4035511660683594
moving,moving_frame_000000,0,10,4,0.4043835689590253,0.3936054330871562,0.6088412947301598
moving,moving_frame_000000,0,0,4,0.37187886874987497,0.28678223618880905,0.6741229217305165
moving,moving_frame_000001,1,13,4,0.6398851986072124,0.5827202382698337,1.1568934753449118
moving,moving_frame_000001,1,12,4,0.48359823828626314,0.4537516285016502,0.7897942505798954
moving,moving_frame_000001,1,9,4,0.38828207383642205,0.41878264382884045,0.5251957977078859
moving,moving_frame_000001,1,10,4,0.4070931639854273,0.32812119719773875,0.8194853424089622
moving,moving_frame_000001,1,0,4,0.24757259367679774,0.23495298984902652,0.3175847891019347
moving,moving_frame_000002,2,13,4,0.3678032870626668,0.3345581034217103,0.5112157172101748
moving,moving_frame_000002,2,12,4,0.5376724028616037,0.4305180560224886,1.0902283032827342
moving,moving_frame_000002,2,9,4,0.5047141286211445,0.46800253575514184,0.7482910797849935
moving,moving_frame_000002,2,10,4,0.6588829945759153,0.6208562652557457,0.9135706533133602
moving,moving_frame_000002,2,0,4,0.5102677454891731,0.4415915063439799,0.8582252284674264
moving,moving_frame_000003,3,13,4,0.3045860390472069,0.3422792360420356,0.4890067691320879
moving,moving_frame_000003,3,9,4,0.39502818723866523,0.3527999233819016,0.5655717735120216
moving,moving_frame_000003,3,10,4,0.3006520515827027,0.31664615201702506,0.4063849590398246
moving,moving_frame_000003,3,0,4,0.3851155010883463,0.3365945451507058,0.6116610760322391
moving,moving_frame_000004,4,13,4,0.49580346619637694,0.5049749702475224,0.5612249463160495
moving,moving_frame_000004,4,11,4,0.35103539220811325,0.35965447999336064,0.43934422967351766
moving,moving_frame_000004,4,9,4,0.22593654478398462,0.20475215440270417,0.33669274097278334
moving,moving_frame_000004,4,10,4,0.3319487348905966,0.3542797772217451,0.5461939833458725
moving,moving_frame_000004,4,0,4,0.28642758906656746,0.23996969520577266,0.49191582726832556
moving,moving_frame_000005,5,13,4,0.6227820698235698,0.6212151630053879,0.9154804695339929
moving,moving_frame_000005,5,11,4,0.21303347926863872,0.1713144907180184,0.44377334404710406
moving,moving_frame_000005,5,9,4,0.319879342016826,0.32997624660972225,0.47374550349425426
moving,moving_frame_000006,6,13,4,0.2499051819501218,0.25117317355573,0.3832520488901058
moving,moving_frame_000006,6,11,4,0.29500377067136263,0.21865866822487826,0.5861617127707036
moving,moving_frame_000006,6,9,4,0.5109638572856962,0.5126314120955691,0.5758134323591468
moving,moving_frame_000006,6,10,4,0.31700948705243415,0.31684250567687117,0.492745227891421
moving,moving_frame_000006,6,0,4,0.3614194928038097,0.3057216592549137,0.714308548962244
moving,moving_frame_000007,7,13,4,0.42742779143096205,0.4342873485642108,0.5167975574129533
moving,moving_frame_000007,7,11,4,0.3176087408795353,0.2989511059395704,0.4854677342876136
moving,moving_frame_000007,7,9,4,0.38733198177176864,0.30836486400122,0.7327835490094364
moving,moving_frame_000007,7,10,4,0.533527405325976,0.540510461315693,0.6090613950483644
moving,moving_frame_000007,7,0,4,0.40605033881317143,0.35399731326483674,0.6098508755330414
moving,moving_frame_000008,8,11,4,0.5367915261767469,0.5503180394662331,0.6895518377214225
moving,moving_frame_000008,8,9,4,0.27918636480979986,0.2648229979812219,0.47992582405890527
moving,moving_frame_000008,8,10,4,0.30846519983146414,0.3479964017410942,0.5099994130090496
moving,moving_frame_000008,8,0,4,0.30690933644832563,0.34347871557750764,0.3945860894579785
moving,moving_frame_000009,9,11,4,0.2909379568906451,0.2837339041133584,0.5598741360844978
moving,moving_frame_000009,9,9,4,0.380365407550736,0.41036903951831394,0.47036031110961113
moving,moving_frame_000009,9,10,4,0.39839695046716517,0.4093673808397815,0.49554717964800005
moving,moving_frame_000009,9,0,4,0.34608271884051245,0.36489658024369637,0.44996887141944114
moving,moving_frame_000010,10,11,4,0.4813995443449225,0.47404961829775,0.9391446163867491
moving,moving_frame_000010,10,9,4,0.4045074561227475,0.41496942658206326,0.5416785349589726
moving,moving_frame_000010,10,10,4,0.45935119951594405,0.4454787209670646,0.6336492617851711
moving,moving_frame_000010,10,0,4,0.2406107729084203,0.23889928594851428,0.40833994949646335
moving,moving_frame_000011,11,11,4,0.7941758049009671,0.8565791304514162,1.1280111332175469
moving,moving_frame_000011,11,12,4,0.5030173611711525,0.4970035280080962,0.7392768091945418
moving,moving_frame_000011,11,9,4,0.519621303724966,0.603679774168363,0.7512919346647573
moving,moving_frame_000011,11,10,4,0.7735076560944951,0.8227693937886598,1.1054429555712595
moving,moving_frame_000011,11,0,4,0.5213056684108507,0.4810913370367124,0.7046524369525171
moving,moving_frame_000012,12,12,4,0.4260606835227414,0.40083774839716974,0.5399893339099913
moving,moving_frame_000012,12,10,4,0.3654260301272995,0.3481121828652897,0.61425459688973
moving,moving_frame_000013,13,12,4,0.30636184022036317,0.30245442179170623,0.40967958297504453
moving,moving_frame_000013,13,10,4,0.28762861665005907,0.2590569586073357,0.5183216129553584
moving,moving_frame_000014,14,12,4,0.3072269759599491,0.3516688780101087,0.3865975415817413
moving,moving_frame_000014,14,10,4,0.28082706942260677,0.31333158921954746,0.4339778469145042
moving,moving_frame_000015,15,12,4,0.3675854829370396,0.42483691652709343,0.5241189713546996
moving,moving_frame_000015,15,10,4,0.22110989260260888,0.1771176293831381,0.44364024111047173
moving,moving_frame_000016,16,10,4,0.21435717142986235,0.21407974455393824,0.23187774748058218
moving,moving_frame_000017,17,10,4,0.2944990053622027,0.36029046188002956,0.3838830871069163
moving,moving_frame_000017,17,0,4,0.3684394440686374,0.3676320255958718,0.5212136069209642
moving,moving_frame_000018,18,10,4,0.14755460116335198,0.16537408597936087,0.17357030287147335
moving,moving_frame_000018,18,0,4,0.33125437495880616,0.3977607741039775,0.49283926047132154
moving,moving_frame_000019,19,10,4,0.42841196864540526,0.5235444795930598,0.61013159098216
moving,moving_frame_000019,19,0,4,0.3388793688153552,0.3520542348515122,0.38104976098805443
moving,moving_frame_000020,20,10,4,0.5098315825376161,0.4815782079953864,0.7531375843405324
moving,moving_frame_000020,20,0,4,0.2260745663117058,0.2421878283796708,0.31270167164749313
moving,moving_frame_000021,21,10,4,0.26361767053620005,0.24302583261992955,0.45113763939776896
moving,moving_frame_000021,21,0,4,0.31431811577580987,0.23114727671445096,0.612063554398826
moving,moving_frame_000028,28,14,4,0.25569829498857183,0.21407921451594458,0.43726993535453174
moving,moving_frame_000028,28,0,4,0.30871834935434317,0.21914099686561544,0.6591938796665237
moving,moving_frame_000028,28,4,4,0.25776424625312144,0.26783753016774786,0.3281126484266926
moving,moving_frame_000029,29,14,4,0.3799424851182692,0.392839943027849,0.6710379551478469
moving,moving_frame_000029,29,0,4,0.4225337575235523,0.456679805278891,0.5801773056084312
moving,moving_frame_000029,29,4,4,0.4247527936670917,0.3947971781426076,0.5732628060085769
moving,moving_frame_000030,30,14,4,0.6927173998868725,0.5952726888247069,1.260646963300792
moving,moving_frame_000030,30,0,4,0.40460709078767426,0.42744781913661467,0.5157885291236852
moving,moving_frame_000030,30,4,4,0.4185941178623125,0.42750930633171896,0.6990690245180682
moving,moving_frame_000033,33,0,4,0.28079105333266396,0.2798379289135785,0.46106841651167
moving,moving_frame_000033,33,4,4,0.31748496770266077,0.3645160139294624,0.3743074930947289
moving,moving_frame_000034,34,0,4,0.17999420996759422,0.15662182861913815,0.35731393522113386
moving,moving_frame_000034,34,4,4,0.3467987379569939,0.3425147435934698,0.3633230260677486
moving,moving_frame_000037,37,4,4,0.11151376739118767,0.11156633074012323,0.11211434702214601
moving,moving_frame_000039,39,0,4,0.228110343456855,0.22907126381994627,0.3333302448614515
moving,moving_frame_000039,39,4,4,0.1703466040809361,0.17481590547143744,0.21553784237729984
moving,moving_frame_000040,40,3,4,0.38670207204566853,0.4191492997719982,0.5784147221302143
moving,moving_frame_000040,40,0,4,0.23341612486731256,0.21257458906278348,0.4157862120465341
moving,moving_frame_000040,40,4,4,0.5961891358419542,0.5766393472709765,0.7805430717711617
moving,moving_frame_000041,41,3,4,0.6203332259604737,0.625806179330282,0.9271981109915248
moving,moving_frame_000041,41,0,4,0.43258017530528114,0.43839134953224257,0.6212930831028511
moving,moving_frame_000041,41,4,4,0.4298298172710062,0.44235889950130053,0.6955859116161456
moving,moving_frame_000042,42,3,4,0.5577945484884708,0.5327704863197475,0.9631848440337119
moving,moving_frame_000042,42,0,4,0.1600262567122706,0.15428048598822952,0.2499091191474684
moving,moving_frame_000042,42,4,4,0.7222823016481676,0.7017613284872386,0.9889734292574621
moving,moving_frame_000044,44,14,4,0.6192062093368355,0.6935961776450548,0.9239410801212797
moving,moving_frame_000044,44,3,4,0.48898093303552953,0.5106338962055208,0.61036537914934
moving,moving_frame_000044,44,0,4,0.26774994421052456,0.30635816150741585,0.42819837753169215
moving,moving_frame_000045,45,14,4,0.5798809231940096,0.5725339452672972,0.7439154017523527
moving,moving_frame_000045,45,3,4,0.4208474835130805,0.37764094062557885,0.7701974773629096
