marker,marker_id,trans_err_cm,rot_err_deg,dx_cm,dy_cm,dz_cm,est_x_m,est_y_m,est_z_m,gt_x_m,gt_y_m,gt_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
marker_000,0,9.523,2.482,-3.237,-0.910,-8.910,-2.582371,-0.029101,0.690899,-2.550000,-0.020000,0.780000,64.690,-0.235,89.383,67.082,-0.000,90.000
marker_001,1,7.503,2.237,-4.342,-1.801,-5.849,-2.293419,-1.043005,1.171512,-2.250000,-1.025000,1.230000,2.219,-0.252,-90.136,-0.000,0.000,-90.000
marker_002,2,4.196,2.655,-1.717,-1.301,-3.601,-1.117172,-1.038015,0.663993,-1.100000,-1.025000,0.700000,69.337,0.560,-88.705,67.082,0.000,-90.000
marker_003,3,10.655,1.900,7.547,5.967,-4.577,0.175475,0.769674,0.354233,0.100000,0.710000,0.400000,90.167,-1.699,0.831,90.000,-0.000,0.000
marker_004,4,6.053,13.968,-2.595,4.324,-3.349,0.674051,0.753236,1.566513,0.700000,0.710000,1.600000,102.743,-4.935,-3.519,90.000,-0.000,0.000
marker_005,5,10.977,2.881,10.132,-2.201,3.605,2.001318,-1.502012,0.736047,1.900000,-1.480000,0.700000,69.821,-0.457,-90.775,67.082,0.000,-90.000
marker_006,6,5.643,6.052,2.083,1.514,5.021,1.990830,0.015139,1.020208,1.970000,-0.000000,0.970000,73.130,0.012,-90.231,67.082,0.000,-90.000
marker_007,7,5.749,4.932,1.825,1.925,5.100,1.988250,0.454249,1.021005,1.970000,0.435000,0.970000,71.827,-0.220,-91.335,67.082,0.000,-90.000
marker_008,8,12.130,4.513,9.671,-0.403,7.309,2.746715,-1.029026,1.083095,2.650000,-1.025000,1.010000,70.747,-0.792,-92.538,67.082,0.000,-90.000
marker_009,9,32.747,8.563,14.022,-27.415,-11.143,3.160221,-0.294147,0.908573,3.020000,-0.020000,1.020000,72.778,0.932,83.718,67.082,-0.000,90.000
marker_010,10,30.362,3.936,8.847,-28.883,-3.067,3.108469,-1.768825,0.989334,3.020000,-1.480000,1.020000,67.380,2.903,87.366,67.082,-0.000,90.000
marker_011,11,35.910,3.968,14.126,-31.998,-8.128,4.141258,-0.819984,1.048720,4.000000,-0.500000,1.130000,0.649,2.831,87.313,-0.000,-0.000,90.000
marker_012,12,34.460,4.549,9.472,-32.957,-3.407,4.134723,-1.809569,0.985926,4.040000,-1.480000,1.020000,70.599,-0.363,177.126,67.082,-0.000,180.000
marker_013,13,38.868,3.842,16.495,-32.727,-12.945,4.214952,-0.097267,0.740545,4.050000,0.230000,0.870000,1.462,2.659,87.678,-0.000,-0.000,90.000
aruco_ref_floor_14,14,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,-0.000,0.000,0.000,-0.000,0.000
