point3d_id,x_ref_aruco_m,y_ref_aruco_m,z_ref_aruco_m,r,g,b,colmap_reprojection_error
9846,2.3144285120821526,-0.36446597887592197,1.1294369655524086,119,125,143,0.39846631785297526
9836,0.9839717369311674,-0.5313182433838728,0.7655649971166475,0,0,0,1.3092639184670343
9828,2.003974122224461,-0.6385851106907626,1.075655559787897,8,8,8,0.05605559048828168
9827,1.4849065698467117,-0.7950668604560649,0.8326260390419354,231,231,231,1.0331121976708255
9826,1.3539963368164776,-0.16077697813698294,0.9907224946644891,102,102,105,0.1690412961710244
9822,1.5827151166633833,-0.048543144616396805,0.8069646165519561,142,142,142,0.7780308465554021
9820,1.591302543735995,-0.04942903577713176,0.817272693124875,142,142,142,0.9144685832724917
9819,1.5913025437359956,-0.04942903577713181,0.8172726931248754,142,142,142,0.9144685832725008
9818,1.588989508713422,-0.0491898634278804,0.8203984128182491,142,142,142,0.29968565584790263
9814,2.0565646516929883,-0.607993974785831,1.159839542843563,23,83,42,0.021164253036010616
9810,1.1351274770805335,-1.0908435785936081,0.8760175967121651,8,8,8,0.149802829427417
9809,1.5792791656518945,-0.5284172467829806,0.9678946167027284,107,107,107,2.4022397313538524
9808,1.5792791656518945,-0.5284172467829806,0.9678946167027284,107,107,107,2.4022397313538524
9807,2.0305584091950006,-0.6133161296978469,1.1916483787160412,116,116,116,0.06414884426649914
9806,1.5248676110280217,-0.8490502827719542,0.9900901259669712,8,8,8,0.047991172985901734
9803,2.024725929182729,-0.6154504109673272,1.205216076807311,89,91,95,0.030235171792312523
9802,2.0191420094173713,-0.6155130533619918,1.214880392129346,66,76,95,0.11510455399428803
9801,1.3917514910742803,-0.1436407362058299,1.0060188496503295,65,81,76,0.12820154697411895
9799,2.186267343273505,0.024334349949111655,1.088062312862703,75,80,92,1.1524800063396623
9798,2.169550580843284,-0.6340206550520107,0.9340312611577954,231,231,231,0.16782626676708437
9797,2.169550580843284,-0.6340206550520107,0.9340312611577954,231,231,231,0.16782626676708437
9794,1.6162834029753312,0.07653205086546566,0.8827533579721251,28,29,29,0.381915642637482
9788,1.4695382667324894,-0.07779593856464301,0.9405366905968597,231,231,231,0.007823687657465406
9787,1.4695382667324894,-0.07779593856464301,0.9405366905968597,231,231,231,0.007823687657465406
9785,2.0130910135089577,-0.6220602680018812,1.174230978006524,84,86,91,0.03165584537242123
9782,2.024965002796862,-0.6167088107299274,1.1885230232735724,98,99,101,0.09020731902555586
9780,0.9837295178433556,-0.42932625279217745,0.7777817261648299,96,101,116,0.6784456966987026
9775,2.3272734797431944,-0.41459032025029585,1.0993326112383195,80,84,97,1.1645805411973953
9774,1.4856079113353804,-0.8475069072754438,0.804480778074333,231,231,231,0.5385184716746438
9773,1.4825867563149795,-0.8497294509605484,0.8030453043713358,231,231,231,0.4318593441266917
9771,0.5922473389980603,-0.5431942499928984,0.8673000132691016,0,0,0,0.13963310396256634
9770,0.8738196816771696,-0.351816679580055,0.6053214013021909,0,0,0,1.6692441874978425
9769,-0.12454857008874076,-1.4767766133220817,0.5109957906987858,0,0,0,1.065694923620501
9766,2.3378133209002034,-0.42811013633100264,1.1243942404355123,231,231,231,0.2564811152418127
9765,1.4323714911701175,-0.8896543800571111,0.7922350976268455,231,231,231,1.6920288827339345
9764,0.009730714038128196,-1.4167046310097158,0.5801627574073283,0,0,0,1.4510022473733255
9762,1.351806458661801,0.06865395860635426,0.817332631505629,57,57,57,2.098169608364358
9758,2.179491855318644,0.03004787882911253,1.1452033576531955,99,105,120,0.6457745863536307
9753,1.5621689846554512,-0.01983165890718258,0.9694918614870514,57,57,57,0.5668198689197721
9752,2.301618616234305,-0.3399846707647235,1.1110723317002569,86,80,77,0.6078991412753034
9747,2.257975059355583,-0.27984265301640476,0.9700052359354204,59,62,72,0.09261368479463764
9746,1.4759117588318047,-0.7338462837203837,0.9795000582555982,0,0,0,1.4077670433576221
9744,2.286695062457172,-0.2954275130872027,1.107794909492335,86,81,77,0.575395910771139
9740,2.1693177759650126,0.06911854323009381,1.165245027575982,57,57,57,1.2092202316446645
9737,0.06070524911642994,-1.399363133795969,0.627327789685507,0,0,0,0.3974373288504543
9736,0.07671869898875028,-0.626199850017858,0.7022179642901988,0,0,0,0.37960836405433573
9732,1.589687693834822,-0.05132584481769853,0.8040583295674397,0,0,0,0.5966857034277335
9731,1.589687693834822,-0.05132584481769853,0.8040583295674397,0,0,0,0.5966857034277335
9729,1.953123382428061,-0.7352800938026409,1.0205897632208611,8,8,8,0.004548487029756488
9718,1.508217652027147,-0.567390415355897,0.9430613258537086,107,107,107,0.7705431746133857
9715,-1.655512926298214,-3.7248227148260917,-0.4963619535904724,8,8,8,0.5387211435892133
9710,1.276735731701302,-0.19019155269035276,0.9420636116465748,49,93,60,0.37602742166898584
9709,2.1695714254359943,-0.635093548997755,0.9408058651707252,8,8,8,0.3724424661771981
9708,2.1695714254359943,-0.635093548997755,0.9408058651707252,8,8,8,0.3724424661771981
9705,2.146015391185143,-0.6334102250135998,1.0699275310513217,9,9,9,0.6777473481402619
9704,1.8120981517730232,-0.7283987661772813,0.9187464041529447,10,10,10,0.797171628822635
9701,-0.017152311988799962,-1.2924778254684504,0.6266439726037742,0,0,0,0.6270080953513333
9700,1.501935776770491,-0.9773652218754187,0.9128163317307938,8,8,8,0.02629672093278799
9699,1.0419340356492544,-0.29614737535736635,0.8040892518851017,105,105,105,0.8587109603429417
9693,1.2814845317332695,-0.19211254004269857,0.9217427357642998,103,104,106,0.14959437337514822
