residual_evaluation_index,source,solver_iteration,solver_nfev,elapsed_seconds,robust_cost,reprojection_rmse_px,mean_reprojection_error_px,maximum_reprojection_error_px,parameter_step_norm
1,initial_diagnostic,,,0.02497509599197656,125216.78456737769,104.09449521311441,55.414072839158706,504.240441580003,
2,solver_residual_call,,,0.05063948499446269,125216.78456737769,104.09449521311441,55.414072839158706,504.240441580003,0.0
3,solver_residual_call,,,0.07546564099902753,125216.78428888215,104.09449520390959,55.414072679785356,504.240441580003,1.951784556197822e-08
4,solver_residual_call,,,0.09897343498596456,125216.7845255801,104.09449521169218,55.4140728125277,504.240441580003,2.455587303083041e-08
5,solver_residual_call,,,0.12183345299854409,125216.78457214238,104.09449521320849,55.41407283434784,504.240441580003,2.1073424255447017e-08
6,solver_residual_call,,,0.14411014399956912,125216.78451103333,104.0944952112823,55.414072810447095,504.240441580003,6.961920839324435e-08
7,solver_residual_call,,,0.16755965299671516,125216.78454039629,104.09449521218545,55.414072819331075,504.240441580003,1.049713720205372e-07
8,solver_residual_call,,,0.19040237899753265,125216.78465098914,104.09449521588365,55.41407288722981,504.240441580003,9.236557544284485e-08
9,solver_residual_call,,,0.21990703599294648,125216.78502062224,104.09449526080842,55.41407296534338,504.240441580003,5.375499072942937e-08
10,solver_residual_call,,,0.24736495599790942,125216.78523576971,104.09449531065958,55.41407306993145,504.240441580003,3.937471229518926e-08
11,solver_residual_call,,,0.2750425239937613,125216.78467383655,104.09449525865712,55.41407293559633,504.240441580003,3.193765333151008e-08
12,solver_residual_call,,,0.3037895019951975,125216.78468603574,104.09449521771911,55.41407285759653,504.240441580003,3.7216646132736794e-08
13,solver_residual_call,,,0.3308890489861369,125216.78449689709,104.09449519701467,55.41407280187778,504.240441580003,3.7216646132736794e-08
14,solver_residual_call,,,0.36332979299186263,125216.78444396472,104.09449520765295,55.41407282320614,504.240441580003,6.017282742350098e-08
15,solver_residual_call,,,0.3909093149995897,125216.78519866214,104.09449581828821,55.41407309272891,504.240441580003,6.42782301548934e-08
16,solver_residual_call,,,0.4188086609938182,125216.78537106712,104.0944958696839,55.41407312014966,504.240441580003,3.8819010907211305e-08
17,solver_residual_call,,,0.44369021299644373,125216.78467190563,104.09449525696786,55.41407285855188,504.240441580003,3.1559370971348185e-08
18,solver_residual_call,,,0.47346807799476665,125216.7846549197,104.09449530985843,55.414072880014515,504.240441580003,3.755392498385119e-08
