marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
0,side_01,0,1,0.02076033066343374,0.17,8.188694234019593,yes,2.710849307444266
0,side_12,1,2,0.033186911771213974,0.17,5.12250133944239,yes,0.35534358713293646
0,side_23,2,3,0.02132383729226116,0.17,7.972298684800805,yes,2.494453758225478
0,side_30,3,0,0.034583210091318914,0.17,4.915680168240757,yes,0.5621647583345695
0,diag_02,0,2,0.039374948504130224,0.2404163056034262,6.105818921343041,yes,0.6279739947677143
0,diag_13,1,3,0.040373577777973846,0.2404163056034262,5.954793179973943,yes,0.476948253398616
2,side_01,0,1,0.018579094033597962,0.17,9.150069410950627,yes,3.6722244843753
2,side_12,1,2,0.02321031126053478,0.17,7.32433090154445,yes,1.8464859749691236
2,side_23,2,3,0.020072488558311567,0.17,8.469303619535847,yes,2.99145869296052
2,side_30,3,0,0.02512340672653484,0.17,6.766598250405643,yes,1.2887533238303162
2,diag_02,0,2,0.028653791683747144,0.2404163056034262,8.390383662201115,yes,2.9125387356257884
2,diag_13,1,3,0.033040973744766805,0.2404163056034262,7.276308121563897,yes,1.79846319498857
3,side_01,0,1,0.19158349608347996,0.17,0.8873415689518724,yes,4.590503357623454
3,side_12,1,2,0.19014848931964937,0.17,0.8940381309799484,yes,4.583806795595378
3,side_23,2,3,0.233602817426603,0.17,0.7277309489360645,yes,4.750113977639263
3,side_30,3,0,0.1705032006042309,0.17,0.997048732208852,yes,4.480796194366475
3,diag_02,0,2,0.2909458536982368,0.2404163056034262,0.8263266258909507,yes,4.651518300684376
3,diag_13,1,3,0.262235514431328,0.2404163056034262,0.9167953704698697,yes,4.561049556105457
4,side_01,0,1,0.12872788301227808,0.17,1.3206152080026468,yes,4.15722971857268
4,side_12,1,2,0.20167684738179767,0.17,0.8429326529394338,yes,4.634912273635893
4,side_23,2,3,0.1602537647614282,0.17,1.0608175118574041,yes,4.417027414717923
4,side_30,3,0,0.29481003823912877,0.17,0.5766425085637966,yes,4.90120241801153
4,diag_02,0,2,0.24475298263305043,0.2404163056034262,0.9822814129455327,yes,4.4955635136297944
4,diag_13,1,3,0.3168364010897025,0.2404163056034262,0.7588026652763288,yes,4.719042261298998
5,side_01,0,1,2.548957136157829,0.17,0.0666939422356272,yes,5.4111509843397
