method,marker_id,is_scale_anchor,moving_inlier_frame_count,moving_inlier_frames,max_triangulation_angle_deg,static_validation_cameras,static_validation_camera_count,raw_reconstructed_size_units,anchor_scale_m_per_unit,estimated_marker_size_cm,expected_marker_size_cm,absolute_size_error_cm,relative_size_error_percent,moving_fit_reprojection_rmse_px,moving_to_static_reprojection_rmse_px,moving_to_static_reprojection_median_px,moving_to_static_reprojection_observations
AP01,0,False,10,24;25;26;27;28;49;50;51;52;53,95.43015785523343,cam_edge_1,1,0.16886716455370335,0.9140351424361067,15.435052280562573,17.0,1.5649477194374288,9.20557482022017,1.4183650927458333,126.51321499227423,126.17488438138122,4
AP01,2,False,14,0;1;2;3;4;5;6;7;8;73;74;75;76;77,26.35185978735335,cam_edge_1,1,0.17165545625250717,0.9140351424361067,15.689911940569528,17.0,1.3100880594304725,7.706400349591014,1.1940067583662632,2303.0189008475954,2294.8956390292806,4
AP01,3,True,9,0;1;2;3;4;74;75;76;77,125.1056744856152,cam_edge_1,1,0.18598847255140785,0.9140351424361067,17.0,17.0,0,0,1.5201133008023724,5341.778178645124,5322.643963649915,4
AP01,4,False,17,9;10;11;12;13;14;15;16;17;63;64;65;66;67;68;69;70,120.73230925536019,cam_edge_1,1,0.17130806627858364,0.9140351424361067,15.658159276139921,17.0,1.3418407238600798,7.893180728588704,2.2313982731568847,598.7479274743839,595.9151320259004,4
AP01,5,False,20,14;15;16;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66,34.09330421698927,cam_edge_5,1,0.16893938940461775,0.9140351424361067,15.441653885751869,17.0,1.5583461142481325,9.166741848518425,1.6453147869295268,273.9430620030865,273.9965783282021,4
AP01,7,False,4,48;49;50;51,13.140863082851643,cam_edge_5,1,0.16657034110851526,0.9140351424361067,15.225114546075263,17.0,1.7748854539247376,10.440502670145515,1.2855312306954663,187.8070296121612,187.7743446420717,4
AP01,9,False,5,37;38;39;40;41,32.79409232096234,cam_edge_5,1,0.17225962727787192,0.9140351424361067,15.745135295492032,17.0,1.2548647045079686,7.381557085340991,1.3934726242620632,300.46394955160184,299.82651312658083,4
AP01,10,False,5,33;35;36;37;38,48.24406460906946,cam_edge_1;cam_edge_5,2,0.17224737192337547,0.9140351424361067,15.744015113022755,17.0,1.255984886977246,7.3881463939838,0.7716317599822397,112.65955191179164,95.79603620984257,8
AP01,12,False,11,34;35;36;37;38;42;43;44;45;46;47,59.979871116470434,cam_edge_5,1,0.17320504818409554,0.9140351424361067,15.831550088760249,17.0,1.1684499112397524,6.873234771998543,1.681602407683469,580.9608900019651,579.4404654804073,4
AP01,15,False,9,26;27;28;29;30;57;59;60;61,72.13333661426313,cam_edge_0;cam_edge_3,2,0.1712330669279415,0.9140351424361067,15.65130407192524,17.0,1.3486959280747612,7.9335054592633005,2.0230608715880725,773.6799431728688,577.0674957565278,8
AP01,16,False,10,26;27;28;29;30;55;56;59;60;61,72.71926950288395,cam_edge_0;cam_edge_3,2,0.17042422052562478,0.9140351424361067,15.577372668270192,17.0,1.4226273317298088,8.368396068998875,1.781337261490846,603.6528654132853,464.0094661245799,8
AP01,17,False,6,36;37;38;39;40;41,21.171477734106457,cam_edge_5,1,0.17169641187001167,0.9140351424361067,15.693655427937456,17.0,1.3063445720625455,7.684379835662032,0.8817659342306564,552.4185357551728,551.2627796299184,4
AP01,18,False,4,4;71;73;74,107.09896552727493,,0,0.17476408188323755,0.9140351424361067,15.974051247686047,17.0,1.0259487523139543,6.034992660670319,1.272686507773031,,,0
AP01,19,False,9,27;28;55;56;57;58;59;60;61,82.81099984260395,cam_edge_0;cam_edge_3,2,0.1719221745165763,0.9140351424361067,15.714290927218402,17.0,1.285709072781599,7.562994545774111,1.514966509324893,5891.069401508272,2598.1360816201277,8
AP01,20,False,12,1;2;3;4;5;6;7;73;74;75;76;77,139.212149245261,,0,0.17346415597422993,0.9140351424361067,15.855233451346429,17.0,1.1447665486535725,6.733920874432779,1.7003433587256807,,,0
AP02,0,False,10,24;25;26;27;28;49;50;51;52;53,95.55191218684269,cam_edge_1,1,0.16942912994194514,1.007692166811103,17.073240707211863,17.0,0.07324070721186071,0.43082768948153355,1.2096073768765123,1.7048739271896154,1.497740276248875,4
AP02,2,False,13,0;1;2;3;4;5;6;7;73;74;75;76;77,17.39969331548472,cam_edge_1;cam_edge_3,2,0.16915277001939116,1.007692166811103,17.045392134294048,17.0,0.04539213429404498,0.26701255467085283,1.042826705255358,1.541879900560167,1.2705875134818014,8
AP02,3,True,14,0;1;2;3;4;25;26;27;28;29;74;75;76;77,37.569550969959785,cam_edge_1;cam_edge_3,2,0.16870231366189373,1.007692166811103,17.000000000000004,17.0,0,0,1.4334099888942937,0.9023461037679096,0.8126630373052199,8
AP02,4,False,20,2;3;4;5;6;7;10;14;15;17;63;64;65;66;71;73;74;75;76;77,137.71099682922414,cam_edge_1,1,0.16989926839832079,1.007692166811103,17.120616191192504,17.0,0.12061619119250189,0.7095070070147169,1.3076443381351641,1.3894344022566232,0.7713401017166686,4
AP02,5,False,17,14;15;50;51;52;53;55;56;57;58;59;60;61;63;64;65;66,34.27162688808859,cam_edge_5,1,0.16841046255598072,1.007692166811103,16.97059039266963,17.0,0.029409607330369014,0.17299769017864125,1.0325756772867423,0.7133216226576743,0.6728317391035845,4
