method,marker_id,corner_index,static_camera,cross_camera_reprojection_error_px
AP01,0,0,cam_edge_1,120.53093651307996
AP01,0,1,cam_edge_1,114.58897229589874
AP01,0,2,cam_edge_1,131.8188322496825
AP01,0,3,cam_edge_1,137.7963370576494
AP01,2,0,cam_edge_1,2263.6809024957015
AP01,2,1,cam_edge_1,2440.4402718393767
AP01,2,2,cam_edge_1,2326.1103755628596
AP01,2,3,cam_edge_1,2173.6593115308283
AP01,2,0,cam_edge_3,inf
AP01,2,1,cam_edge_3,inf
AP01,2,2,cam_edge_3,inf
AP01,2,3,cam_edge_3,inf
AP01,3,0,cam_edge_1,5018.444608244022
AP01,3,1,cam_edge_1,5675.583471017197
AP01,3,2,cam_edge_1,5522.974801692906
AP01,3,3,cam_edge_1,5122.313125606925
AP01,3,0,cam_edge_3,inf
AP01,3,1,cam_edge_3,inf
AP01,3,2,cam_edge_3,inf
AP01,3,3,cam_edge_3,inf
AP01,4,0,cam_edge_1,624.8962843995154
AP01,4,1,cam_edge_1,549.6538973197654
AP01,4,2,cam_edge_1,566.9339796522855
AP01,4,3,cam_edge_1,648.0489273503778
AP01,5,0,cam_edge_5,273.7703039218147
AP01,5,1,cam_edge_5,279.5046625555028
AP01,5,2,cam_edge_5,274.2228527345894
AP01,5,3,cam_edge_5,268.15666356983
AP01,7,0,cam_edge_5,181.28062277459387
AP01,7,1,cam_edge_5,172.5100381274451
AP01,7,2,cam_edge_5,194.2680665095495
AP01,7,3,cam_edge_5,201.80055097381887
AP01,9,0,cam_edge_5,319.5712222244828
AP01,9,1,cam_edge_5,277.4883287852052
AP01,9,2,cam_edge_5,280.08180402867885
AP01,9,3,cam_edge_5,321.7809569980407
AP01,10,0,cam_edge_1,54.39040891919121
AP01,10,1,cam_edge_1,47.489527274879755
AP01,10,2,cam_edge_1,53.17975046593147
AP01,10,3,cam_edge_1,58.437411706467515
AP01,10,0,cam_edge_5,165.78798447312008
AP01,10,1,cam_edge_5,135.0959487935376
AP01,10,2,cam_edge_5,133.15466071321762
AP01,10,3,cam_edge_5,163.13820374219327
AP01,12,0,cam_edge_5,613.7558806492711
AP01,12,1,cam_edge_5,623.5143308421513
AP01,12,2,cam_edge_5,545.1250503115435
AP01,12,3,cam_edge_5,536.129182728604
AP01,15,0,cam_edge_0,1189.4970398421299
AP01,15,1,cam_edge_0,1046.6417693379342
AP01,15,2,cam_edge_0,985.9266924379494
AP01,15,3,cam_edge_0,1107.3213260371926
AP01,15,0,cam_edge_3,168.2082990751061
AP01,15,1,cam_edge_3,132.81574129262052
AP01,15,2,cam_edge_3,111.79677974754321
AP01,15,3,cam_edge_3,147.10030487591138
AP01,16,0,cam_edge_0,897.4405606861101
AP01,16,1,cam_edge_0,822.1290130955616
AP01,16,2,cam_edge_0,796.3463344962599
AP01,16,3,cam_edge_0,863.4348558082584
AP01,16,0,cam_edge_3,124.15811042803257
AP01,16,1,cam_edge_3,97.83631720642563
AP01,16,2,cam_edge_3,108.93343011421025
AP01,16,3,cam_edge_3,131.67259775289983
AP01,17,0,cam_edge_5,588.9106307295609
AP01,17,1,cam_edge_5,517.0000207279629
AP01,17,2,cam_edge_5,513.536800912566
AP01,17,3,cam_edge_5,585.5255385318738
AP01,19,0,cam_edge_0,12695.552665718462
AP01,19,1,cam_edge_0,6646.185909527957
AP01,19,2,cam_edge_0,4564.678225951982
AP01,19,3,cam_edge_0,7081.86430160236
AP01,19,0,cam_edge_3,631.5939372882726
AP01,19,1,cam_edge_3,543.0493207189718
AP01,19,2,cam_edge_3,506.66724746127596
AP01,19,3,cam_edge_3,590.872622706806
AP01,20,0,cam_edge_1,inf
AP01,20,1,cam_edge_1,inf
AP01,20,2,cam_edge_1,inf
AP01,20,3,cam_edge_1,inf
AP02,0,0,cam_edge_1,0.9927256347810811
AP02,0,1,cam_edge_1,1.2225242788451203
AP02,0,2,cam_edge_1,2.4500891175306805
AP02,0,3,cam_edge_1,1.7729562736526296
AP02,2,0,cam_edge_1,1.0763950143271321
AP02,2,1,cam_edge_1,1.409454121825499
AP02,2,2,cam_edge_1,2.4848796240760493
AP02,2,3,cam_edge_1,2.1132783668060227
AP02,2,0,cam_edge_3,1.1317209051381039
AP02,2,1,cam_edge_3,0.35564995478242145
AP02,2,2,cam_edge_3,1.8055045670355296
AP02,2,3,cam_edge_3,0.7525050383911674
AP02,3,0,cam_edge_1,1.1218548952467953
AP02,3,1,cam_edge_1,1.4222769340062589
AP02,3,2,cam_edge_1,1.0520164592478263
AP02,3,3,cam_edge_1,0.554125094197528
AP02,3,0,cam_edge_3,0.5243999512561061
AP02,3,1,cam_edge_3,0.5733096153626137
AP02,3,2,cam_edge_3,1.0718292172950328
AP02,3,3,cam_edge_3,0.25711378676746277
AP02,4,0,cam_edge_1,0.551120324031079
AP02,4,1,cam_edge_1,2.5268521980918695
AP02,4,2,cam_edge_1,0.9915598794022582
AP02,4,3,cam_edge_1,0.2240651594845228
AP02,5,0,cam_edge_5,1.013020898453714
AP02,5,1,cam_edge_5,0.3188159698851244
AP02,5,2,cam_edge_5,0.7048542917488652
AP02,5,3,cam_edge_5,0.6408091864583039
AP02,7,0,cam_edge_5,1.0265706367577239
AP02,7,1,cam_edge_5,0.9454150856993813
AP02,7,2,cam_edge_5,0.9853831325160889
AP02,7,3,cam_edge_5,1.1800682380804355
AP02,9,0,cam_edge_5,0.4757627794706345
AP02,9,1,cam_edge_5,1.4991853362054985
AP02,9,2,cam_edge_5,1.2139795147188164
AP02,9,3,cam_edge_5,0.24143649184348584
AP02,10,0,cam_edge_1,1.126755137741399
AP02,10,1,cam_edge_1,1.3178033664427948
AP02,10,2,cam_edge_1,0.761764350167594
AP02,10,3,cam_edge_1,0.7298399281398024
AP02,10,0,cam_edge_5,4.290112678361943
AP02,10,1,cam_edge_5,3.1873472812501182
AP02,10,2,cam_edge_5,2.675941636470335
AP02,10,3,cam_edge_5,0.30004784485960934
AP02,12,0,cam_edge_5,0.4729672925132373
AP02,12,1,cam_edge_5,0.3085193329363119
AP02,12,2,cam_edge_5,1.1361631097733527
AP02,12,3,cam_edge_5,0.7658399408997897
AP02,15,0,cam_edge_0,0.4330215800752233
AP02,15,1,cam_edge_0,0.9337722681262252
AP02,15,2,cam_edge_0,0.4592355107483029
AP02,15,3,cam_edge_0,0.5001155728605143
AP02,15,0,cam_edge_3,1.0994490322837236
AP02,15,1,cam_edge_3,0.6341176160333195
AP02,15,2,cam_edge_3,0.7968514684128843
AP02,15,3,cam_edge_3,0.19275444188746474
AP02,16,0,cam_edge_0,0.7213772035548743
AP02,16,1,cam_edge_0,0.6589737697924669
AP02,16,2,cam_edge_0,0.38636351123970536
AP02,16,3,cam_edge_0,0.3239483918651492
AP02,16,0,cam_edge_3,0.8967515265106604
AP02,16,1,cam_edge_3,1.499537472760903
AP02,16,2,cam_edge_3,0.31319255976758265
AP02,16,3,cam_edge_3,1.0630972927976068
AP02,17,0,cam_edge_5,0.3646151543903865
AP02,17,1,cam_edge_5,1.8309671569718942
AP02,17,2,cam_edge_5,2.259647685280679
AP02,17,3,cam_edge_5,0.390528910500348
AP02,19,0,cam_edge_0,0.24280550768940296
AP02,19,1,cam_edge_0,0.4297368439756383
AP02,19,2,cam_edge_0,0.271671599684224
AP02,19,3,cam_edge_0,0.09353737592376386
AP02,19,0,cam_edge_3,0.4208957372997868
AP02,19,1,cam_edge_3,0.6902783268463818
AP02,19,2,cam_edge_3,0.2565294658547769
AP02,19,3,cam_edge_3,0.37107345909117895
AP02,20,0,cam_edge_1,0.27472122711873376
AP02,20,1,cam_edge_1,0.8443626543003333
AP02,20,2,cam_edge_1,0.8206766092142653
AP02,20,3,cam_edge_1,0.6600911426887688
AP03,0,0,cam_edge_1,inf
AP03,0,1,cam_edge_1,inf
AP03,0,2,cam_edge_1,inf
AP03,0,3,cam_edge_1,inf
AP03,2,0,cam_edge_1,1.0794494400122374
AP03,2,1,cam_edge_1,0.9156968954911585
AP03,2,2,cam_edge_1,2.06435850687853
AP03,2,3,cam_edge_1,2.128193115461184
AP03,2,0,cam_edge_3,2762.0373848437503
AP03,2,1,cam_edge_3,2675.6348457575846
AP03,2,2,cam_edge_3,2411.914301241376
AP03,2,3,cam_edge_3,2490.4044448652126
AP03,3,0,cam_edge_1,5.391232983501109
AP03,3,1,cam_edge_1,1.3867768289176803
AP03,3,2,cam_edge_1,1.058358612167624
AP03,3,3,cam_edge_1,0.7237825133461305
AP03,3,0,cam_edge_3,inf
AP03,3,1,cam_edge_3,inf
AP03,3,2,cam_edge_3,inf
AP03,3,3,cam_edge_3,inf
AP03,4,0,cam_edge_1,390.1697343051974
AP03,4,1,cam_edge_1,542.2864696503972
AP03,4,2,cam_edge_1,617.4863555001663
AP03,4,3,cam_edge_1,472.4974030747186
AP03,5,0,cam_edge_5,0.607566831955485
AP03,5,1,cam_edge_5,0.5592027818190384
AP03,5,2,cam_edge_5,0.916168775074143
AP03,5,3,cam_edge_5,0.7136671801462999
AP03,7,0,cam_edge_5,1.2169008149693634
AP03,7,1,cam_edge_5,1.4061027579134213
AP03,7,2,cam_edge_5,1.9052580415403206
AP03,7,3,cam_edge_5,1.5859054346286818
AP03,9,0,cam_edge_5,0.8434148585972028
AP03,9,1,cam_edge_5,0.971784936987459
AP03,9,2,cam_edge_5,1.2805011863292801
AP03,9,3,cam_edge_5,1.2740599512593582
AP03,10,0,cam_edge_1,inf
AP03,10,1,cam_edge_1,inf
AP03,10,2,cam_edge_1,inf
AP03,10,3,cam_edge_1,inf
AP03,10,0,cam_edge_5,5.256421572985371
AP03,10,1,cam_edge_5,3.541997281953721
AP03,10,2,cam_edge_5,1.7702885115731506
AP03,10,3,cam_edge_5,1.4561476026210618
AP03,12,0,cam_edge_5,6.396648958070751
AP03,12,1,cam_edge_5,6.674881108412693
AP03,12,2,cam_edge_5,3.5278979215077317
AP03,12,3,cam_edge_5,3.8029927277064237
AP03,15,0,cam_edge_0,0.11041782158271182
AP03,15,1,cam_edge_0,0.6874613358877752
AP03,15,2,cam_edge_0,0.2902180186293421
AP03,15,3,cam_edge_0,1.0415950872324917
AP03,15,0,cam_edge_3,1.1638547189280364
AP03,15,1,cam_edge_3,1.364394278823287
AP03,15,2,cam_edge_3,1.1525222823438825
AP03,15,3,cam_edge_3,1.807009793691963
AP03,16,0,cam_edge_0,0.33342596711981565
AP03,16,1,cam_edge_0,1.5221990279993958
AP03,16,2,cam_edge_0,1.2648493331635844
AP03,16,3,cam_edge_0,1.2036010816600717
AP03,16,0,cam_edge_3,0.642426313247041
AP03,16,1,cam_edge_3,0.8344307988440479
AP03,16,2,cam_edge_3,0.8758886817639406
AP03,16,3,cam_edge_3,0.30266747828435614
AP03,17,0,cam_edge_5,4.607316787702542
AP03,17,1,cam_edge_5,1.5161738489831778
AP03,17,2,cam_edge_5,5.702277758703994
AP03,17,3,cam_edge_5,5.311117360920214
AP03,19,0,cam_edge_0,0.699636326341018
AP03,19,1,cam_edge_0,1.3922139051541247
AP03,19,2,cam_edge_0,1.6687243782425836
AP03,19,3,cam_edge_0,1.1937715231813704
AP03,19,0,cam_edge_3,0.7061229891062674
AP03,19,1,cam_edge_3,1.8735462859674368
AP03,19,2,cam_edge_3,0.7207818308402841
AP03,19,3,cam_edge_3,0.48296238785851836
AP03,20,0,cam_edge_1,0.15863259737700816
AP03,20,1,cam_edge_1,2.891241775365067
