REAL VEHICLE — SECONDARY AP02 MARKER MAP
========================================================================================================================

Reference marker: 3
Coordinate frame: marker_3_reference_frame
Ground truth used: false
This is an internally estimated metric marker map. No simulation marker positions are used or compared.

Observed marker IDs:  [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Optimized marker IDs: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Observed but missing from optimized map: []

  Marker         x [m]         y [m]         z [m]        rvec x        rvec y        rvec z
------------------------------------------------------------------------------------------------------------------------
       0      0.346018     -0.123184     -0.272513     -1.184568      0.063885     -0.028128
       2      1.093103     -0.333017      2.374076      0.089337      0.054729     -0.049313
       3      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
       4      1.243431     -0.259088      3.674377     -1.238442      0.065159     -0.018306
       5     -0.009646     -0.373921      3.092534     -0.103535     -3.077926     -0.495705
       6      1.890991      1.061831      1.528957      0.213645     -1.546388     -0.242502
       7      0.058693      1.396532     -1.501598     -0.060795     -2.966846     -1.010556
       8      1.895039      1.600883     -0.041432      0.211176     -1.519579     -0.299669
       9      1.825110      1.673719     -1.773805      0.092292     -1.471764     -0.407567
      10      1.881997      1.928214     -0.940676      0.168864     -1.511151     -0.255327
      12      0.571131      1.866572     -2.593331     -1.260599      0.058241     -0.039841
      15     -0.659149      1.308163      0.774915      0.289104      1.602178      0.204466
      16     -0.721477      0.268273      0.517264      0.297926      1.603230      0.207831
      17      1.863108      2.451339     -2.334834      0.204115     -1.544695     -0.297473
      18      1.918552      0.561871      3.048056      0.222790     -1.546011     -0.295329
      19     -0.204712      0.999946      1.774787      0.310647      1.545005      0.209486
      20      1.482050      0.492537      0.200835      0.311352      0.066795     -0.155774
