observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,distortion_model,d0,d1,d2,d3,d4,d5,d6,d7
moving,moving_frame_000000,moving_calib_camera,0,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000000.png,2,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,-3.0691931693564367,-0.038097576713500426,-0.08456233436938813,0.7160330644893452,0.07837771590441332,3.1217479733330054,3.2037722804221156,2310.0,1130.5,8564.0,2266.0,1083.0,2358.0,1085.0,2354.0,1178.0,2262.0,1176.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
moving,moving_frame_000000,moving_calib_camera,0,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000000.png,3,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,3.01467231313247,-0.05397778974988018,-0.04970770084239545,-0.20300503620661775,-0.18779947102989708,5.6450523161967885,5.651822302465204,1855.25,1030.5,2629.5,1829.0,1006.0,1880.0,1004.0,1882.0,1055.0,1830.0,1057.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
moving,moving_frame_000000,moving_calib_camera,0,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000000.png,18,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,-2.0127180441251618,-0.3264331214394004,2.184548195017877,1.3890059716936063,-0.8100243846256869,2.267555759741051,2.779799672030979,2966.0,475.0,8340.0,2943.0,419.0,3014.0,396.0,2982.0,542.0,2925.0,543.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
moving,moving_frame_000001,moving_calib_camera,1,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000001.png,2,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,-3.0777779385870665,-0.011035544402722962,-0.05337583534409132,0.6621512296549344,0.06010790738809207,3.142768383516953,3.212327866812147,2278.0,1120.25,8511.0,2233.0,1074.0,2325.0,1074.0,2323.0,1167.0,2231.0,1166.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
moving,moving_frame_000001,moving_calib_camera,1,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000001.png,4,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,1.8869514675872845,0.031852953683979224,-0.017456179082125493,0.7539494066536762,-0.03524938502036489,1.8606228234113227,2.0078843387846987,2612.75,1056.0,7180.0,2509.0,1032.0,2661.0,1034.0,2723.0,1080.0,2558.0,1078.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
moving,moving_frame_000001,moving_calib_camera,1,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000001.png,3,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,3.0210876051176334,-0.08543361635544942,-0.02969472036425359,-0.3197751101028047,-0.21238391492631534,5.642814369063769,5.655856880444663,1819.75,1023.0,2634.0,1793.0,999.0,1844.0,996.0,1847.0,1047.0,1795.0,1050.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
moving,moving_frame_000002,moving_calib_camera,2,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000002.png,2,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,3.0141978370291445,0.016044152410036355,-0.5988665065495653,0.6187294143507361,0.025644147626594206,3.164571436214845,3.2245923905816665,2252.5,1101.5,8464.0,2207.0,1056.0,2299.0,1055.0,2298.0,1148.0,2206.0,1147.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
moving,moving_frame_000002,moving_calib_camera,2,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000002.png,4,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,1.8968236833635252,0.001729254225796501,0.015177554758461246,0.7259168837452279,-0.058167312614018134,1.8216715965859267,1.961842543164726,2601.25,1033.75,7324.5,2495.0,1010.0,2646.0,1011.0,2716.0,1058.0,2548.0,1056.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
moving,moving_frame_000002,moving_calib_camera,2,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000002.png,3,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,-2.933201850502882,0.09405119125054218,-0.5103523163175446,-0.4236966764420139,-0.24658092306296026,5.4609419922454,5.482901464363166,1783.75,1010.0,2739.5,1757.0,985.0,1808.0,982.0,1811.0,1034.0,1759.0,1039.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
moving,moving_frame_000002,moving_calib_camera,2,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/moving/frame_000002.png,20,0.17,1713.99559557746,1715.413329053988,1916.8763303257203,1087.5219440582887,True,-2.766092045818978,-0.154871284276835,0.013068746228811089,1.041201450146174,-0.8309439378524379,5.403079677277833,5.564875406211081,2247.25,823.5,2892.5,2225.0,794.0,2279.0,800.0,2269.0,853.0,2216.0,847.0,plumb_bob,0.004314427203917037,-0.023151932458517994,-6.798776623482277e-05,-4.717309078510765e-05,0.014071281082948448,0.0,0.0,0.0
