method,marker_id,is_scale_anchor,reconstructed_mean_edge_length_cm,absolute_edge_length_error_cm,relative_edge_length_error_percent,cross_camera_reprojection_rmse_px,static_validation_cameras,static_validation_camera_count,cross_camera_reprojection_corner_count,moving_inlier_frame_count,max_triangulation_angle_deg
AP02,0,False,17.002911020979962,0.002911020979962098,0.017123652823306457,1.414045941682112,cam_edge_1,1,4,40,119.57596558124997
AP02,2,False,17.014304216662712,0.014304216662711089,0.08414245095712404,1.5704269931858539,cam_edge_1;cam_edge_3,2,8,52,17.52282459508552
AP02,3,True,17.0,0,0,0.82138550882428,cam_edge_1;cam_edge_3,2,8,74,38.66709052564259
AP02,4,False,17.121377311216353,0.12137731121635298,0.7139841836256057,1.5287230023493308,cam_edge_1,1,4,62,139.90408492439983
AP02,5,False,16.932276282104695,0.06772371789530718,0.39837481114886575,0.6903185731946947,cam_edge_5,1,4,46,33.426111065185985
AP02,6,False,17.100848261514628,0.10084826151462722,0.5932250677331012,1.6960561568011674,cam_edge_1,1,4,12,78.45240305858577
AP02,7,False,16.98298928006647,0.017010719933530094,0.10006305843252995,0.9386573659730574,cam_edge_5,1,4,13,17.746755227944625
AP02,8,False,17.158468118193188,0.1584681181931863,0.9321654011363899,1.2678763182688144,cam_edge_5,1,4,8,33.5967901658519
AP02,9,False,17.13371938895365,0.13371938895364865,0.7865846409038155,1.2405711751332142,cam_edge_5,1,4,17,34.84164178579571
AP02,10,False,17.122770054449497,0.12277005444949474,0.7221767908793808,2.3476227659352995,cam_edge_1;cam_edge_5,2,8,14,45.44937639645844
AP02,12,False,17.130693100510356,0.13069310051035676,0.7687829441785692,0.7650093805157451,cam_edge_5,1,4,22,60.98865070004352
AP02,15,False,17.136672392016862,0.13667239201685943,0.8039552471579966,0.7375895992482715,cam_edge_0;cam_edge_3,2,8,31,75.26741789289703
AP02,16,False,16.984681232152163,0.015318767847838366,0.09011039910493156,0.8624891124400068,cam_edge_0;cam_edge_3,2,8,37,73.35684706480882
AP02,17,False,16.938695204710495,0.061304795289507386,0.36061644287945516,0.8276732801397345,cam_edge_5,1,4,18,20.945502262549027
AP02,18,False,17.0252663798911,0.025266379891097923,0.14862576406528188,,,0,0,27,114.16738677991809
AP02,19,False,17.14473007806594,0.1447300780659383,0.8513534003878722,0.4355717672045543,cam_edge_0;cam_edge_3,2,8,36,148.51567137339077
AP02,20,False,17.013930773021883,0.013930773021883502,0.08194572365813825,0.7587335834739011,cam_edge_1,1,4,59,36.46404324402427
AP03,0,False,16.978760852754068,0.021239147245932788,0.12493616027019286,1.3851711435121827,cam_edge_1,1,4,49,119.6295093168517
AP03,2,False,17.163163061275995,0.1631630612759949,0.9597827133882052,1.673431050960083,cam_edge_1;cam_edge_3,2,8,68,27.836410912318758
AP03,3,True,17.0,0,0,1.4459244242799862,cam_edge_1;cam_edge_3,2,8,74,39.1989955451038
AP03,4,False,17.25709843089277,0.25709843089276874,1.5123437111339337,1.5163186901807861,cam_edge_1,1,4,80,140.05350097036006
AP03,5,False,16.973475238945333,0.026524761054669277,0.15602800620393692,0.9341168564425741,cam_edge_5,1,4,80,37.82502084524909
AP03,6,False,17.238711466710768,0.23871146671076704,1.4041850982986295,2.1451396189937126,cam_edge_1,1,4,17,78.3429056342938
AP03,7,False,16.851635064376175,0.14836493562382647,0.8727349154342733,1.6194626257870302,cam_edge_5,1,4,22,18.050773138321134
AP03,8,False,17.44472874183275,0.4447287418327506,2.6160514225455915,2.022216665852235,cam_edge_5,1,4,10,35.62392411276028
AP03,9,False,17.385881736730056,0.38588173673005377,2.269892569000316,1.4305592144059436,cam_edge_5,1,4,23,36.4861551495606
AP03,10,False,17.429505892487377,0.42950589248737514,2.526505249925736,2.7226543890251858,cam_edge_1;cam_edge_5,2,8,19,50.09071353331836
AP03,12,False,17.499867044108097,0.499867044108096,2.940394377106447,2.1227121811620893,cam_edge_5,1,4,50,60.73496789204509
AP03,15,False,17.296027905642674,0.29602790564267345,1.7413406214274907,0.7390326591150392,cam_edge_0;cam_edge_3,2,8,42,74.5623113922663
AP03,16,False,17.148864895778974,0.14886489577897177,0.8756758575233633,1.2036710746827057,cam_edge_0;cam_edge_3,2,8,48,72.79980603426256
AP03,17,False,17.19339814065594,0.19339814065593985,1.1376361215055284,3.543437782126587,cam_edge_5,1,4,23,21.125807638002378
AP03,18,False,17.169738693116553,0.16973869311655287,0.9984629006856051,,,0,0,42,114.00614467096636
AP03,19,False,17.348921196817646,0.3489211968176448,2.0524776283390866,0.9390995793507565,cam_edge_0;cam_edge_3,2,8,48,149.57448344854058
AP03,20,False,17.045368442806012,0.04536844280601249,0.26687319297654405,0.5852894196730241,cam_edge_1,1,4,70,35.86453380154644
