frame_id,image_path,debug_image,detected_marker_count,detected_marker_ids,pnp_success_count,pnp_failure_count,median_pnp_reprojection_rmse_px
0,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000000.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000000.png,5,0 2 3 4 20,5,0,0.3496245748529587
1,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000001.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000001.png,5,0 2 3 4 20,5,0,0.335897576377236
2,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000002.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000002.png,5,0 2 3 4 20,5,0,0.13024797948617337
3,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000003.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000003.png,4,0 2 4 20,4,0,0.3576492916466032
4,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000004.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000004.png,4,0 2 4 20,4,0,0.22011503081916542
5,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000005.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000005.png,5,0 2 3 4 20,5,0,0.25885067332320005
6,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000006.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000006.png,5,0 2 3 4 20,5,0,0.4582266254366146
7,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000007.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000007.png,5,0 2 3 4 20,5,0,0.42921553614371016
8,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000008.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000008.png,4,0 2 3 4,4,0,0.7797517633694242
9,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000009.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000009.png,4,0 2 3 4,4,0,0.5390067047159437
