REAL VEHICLE — SECONDARY AP02 MARKER MAP
========================================================================================================================

Reference marker: 3
Coordinate frame: marker_3_reference_frame
Ground truth used: false
This is an internally estimated metric marker map. No simulation marker positions are used or compared.

Observed marker IDs:  [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Optimized marker IDs: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Observed but missing from optimized map: []

  Marker         x [m]         y [m]         z [m]        rvec x        rvec y        rvec z
------------------------------------------------------------------------------------------------------------------------
       0      0.442562     -0.100657     -0.014648     -1.049122     -0.475615     -0.346125
       2     -0.569106     -0.518291      2.552609      0.172345     -0.589397     -0.000651
       3      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
       4     -1.246056     -0.542103      3.694515     -1.110973     -0.496278     -0.396620
       5      6.711769      0.895822      3.349849      0.421528     -1.696746     -0.197805
       6      0.265742      0.848057      2.579855      0.306889     -2.181010     -0.247992
       7      1.363529      0.678743      1.655605     -0.116505     -1.617932     -0.732386
       8      3.370771      2.140060      0.738429      0.380481     -0.449305      0.144535
       9      1.930958      1.504748     -0.002521      0.189842     -0.251513      0.116877
      10      2.687100      2.199493      0.186064      0.383011     -1.101277      0.029908
      12      0.857308      0.782242      0.813369     -1.186063      0.624486      1.255371
      15     -1.086750      1.226506      0.355679      0.258047      0.951241      0.311826
      16     -0.942803      0.222593      0.074927      0.249391      1.002303      0.356204
      17      1.019949      1.973662     -0.084707      0.376683     -0.274235      0.183274
      18     -0.394316      0.299355      3.658902      0.384127     -2.186136     -0.306159
      19     -1.305795      0.845085      1.405273      0.251823      0.891353      0.331310
      20      0.952961      0.434510      1.165612      0.453222     -0.522853     -0.013097
