marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
0,side_01,0,1,2.5724814145558264,0.17,0.06608405372263994,yes,0.0013122703419813503
0,side_12,1,2,2.0994204533902496,0.17,0.08097472791859081,yes,0.013578403853969523
0,side_23,2,3,2.60530398785307,0.17,0.06525150262411045,yes,0.0021448214405108412
0,side_30,3,0,2.022514397799257,0.17,0.08405378977028832,no,0.016657465705667035
0,diag_02,0,2,3.5154477368040498,0.2404163056034262,0.06838853073719496,yes,0.0009922066725736728
0,diag_13,1,3,3.0884027607458764,0.2404163056034262,0.07784486811731885,yes,0.010448544052697559
2,side_01,0,1,2.713708685060128,0.17,0.06264489660806509,yes,0.004751427456556198
2,side_12,1,2,2.726144709948702,0.17,0.062359125463739194,yes,0.005037198600882094
2,side_23,2,3,2.714933609531526,0.17,0.06261663246687431,yes,0.0047796915977469795
2,side_30,3,0,2.7307829195725515,0.17,0.06225320906379847,yes,0.005143115000822818
2,diag_02,0,2,3.8471076300445297,0.2404163056034262,0.062492742268467134,yes,0.004903581796154154
2,diag_13,1,3,3.847584128171443,0.2404163056034262,0.06248500295110729,yes,0.004911321113514
3,side_01,0,1,2.4255672195692872,0.17,0.07008669915574933,yes,0.0026903750911280444
3,side_12,1,2,2.511147045198177,0.17,0.06769814628142726,yes,0.0003018222168059692
3,side_23,2,3,2.4488997689342162,0.17,0.06941892933167518,yes,0.0020226052670538897
3,side_30,3,0,2.498108310928166,0.17,0.06805149290618105,yes,0.000655168841559764
3,diag_02,0,2,3.4894847059682865,0.2404163056034262,0.06889736619055156,yes,0.0015010421259302742
3,diag_13,1,3,3.499440617871058,0.2404163056034262,0.06870135311788413,yes,0.0013050290532628378
4,side_01,0,1,2.6858295152619664,0.17,0.06329515668585495,yes,0.0041011673787663405
4,side_12,1,2,2.70088862461693,0.17,0.06294224739611812,yes,0.004454076668503171
4,side_23,2,3,2.817699096635571,0.17,0.06033291496703315,yes,0.007063409097588139
4,side_30,3,0,3.009570254525132,0.17,0.05648647003484676,yes,0.010909854029774527
4,diag_02,0,2,4.017000362331066,0.2404163056034262,0.05984970971322307,yes,0.007546614351398216
4,diag_13,1,3,3.904998487689311,0.2404163056034262,0.0615662992857359,yes,0.00583002477888539
18,side_01,0,1,1.3954562875469758,0.17,0.12182395214889684,no,0.05442762808427555
18,side_12,1,2,3.8271977672744693,0.17,0.044418922234338874,no,0.022977401830282414
18,side_23,2,3,1.8397959078407349,0.17,0.0924015534959633,no,0.025005229431342008
18,side_30,3,0,3.316350652113875,0.17,0.05126116561034953,no,0.016135158454271756
18,diag_02,0,2,4.414508249687498,0.2404163056034262,0.05446049525911413,yes,0.012935828805507157
18,diag_13,1,3,3.3015236831262893,0.2404163056034262,0.07281980342354244,yes,0.005423479358921152
20,side_01,0,1,2.4762475599273865,0.17,0.06865226350994773,yes,0.00125593944532644
20,side_12,1,2,2.5155672948440424,0.17,0.06757918993001517,yes,0.00018286586539388583
20,side_23,2,3,2.508055845356073,0.17,0.06778158481389988,yes,0.0003852607492785959
20,side_30,3,0,2.5287059681486705,0.17,0.06722806136470715,yes,0.0001682626999141429
20,diag_02,0,2,3.5227462980455213,0.2404163056034262,0.06824684074944971,yes,0.0008505166848284257
20,diag_13,1,3,3.5583183012912376,0.2404163056034262,0.06756458676453544,yes,0.00016826269991415677
