marker_id,reference_marker_id,coordinate_frame,entity_type,entity_id,source,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
0,3,marker_3_reference_frame,marker,0,ba_with_moving,0.42082157730665015,-0.09647314699990486,-0.037296227559184,-66.76111151821041,-8.497174784020983,-6.6217590218389315,-1.1701797683329895,-0.06382286849584959,-0.18844209685160124
2,3,marker_3_reference_frame,marker,2,ba_with_moving,-0.6292195005777749,-0.45926932380784485,2.619197895235553,8.98554979396875,-34.14985933552464,-4.022833197476317,0.13117330287918552,-0.599719653757205,-0.0212570335690229
3,3,marker_3_reference_frame,marker,3,ba_with_moving,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
4,3,marker_3_reference_frame,marker,4,ba_with_moving,-1.3087822138515297,-0.44739995943010946,3.762376640021042,-65.85610945879995,-34.3900924911942,-4.44890460090197,-1.1357879680660308,-0.48951482761028764,-0.4119542216806626
5,3,marker_3_reference_frame,marker,5,ba_with_moving,6.666035905849806,0.7807555852649062,3.392332972320325,117.07123133558005,-66.43767292051167,-111.51863721640332,0.37782779952264683,-1.7180244029102814,-0.22438454313333775
6,3,marker_3_reference_frame,marker,6,ba_with_moving,0.20714236008927303,0.8845409323519788,2.631460780046637,154.01341304733472,-47.71160795340083,-150.12906044560054,0.3532344434102822,-2.2030463115126997,-0.2418911621816317
7,3,marker_3_reference_frame,marker,7,ba_with_moving,1.8980732082048284,0.6725070439021975,1.6636768807332845,100.40808883609111,-62.325996214471964,-115.80321153079544,0.15763771849496527,-1.6800059780384493,-0.5792199569826969
8,3,marker_3_reference_frame,marker,8,ba_with_moving,3.3212504176030246,2.0390968273449293,0.8887961923218187,18.792239506983996,-14.69487253353207,7.35064667467218,0.3421881148113874,-0.2329968024870864,0.1685167569166825
9,3,marker_3_reference_frame,marker,9,ba_with_moving,1.9849895748127346,1.5086502120708771,0.043530793525440675,11.204213437162688,-18.558688526076796,4.017725593928601,0.2051141018327935,-0.31600332719618374,0.10096154512065307
10,3,marker_3_reference_frame,marker,10,ba_with_moving,2.1268638210624675,1.960204783644034,0.5036543148428245,156.48342302891933,-54.03868688491938,-153.16618135438696,0.27466912531437576,-2.1270915208198744,-0.1794594750507784
12,3,marker_3_reference_frame,marker,12,ba_with_moving,0.843136968377811,0.967528557936733,0.6785587938519372,-45.05831518472925,59.15311079127346,51.12708660954187,-1.1329921730566241,0.6093808083195239,1.178348076654409
15,3,marker_3_reference_frame,marker,15,ba_with_moving,-1.108755225507361,1.2490730060077189,0.39838675953242236,30.984590892724118,50.59402741544597,32.6536028778322,0.2427544278511375,0.9690937931569111,0.28333581967746385
16,3,marker_3_reference_frame,marker,16,ba_with_moving,-0.9727665313648048,0.27189646960274083,0.2028957037829646,33.178051000113406,51.77858796045599,35.511786155403094,0.2456495118468557,1.0011780801913244,0.30278264255545967
17,3,marker_3_reference_frame,marker,17,ba_with_moving,10.727345085960495,1.6535644602772501,0.20701613653772752,23.247866974436416,-14.919379209794045,-21.80330152245947,0.34908078757169414,-0.32987163677438536,-0.32041268865535333
18,3,marker_3_reference_frame,marker,18,ba_with_moving,-0.3985319625993611,0.3902762513637725,3.689257651953433,152.93430110574744,-46.51722336497017,-148.76949321686746,0.37826631177090186,-2.210846528783614,-0.2590415345910621
19,3,marker_3_reference_frame,marker,19,ba_with_moving,-1.344400398178272,0.9007052113648404,1.4470907712220868,28.920634900216122,47.02862632328446,31.235961855972814,0.24264239293211845,0.903269843780158,0.29801239995942497
20,3,marker_3_reference_frame,marker,20,ba_with_moving,0.9474627016530361,0.4480561787478392,1.1839684125076404,22.79248164455325,-27.64244698475004,-8.974100047791048,0.35148781746506236,-0.5049432574994308,-0.05570522408199331
