method,marker_id,is_scale_anchor,reconstructed_mean_edge_length_cm,absolute_edge_length_error_cm,relative_edge_length_error_percent,cross_camera_reprojection_rmse_px,static_validation_cameras,static_validation_camera_count,cross_camera_reprojection_corner_count,moving_inlier_frame_count,max_triangulation_angle_deg
AP02,0,False,15.255151288225319,1.7448487117746825,10.26381595161578,3.4127808760468588,cam_edge_1,1,4,18,125.84540612249057
AP02,2,False,16.114273382798544,0.8857266172014572,5.210156571773277,2.032678281220965,cam_edge_1;cam_edge_3,2,8,20,10.698154989708854
AP02,3,True,17.0,0,0,2.466259351302555,cam_edge_1;cam_edge_3,2,8,15,59.11464610276848
AP02,4,False,16.218295783764532,0.7817042162354709,4.59826009550277,1.92648241205223,cam_edge_1,1,4,30,141.94120347846166
AP02,5,False,16.16673118447882,0.833268815521182,4.901581267771658,79.60721148685437,cam_edge_5,1,4,9,105.00987083078755
AP02,6,False,16.157617111937583,0.8423828880624179,4.955193459190693,1.0374065457772976,cam_edge_1,1,4,6,6.491466648555848
AP02,7,False,16.154270519256343,0.8457294807436566,4.974879298492097,3.542997269493085,cam_edge_5,1,4,8,15.025970008855971
AP02,8,False,16.216456621867543,0.7835433781324563,4.609078694896802,12.123876635212499,cam_edge_5,1,4,7,125.95033599235157
AP02,12,False,16.14651689610938,0.8534831038906232,5.0204888464154305,4.616559971086462,cam_edge_5,1,4,8,102.26191594284461
AP02,15,False,16.13512761472865,0.8648723852713536,5.087484619243256,2.474683942663141,cam_edge_0;cam_edge_3,2,8,9,49.02630789297775
AP02,16,False,15.924631972965136,1.0753680270348647,6.325694276675674,6.586651436662537,cam_edge_0;cam_edge_3,2,8,6,55.709371478306466
AP02,17,False,16.03226147304625,0.9677385269537514,5.692579570316184,57.664431643461,cam_edge_5,1,4,8,157.74846698360304
AP02,18,False,16.236424331661134,0.7635756683388673,4.491621578463925,,,0,0,16,110.73724591734788
AP02,19,False,16.15800014636512,0.8419998536348811,4.9529403154993,1.367457010109632,cam_edge_0;cam_edge_3,2,8,8,120.01673589273621
AP02,20,False,16.140723978363873,0.8592760216361295,5.0545648331537025,1.622305731788293,cam_edge_1,1,4,18,32.06492800251929
AP03,0,False,15.81487025069809,1.1851297493019108,6.971351466481828,,,0,0,8,3.349821149014016
AP03,2,False,17.558806763294267,0.5588067632942673,3.2870986076133364,1.003723083580781,cam_edge_3,1,4,10,6.41438763214267
AP03,3,True,17.0,0,0,3.342555032392468,cam_edge_3,1,4,9,3.7181552895874126
AP03,4,False,18.084417212983606,1.0844172129836043,6.378924782256496,,,0,0,6,12.504386704690173
AP03,20,False,17.52107775734932,0.5210777573493197,3.06516327852541,,,0,0,5,1.4539298575185704
