marker_id,frame_i,frame_j,frame_gap,metric_translation_m,colmap_translation_units,scale_m_per_colmap_unit,quality,used_for_scale
13,0,2,2,0.084884346633839,0.11950893681619919,0.7102761424811964,0.6748676465273846,True
13,0,3,3,0.12150829740689396,0.17994963960662502,0.675235013932312,0.6877610205286974,True
13,0,4,4,0.17590184930084807,0.2390554219820995,0.7358203710352138,0.6961079646961233,True
13,0,5,5,0.2013548784508961,0.2987381715445716,0.674017911436718,0.7041445700901933,True
13,0,6,6,0.28917948763027096,0.43249937809288713,0.6686240542250315,0.7064520102007658,True
13,0,7,7,0.38910415106815016,0.5651843744416374,0.6884552522396923,0.711458119029465,True
13,1,3,2,0.07674166196927808,0.12060214253209053,0.6363208841738297,0.7053523123521397,True
13,1,4,3,0.12176424232899795,0.17970666128418988,0.6775722249741136,0.7139127515073601,True
13,1,5,4,0.1528020118303285,0.2393898493198665,0.6382977902549176,0.7221549141612006,True
13,1,6,5,0.24082272151534462,0.3731502017912552,0.6453774387882116,0.7245213731040979,True
13,1,7,6,0.3395946352481393,0.5058350592023201,0.6713544841744764,0.7296555262951221,True
13,2,4,2,0.09119840614070042,0.1195495580792649,0.7628502154749345,0.7119940106898288,True
13,2,5,3,0.11870744804494673,0.1792328131202125,0.6623086809742196,0.7202140213735928,True
13,2,6,4,0.20654443577465365,0.3129929476093653,0.65990124490739,0.7225741201256165,True
13,2,7,5,0.3061673044849355,0.4456778146864478,0.6869700361915849,0.7276944745586408,True
13,3,5,2,0.08064841474666902,0.11878860945284525,0.6789238052212699,0.7339737397218368,True
13,3,6,3,0.16837319067899364,0.25255003328815967,0.6666924113483674,0.7363789282570891,True
13,3,7,4,0.268159841436319,0.3852348616889945,0.6960944299293665,0.7415971072710722,True
13,4,6,2,0.11974834032002818,0.19344411810033033,0.6190332458592531,0.7453159188930312,True
13,4,7,3,0.21786633189699006,0.32612924066668325,0.6680367925661039,0.7505974278247987,True
13,5,7,2,0.18893854795599335,0.26644680100506946,0.70910420858233,0.7592631171189372,True
13,156,159,3,0.4485842029959179,0.6563962474841056,0.6834045817831708,0.6404971487761999,True
9,0,2,2,0.22283827956780802,0.11950893681619919,1.86461603210918,0.6835546456244124,False
9,0,3,3,0.5992068923769948,0.17994963960662502,3.329858807646839,0.6971069292962299,False
9,0,4,4,0.50722979963597,0.2390554219820995,2.1218083883240744,0.6970372625354184,False
