observer_type,observer_id,frame_id,marker_id,num_corners,mean_reproj_px,median_reproj_px,max_reproj_px
static,cam_edge_0,static,4,4,0.547178204072333,0.5653423782006148,0.8650771232501345
static,cam_edge_0,static,3,4,0.5062400758617578,0.6011122516074572,0.730458024054324
static,cam_edge_0,static,7,4,0.8955422034770333,0.9976719824619504,1.259754939169939
static,cam_edge_1,static,7,4,0.4652003267136733,0.527396570175479,0.6824249874333559
static,cam_edge_1,static,2,4,0.26185331525212535,0.15261906904517933,0.6471911289724455
static,cam_edge_1,static,6,4,0.5117054405751948,0.48594649787831035,0.7921291605411475
static,cam_edge_1,static,5,4,0.3642318891356133,0.3816133733336199,0.48490304708726095
static,cam_edge_1,static,17,4,1.5482056603266596,1.5175543844108201,1.72300902684046
static,cam_edge_1,static,14,4,0.36974810678243036,0.3732153182199847,0.6543965930692964
static,cam_edge_1,static,18,4,1.4093588114924125,1.3153311298272081,1.9193500520929898
static,cam_edge_1,static,8,4,0.54977988118051,0.5029952869952559,0.8077221311324037
static,cam_edge_3,static,1,4,0.49482227761769576,0.4057354653733334,0.93681197604113
static,cam_edge_3,static,2,4,0.38356805478431244,0.3003808084174758,0.7715255509429998
static,cam_edge_3,static,5,4,0.3820508838202745,0.4187439859361586,0.532470445170148
static,cam_edge_3,static,3,4,1.1942703655541347,1.2300638008863933,1.5921786235631195
static,cam_edge_3,static,14,4,0.27600156744653376,0.19232463297912888,0.5559529964919776
static,cam_edge_3,static,19,4,0.44247755531175903,0.36535162102677715,0.7374582233901049
static,cam_edge_3,static,6,4,0.5169197416826501,0.4556985390719991,0.7321207230314237
static,cam_edge_3,static,8,4,0.3968476061194207,0.3859905161791802,0.4887994550107658
static,cam_edge_3,static,7,4,0.3242251819422833,0.2821146566859437,0.527026505632341
static,cam_edge_3,static,20,4,0.6656675602183506,0.6213821071356757,0.9157434703234141
static,cam_edge_3,static,4,4,1.2923380715860218,1.1660740160407195,1.7454051128750656
static,cam_edge_5,static,13,4,0.5908644953911937,0.5817183593473096,0.9386769305148345
static,cam_edge_5,static,9,4,0.3727867018665657,0.36476103202045373,0.5703259775992532
static,cam_edge_5,static,12,4,0.4418426124679237,0.4869697450687359,0.624234471853002
static,cam_edge_5,static,11,4,0.2445917579964897,0.22640099849205364,0.4354132297100391
static,cam_edge_5,static,10,4,0.5280248109263436,0.5722810413861682,0.7984094451453222
static,cam_edge_5,static,16,4,0.5518480074635581,0.5779736188687344,0.7863510006516872
static,cam_edge_5,static,0,4,0.42276758536214865,0.4070965681671673,0.7244567734569652
static,cam_edge_5,static,17,4,1.087168302999412,1.1146936385697217,1.1878215679004642
moving,moving_frame_000000,0,13,4,0.7724771641577767,0.6341894194348462,1.3404679941135502
moving,moving_frame_000000,0,9,4,0.2608685483398897,0.25177880218437676,0.42573654575900505
moving,moving_frame_000000,0,11,4,0.3322649150137913,0.32619132976894755,0.620662771160454
moving,moving_frame_000000,0,10,4,0.3860621492775965,0.38468212169498317,0.5900798843968121
moving,moving_frame_000000,0,12,4,0.7185540989960829,0.6720994085721331,0.9623005202844732
moving,moving_frame_000000,0,16,4,0.3086538622341708,0.32565615466601283,0.5042991741025615
moving,moving_frame_000000,0,0,4,0.47166867774414517,0.46563803226236233,0.7549508699832206
moving,moving_frame_000000,0,17,4,1.0708288805789064,1.1924705817921557,1.364011937665141
moving,moving_frame_000001,1,13,4,0.6450872214636398,0.5744507745732683,1.1881359316336624
moving,moving_frame_000001,1,9,4,0.41354279032484104,0.4142579257638088,0.568922326708908
moving,moving_frame_000001,1,10,4,0.4374348464499685,0.3629794551860056,0.8728428660625144
moving,moving_frame_000001,1,12,4,0.5214148972292876,0.42062303433238696,0.8476848426767628
moving,moving_frame_000001,1,16,4,0.47092913346524984,0.3187421216736368,0.9751385097329979
moving,moving_frame_000001,1,0,4,0.3254987214384063,0.3128404937068894,0.45032246805895815
moving,moving_frame_000002,2,13,4,0.3702463632971738,0.33510539765488323,0.5038581503679045
moving,moving_frame_000002,2,9,4,0.5156512980530579,0.4447682573639443,0.8506550884597127
moving,moving_frame_000002,2,10,4,0.6571670589989598,0.6356994808228325,0.9168904912815121
moving,moving_frame_000002,2,12,4,0.46152981591485914,0.33908828571511956,1.0572126174557663
moving,moving_frame_000002,2,16,4,0.6546410094128077,0.6803065376074943,0.9312523857877214
moving,moving_frame_000002,2,0,4,0.6424962108137081,0.6477552769236874,0.9806484520833962
moving,moving_frame_000003,3,13,4,0.297256363291512,0.3362069941428939,0.4544152629137892
moving,moving_frame_000003,3,9,4,0.4245493913417067,0.388216123619169,0.5914354306306964
moving,moving_frame_000003,3,10,4,0.317484461470804,0.31891123231099877,0.4108803406882481
moving,moving_frame_000003,3,16,4,0.39838624419295743,0.3972850815246854,0.6759900293242458
moving,moving_frame_000003,3,0,4,0.45490872788484044,0.44084926444569955,0.6303411608157041
moving,moving_frame_000004,4,13,4,0.5153997587016516,0.5152543685148879,0.569159671725563
moving,moving_frame_000004,4,11,4,0.39801875180073926,0.40266804113931554,0.45364149857919084
moving,moving_frame_000004,4,9,4,0.2448389834437421,0.24056514483813207,0.39865001479814255
moving,moving_frame_000004,4,10,4,0.32576091995148904,0.34369254921125614,0.5830683921052903
moving,moving_frame_000004,4,16,4,0.358574956879131,0.3623097939826895,0.5434529217079952
moving,moving_frame_000004,4,0,4,0.3845026043472057,0.4102128405717719,0.5175280158978269
moving,moving_frame_000005,5,11,4,0.24478344109745112,0.2523456147913597,0.4032600590340418
moving,moving_frame_000005,5,13,4,0.6189948169869433,0.5363831969969605,0.9558377116464564
moving,moving_frame_000005,5,9,4,0.3788814668829556,0.35358132239347506,0.7187396101601987
moving,moving_frame_000005,5,16,4,0.510058685652822,0.5519163485219556,0.6416892556526531
moving,moving_frame_000006,6,13,4,0.2469363429773729,0.24000974201200592,0.3687335557696234
moving,moving_frame_000006,6,11,4,0.26942977617525293,0.17918777408655612,0.5848245154224366
moving,moving_frame_000006,6,9,4,0.5045102458585314,0.5081285944351412,0.5788588619928293
moving,moving_frame_000006,6,10,4,0.3027869155558438,0.309353053744183,0.4878968984563422
moving,moving_frame_000006,6,16,4,0.47458529046572484,0.4743057455640136,0.7122843919475051
moving,moving_frame_000006,6,0,4,0.5526255276037279,0.576270856117882,0.9228569471969127
moving,moving_frame_000007,7,13,4,0.4376359829937463,0.42747874421380283,0.5484121846971318
moving,moving_frame_000007,7,11,4,0.3186348377732026,0.29299704625681444,0.49125624185712286
moving,moving_frame_000007,7,9,4,0.4067592177626723,0.36663970336894447,0.7137245630594204
moving,moving_frame_000007,7,10,4,0.522297413034003,0.5324462187406036,0.5897449775059042
moving,moving_frame_000007,7,16,4,0.5035761355796419,0.5563951243264502,0.7312109026386853
moving,moving_frame_000007,7,0,4,0.38878376114553714,0.3842785727938272,0.5207459739653397
moving,moving_frame_000008,8,11,4,0.5309477177207744,0.5475272019579506,0.6899795989716014
moving,moving_frame_000008,8,9,4,0.26032649883709036,0.24303814414135422,0.4721449189284308
moving,moving_frame_000008,8,10,4,0.30813354647124747,0.3079885799388026,0.46199813096157805
moving,moving_frame_000008,8,16,4,0.5360661538373064,0.5005128478063741,0.8415083124424991
moving,moving_frame_000008,8,0,4,0.5056272696542905,0.5355222629628986,0.6342259124862255
moving,moving_frame_000009,9,11,4,0.30115612410740167,0.32332897325186527,0.5206765151125532
moving,moving_frame_000009,9,9,4,0.40502568586397497,0.4045148530486168,0.4955443947473433
moving,moving_frame_000009,9,10,4,0.3824202948616525,0.36485120759007494,0.6297668163599295
moving,moving_frame_000009,9,16,4,0.4415427091693217,0.42214176506980533,0.6721616129112536
moving,moving_frame_000009,9,0,4,0.5016648916397997,0.4737728222768375,0.7684434174307977
moving,moving_frame_000009,9,17,4,0.9397056236476339,1.0277285873084414,1.1089018197877065
moving,moving_frame_000010,10,11,4,0.4855297185964015,0.458079802783997,0.9704697963655291
moving,moving_frame_000010,10,9,4,0.4211261461666965,0.47001530894782345,0.5588230830924134
moving,moving_frame_000010,10,10,4,0.478805357196859,0.4516817227252812,0.7629231101628382
moving,moving_frame_000010,10,16,4,0.47851390364861524,0.3536873327195196,0.951538123912295
moving,moving_frame_000010,10,0,4,0.3910554065010047,0.3561344216264779,0.5858235772699149
moving,moving_frame_000010,10,17,4,0.9453836673005055,0.9652008522364932,1.1525855292414187
moving,moving_frame_000011,11,9,4,0.5510263823881179,0.6313032970673265,0.8246832439901337
moving,moving_frame_000011,11,11,4,0.7894049951224036,0.826136491091652,1.1707234811130016
moving,moving_frame_000011,11,12,4,0.39534199298368944,0.40472498766991183,0.5916229724696204
moving,moving_frame_000011,11,10,4,0.7020759909097248,0.736563226491499,1.0344332975321748
moving,moving_frame_000011,11,16,4,0.6130026785119596,0.6001095820866533,0.7822036555726396
moving,moving_frame_000011,11,0,4,0.6732366468050147,0.6642690799428039,0.9415011363787634
moving,moving_frame_000011,11,17,4,0.8764057810803192,0.7509766143362887,1.3722375792724388
moving,moving_frame_000012,12,12,4,0.46639125351368044,0.41554350805596196,0.6569188391610165
