initialization_algorithm,initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_length,path_bottleneck_score,pnp_reprojection_rmse_px,area_px2,distance_m
legacy_maximum_bottleneck_v1,observer,cam_edge_3,marker,14,14,cam_edge_3,static,9.760939671081772,1,9.760939671081772,0.1652401214177915,735.0,4.184488347246913
legacy_maximum_bottleneck_v1,marker,1,observer,cam_edge_3,1,cam_edge_3,static,27.831654891560927,2,9.760939671081772,0.3643846771493961,8775.0,1.3811741570838951
legacy_maximum_bottleneck_v1,marker,19,observer,cam_edge_3,19,cam_edge_3,static,25.178157788771355,2,9.760939671081772,0.016647152282941655,2079.0,3.069909646884428
legacy_maximum_bottleneck_v1,marker,2,observer,cam_edge_3,2,cam_edge_3,static,22.66096287609206,2,9.760939671081772,0.3292475173885345,4155.5,2.5920485786031056
legacy_maximum_bottleneck_v1,marker,6,observer,cam_edge_3,6,cam_edge_3,static,10.097085590841797,2,9.760939671081772,0.08252560812659196,794.0,5.671209775273972
legacy_maximum_bottleneck_v1,marker,5,observer,cam_edge_3,5,cam_edge_3,static,9.334018514601878,2,9.334018514601878,0.27564855973234403,1238.0,5.366104878105474
legacy_maximum_bottleneck_v1,marker,8,observer,cam_edge_3,8,cam_edge_3,static,8.014994593596745,2,8.014994593596745,0.23570796846445147,904.5,6.0386340951393445
legacy_maximum_bottleneck_v1,marker,20,observer,cam_edge_3,20,cam_edge_3,static,4.960477279173603,2,4.960477279173603,0.2051228820864619,472.5,9.103943480185158
legacy_maximum_bottleneck_v1,observer,cam_edge_1,marker,2,2,cam_edge_1,static,15.6329583956338,3,9.760939671081772,0.20013423151238488,1824.0,3.5976855054744283
legacy_maximum_bottleneck_v1,marker,7,observer,cam_edge_1,7,cam_edge_1,static,7.67255522330154,4,7.67255522330154,0.23353963795061633,834.0,6.118902976384111
legacy_maximum_bottleneck_v1,marker,18,observer,cam_edge_1,18,cam_edge_1,static,6.122259908633805,4,6.122259908633805,0.3045416856590852,531.0,4.891467256035273
legacy_maximum_bottleneck_v1,marker,17,observer,cam_edge_1,17,cam_edge_1,static,3.4126121707054256,4,3.4126121707054256,0.2973561945176256,214.0,6.486388895530509
legacy_maximum_bottleneck_v1,observer,cam_edge_0,marker,7,7,cam_edge_0,static,19.274394350413303,5,7.67255522330154,0.27642109079268934,2813.0,2.852544085963125
legacy_maximum_bottleneck_v1,observer,cam_edge_5,marker,17,17,cam_edge_5,static,7.679428643593231,5,3.4126121707054256,0.06811068357868645,394.5,5.139538843720712
legacy_maximum_bottleneck_v1,marker,4,observer,cam_edge_0,4,cam_edge_0,static,29.561155734243147,6,7.67255522330154,0.17216158635105214,4132.5,2.5050713755995706
legacy_maximum_bottleneck_v1,marker,3,observer,cam_edge_0,3,cam_edge_0,static,18.33153824743589,6,7.67255522330154,0.2501329859149684,2478.0,3.0191078343462854
legacy_maximum_bottleneck_v1,marker,13,observer,cam_edge_5,13,cam_edge_5,static,31.712814033467865,6,3.4126121707054256,0.1485601840087693,3914.5,2.23661744504178
legacy_maximum_bottleneck_v1,marker,9,observer,cam_edge_5,9,cam_edge_5,static,24.748202031611388,6,3.4126121707054256,0.12157088885862638,2965.0,3.05935925808883
legacy_maximum_bottleneck_v1,marker,11,observer,cam_edge_5,11,cam_edge_5,static,23.622839025921543,6,3.4126121707054256,0.14639810409751244,2192.5,2.2747495319332223
legacy_maximum_bottleneck_v1,marker,12,observer,cam_edge_5,12,cam_edge_5,static,23.33761546913118,6,3.4126121707054256,0.1563093508496918,2755.0,2.829518207102803
legacy_maximum_bottleneck_v1,marker,10,observer,cam_edge_5,10,cam_edge_5,static,19.262910302152168,6,3.4126121707054256,0.05420012480122187,1667.0,3.637471020107639
legacy_maximum_bottleneck_v1,marker,16,observer,cam_edge_5,16,cam_edge_5,static,8.013494082925641,6,3.4126121707054256,0.02047042461576483,506.0,7.266160486236213
legacy_maximum_bottleneck_v1,marker,0,observer,cam_edge_5,0,cam_edge_5,static,6.641945533740631,6,3.4126121707054256,0.022206815739071,420.0,8.719740914268723
