REAL-DATA MARKER LENGTH AND REPROJECTION RESULTS
==========================================================================================================================================

Expected marker edge length: 17.00 cm

METHOD / VARIANT RESULTS
------------------------------------------------------------------------------------------------------------------------------------------
Method / variant                                    | Status | Anchor | Cams | Moving | Markers | Marker RMSE [cm] | Marker RMSE [%] | Moving RMSE [px] | Cross-camera RMSE [px] | Cross corners
----------------------------------------------------+--------+--------+------+--------+---------+------------------+-----------------+------------------+------------------------+--------------
AP02__combined_nfev_1__ref_mode_auto__static_nfev_1 | OK     | 14     | 4    | 139    | 19      | 0.2482           | 1.4599          | 2.2407           | 13.6305                | 112          

AP02__combined_nfev_1__ref_mode_auto__static_nfev_1: MARKER RESULTS
------------------------------------------------------------------------------------------------------------------------------------------
Marker | Role         | Estimated length [cm] | Expected length [cm] | Abs error [cm] | Rel error [%] | Moving RMSE [px] | Cross-camera RMSE [px] | Static cams | Cross corners
-------+--------------+-----------------------+----------------------+----------------+---------------+------------------+------------------------+-------------+--------------
0      | validation   | 16.6573               | 17.0000              | 0.3427         | 2.0159        | 3.0583           | 10.8275                | 1           | 4            
1      | validation   | 17.0053               | 17.0000              | 0.0053         | 0.0315        | 0.2950           | 0.4018                 | 1           | 4            
2      | validation   | 17.0513               | 17.0000              | 0.0513         | 0.3019        | 0.8464           | 3.9816                 | 2           | 8            
3      | validation   | 16.9937               | 17.0000              | 0.0063         | 0.0368        | 2.7093           | 7.6477                 | 2           | 8            
4      | validation   | 16.9905               | 17.0000              | 0.0095         | 0.0556        | 0.7761           | 6.9729                 | 2           | 8            
5      | validation   | 16.9089               | 17.0000              | 0.0911         | 0.5362        | 2.3034           | 13.4384                | 2           | 8            
6      | validation   | 17.6557               | 17.0000              | 0.6557         | 3.8568        | 2.9202           | 11.0589                | 2           | 8            
7      | validation   | 17.2861               | 17.0000              | 0.2861         | 1.6829        | 2.7042           | 11.6982                | 3           | 12           
8      | validation   | 16.9631               | 17.0000              | 0.0369         | 0.2172        | 3.6551           | 18.4840                | 2           | 8            
9      | validation   | 16.4671               | 17.0000              | 0.5329         | 3.1347        | 2.4313           | 9.3007                 | 1           | 4            
10     | validation   | 16.7529               | 17.0000              | 0.2471         | 1.4533        | 2.2244           | 6.7433                 | 1           | 4            
11     | validation   | 17.0105               | 17.0000              | 0.0105         | 0.0617        | 0.4075           | 3.3724                 | 1           | 4            
12     | validation   | 16.9883               | 17.0000              | 0.0117         | 0.0690        | 1.4915           | 4.6128                 | 1           | 4            
13     | validation   | 17.1252               | 17.0000              | 0.1252         | 0.7362        | 1.8119           | 2.6091                 | 1           | 4            
14     | scale anchor | 17.0000               | 17.0000              | 0              | 0             | 1.7679           | 5.9570                 | 2           | 8            
16     | validation   | 16.8110               | 17.0000              | 0.1890         | 1.1119        | 2.0438           | 13.1608                | 1           | 4            
17     | validation   | 16.9506               | 17.0000              | 0.0494         | 0.2905        | 2.3618           | 14.8878                | 2           | 8            
18     | validation   | 16.7010               | 17.0000              | 0.2990         | 1.7590        | 2.5477           | 3.1495                 | 1           | 4            
19     | validation   | 17.0464               | 17.0000              | 0.0464         | 0.2728        | 1.9517           | 5.9114                 | 1           | 4            
20     | validation   | 17.1947               | 17.0000              | 0.1947         | 1.1452        | 2.0471           | 48.0244                | 1           | 4            
