observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,detection_mode,detection_source,detection_support,detector_contract,opencv_version,detector_parameters_json,fx,fy,cx,cy,distortion_model,detection_success,pnp_success,pnp_reprojection_rmse_px,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,image_width_px,image_height_px,area_px2,marker_area_ratio,d0,d1,d2,d3,d4,d5,d6,d7,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,selection_score,score_area,score_reprojection,score_border,score_distance,job_id,decision,reason,threshold,measured_value
static,cam_edge_3,cam_edge_3,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_3.png,14,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",919.9513244628906,919.9512577056885,640.0,360.0,plumb_bob,True,True,0.1652401214177915,1.699568330209649,-0.998053724209411,0.6788209265947366,0.3377800322218678,0.7441515269572644,4.103911047160326,4.184488347246913,715.75,527.0,1280,720,735.0,0.0007975260416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,531.0,707.0,514.0,741.0,523.0,725.0,540.0,0.49693020722356035,0.2824050356609575,0.8581922143079509,0.5361111111111111,0.19288306444569864,20260807_213144_baseline_68b48fb1,accepted,accepted,,
static,cam_edge_3,cam_edge_3,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_3.png,1,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",919.9513244628906,919.9512577056885,640.0,360.0,plumb_bob,True,True,0.3643846771493961,1.8702019527161549,0.47860058482771217,-0.378209167834892,0.051440257093912936,0.39992442765289016,1.3210058305371057,1.3811741570838951,676.0,640.75,1280,720,8775.0,0.009521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,593.0,754.0,623.0,703.0,693.0,594.0,654.0,0.6962155792123522,0.9757809372497497,0.7329311276708973,0.22013888888888888,0.4199608823340541,20260807_213144_baseline_68b48fb1,accepted,accepted,,
static,cam_edge_3,cam_edge_3,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_3.png,19,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",919.9513244628906,919.9512577056885,640.0,360.0,plumb_bob,True,True,0.016647152282941655,-2.474262565743006,0.2725109578315172,-1.4080419153669599,-0.8623397554858152,0.011379628617570784,2.9462834028985165,3.069909646884428,370.25,363.5,1280,720,2079.0,0.002255859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,346.0,387.0,331.0,393.0,380.0,354.0,397.0,0.7076973087720394,0.47495887979908324,0.9836254375517017,0.9902777777777778,0.2457057003133998,20260807_213144_baseline_68b48fb1,accepted,accepted,,
static,cam_edge_3,cam_edge_3,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_3.png,2,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",919.9513244628906,919.9512577056885,640.0,360.0,plumb_bob,True,True,0.3292475173885345,2.947947032588244,0.23177757684344782,-0.8101164497491411,0.6487583702292494,0.5586869156216141,2.446568482836537,2.5920485786031056,884.5,570.25,1280,720,4155.5,0.004509006076388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,531.0,921.0,546.0,911.0,610.0,848.0,594.0,0.6053218447605807,0.6714913310228873,0.7523053358524373,0.41597222222222224,0.27839267151250086,20260807_213144_baseline_68b48fb1,accepted,accepted,,
static,cam_edge_3,cam_edge_3,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_3.png,6,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",919.9513244628906,919.9512577056885,640.0,360.0,plumb_bob,True,True,0.08252560812659196,-2.7479200652029356,-0.1015517080738101,-0.08784497133091548,1.320064507671424,-0.794503298856698,5.45791301862306,5.671209775273972,862.5,226.0,1280,720,794.0,0.0008615451388888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.0,211.0,879.0,213.0,874.0,241.0,846.0,239.0,0.5350833999696691,0.2935208917417786,0.9237656758352258,0.6277777777777778,0.14989784966834327,20260807_213144_baseline_68b48fb1,accepted,accepted,,
static,cam_edge_3,cam_edge_3,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_3.png,5,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",919.9513244628906,919.9512577056885,640.0,360.0,plumb_bob,True,True,0.27564855973234403,2.9140561465109527,0.26364346898109836,-0.8240680830259292,2.572625964742539,-0.2977450892746469,4.699789896386084,5.366104878105474,1143.75,301.75,1280,720,1238.0,0.0013433159722222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,284.0,1165.0,287.0,1160.0,320.0,1122.0,316.0,0.4731822279454481,0.3665127517866496,0.7839149680926379,0.3784722222222222,0.1570819235855247,20260807_213144_baseline_68b48fb1,accepted,accepted,,
static,cam_edge_3,cam_edge_3,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_3.png,8,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",919.9513244628906,919.9512577056885,640.0,360.0,plumb_bob,True,True,0.23570796846445147,-2.7117747020778364,-0.05681113111888104,0.45488806209941973,2.5327121218350825,-0.8831363575079246,5.4102256160844755,6.0386340951393445,1070.75,209.75,1280,720,904.5,0.0009814453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.0,195.0,1089.0,196.0,1084.0,225.0,1053.0,223.0,0.49854521991060263,0.3132802758713034,0.8092526919953804,0.58125,0.14207301963467145,20260807_213144_baseline_68b48fb1,accepted,accepted,,
static,cam_edge_3,cam_edge_3,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_3.png,20,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",919.9513244628906,919.9512577056885,640.0,360.0,plumb_bob,True,True,0.2051228820864619,-2.771703740981554,-0.03418735096458531,0.3653314561518841,4.38114679056668,-2.1119734633641456,7.695902012107404,9.103943480185158,1163.75,107.5,1280,720,472.5,0.0005126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,97.0,1177.0,97.0,1173.0,118.0,1151.0,118.0,0.40912772248236495,0.22642776165920997,0.8297908992223871,0.2986111111111111,0.09897125829742613,20260807_213144_baseline_68b48fb1,accepted,accepted,,
static,cam_edge_1,cam_edge_1,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_1.png,2,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",929.593505859375,929.5934772491455,640.0,360.0,plumb_bob,True,True,0.20013423151238488,2.9634190530109903,-0.2387585937026298,0.551044518474219,0.19225404008955044,0.4634070346223859,3.5625318666129187,3.5976855054744283,690.0,481.0,1280,720,1824.0,0.001979166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,463.0,706.0,455.0,714.0,499.0,674.0,507.0,0.5824511942135953,0.44487826050130463,0.8332401274312626,0.6638888888888889,0.2175007400591684,20260807_213144_baseline_68b48fb1,accepted,accepted,,
static,cam_edge_1,cam_edge_1,static,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_210329__route2/input_working/route2/be9873a09590/raw_images/static/cam_edge_1.png,7,0.17,baseline,original,1,rigcal_aruco_detector_v2,4.11.0,"{""parameters"":""opencv_defaults""}",929.593505859375,929.5934772491455,640.0,360.0,plumb_bob,True,True,0.23353963795061633,2.8958796329165355,-0.24592159021982202,0.4921286460607593,-2.4449093730772917,-0.39150386592740766,5.595544344816242,6.118902976384111,233.75,295.0,1280,720,834.0,0.0009049479166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,283.0,247.0,280.0,251.0,307.0,220.0,310.0,0.5074401900179588,0.3008235224623677,0.8106752059150564,0.6493055555555556,0.14047108147383797,20260807_213144_baseline_68b48fb1,accepted,accepted,,
