frame_id,selected,selection_reasons,marker_ids,marker_count,selection_score,score_area,score_reprojection,score_border,score_distance,tie_breaker
moving_frame_000000,True,quality_valid_graph,"0,9,10,11,12,13,16,17",8,145.27873661305355,,,,,original input order
moving_frame_000001,True,quality_valid_graph,"0,9,10,12,13,16",6,137.09011457019227,,,,,original input order
moving_frame_000002,True,quality_valid_graph,"0,9,10,12,13,16",6,98.1338970288098,,,,,original input order
moving_frame_000003,True,quality_valid_graph,"0,9,10,13,16",5,106.18237605494575,,,,,original input order
moving_frame_000004,True,quality_valid_graph,"0,9,10,11,13,16",6,155.13670906140416,,,,,original input order
moving_frame_000005,True,quality_valid_graph,"9,11,13,16",4,125.15779365619775,,,,,original input order
moving_frame_000006,True,quality_valid_graph,"0,9,10,11,13,16",6,170.09672504396562,,,,,original input order
moving_frame_000007,True,quality_valid_graph,"0,9,10,11,13,16",6,203.95840659453646,,,,,original input order
moving_frame_000008,True,quality_valid_graph,"0,9,10,11,16",5,126.68807812040482,,,,,original input order
moving_frame_000009,True,quality_valid_graph,"0,9,10,11,16,17",6,140.13186675128065,,,,,original input order
moving_frame_000010,True,quality_valid_graph,"0,9,10,11,16,17",6,144.04243640567347,,,,,original input order
moving_frame_000011,True,quality_valid_graph,"0,9,10,11,12,16,17",7,182.94790115182167,,,,,original input order
moving_frame_000012,True,quality_valid_graph,"10,12,16,17",4,108.52534246835954,,,,,original input order
moving_frame_000013,True,quality_valid_graph,"10,12,16,17",4,123.0096065255271,,,,,original input order
moving_frame_000014,True,quality_valid_graph,"10,12,17",3,93.44341179278439,,,,,original input order
moving_frame_000015,True,quality_valid_graph,"10,12,16,17",4,118.70123624688163,,,,,original input order
moving_frame_000016,True,quality_valid_graph,"10,16,17",3,52.53222050805188,,,,,original input order
moving_frame_000017,True,quality_valid_graph,"0,10,16,17",4,62.01311543178843,,,,,original input order
moving_frame_000018,True,quality_valid_graph,"0,10,16,17",4,73.07603032803559,,,,,original input order
moving_frame_000019,True,quality_valid_graph,"0,10,16,17",4,67.64607539335367,,,,,original input order
moving_frame_000020,True,quality_valid_graph,"0,10,16,17",4,81.01476310561505,,,,,original input order
moving_frame_000021,True,quality_valid_graph,"0,4,10,16,17",5,72.1997328861903,,,,,original input order
moving_frame_000022,True,quality_valid_graph,"0,16,17",3,38.02566050693228,,,,,original input order
moving_frame_000023,True,quality_valid_graph,"0,4,16,17",4,50.55867674178958,,,,,original input order
moving_frame_000024,True,quality_valid_graph,"0,4,16,17",4,50.34383563883999,,,,,original input order
moving_frame_000025,True,quality_valid_graph,"0,4,16",3,27.309369358393248,,,,,original input order
moving_frame_000026,True,quality_valid_graph,"0,4,16",3,31.119013911995967,,,,,original input order
moving_frame_000027,True,quality_valid_graph,"0,4,14,16,18",5,51.150865766137116,,,,,original input order
moving_frame_000028,True,quality_valid_graph,"0,4,14,16",4,49.140388451262,,,,,original input order
moving_frame_000029,True,quality_valid_graph,"0,4,14,16",4,44.56960715851396,,,,,original input order
moving_frame_000030,True,quality_valid_graph,"0,4,14,16",4,47.327041295454684,,,,,original input order
moving_frame_000031,True,quality_valid_graph,"0,16",2,27.726878581192008,,,,,original input order
moving_frame_000032,True,quality_valid_graph,"0,4",2,32.95185435392737,,,,,original input order
moving_frame_000033,True,quality_valid_graph,"0,3,4",3,43.751352057514694,,,,,original input order
moving_frame_000034,True,quality_valid_graph,"0,4",2,43.86799218779233,,,,,original input order
moving_frame_000035,True,quality_valid_graph,0,1,9.970308232629945,,,,,original input order
moving_frame_000036,True,quality_valid_graph,4,1,34.48601371990786,,,,,original input order
moving_frame_000037,True,quality_valid_graph,4,1,44.1511167850944,,,,,original input order
moving_frame_000038,True,quality_valid_graph,4,1,36.44891903531164,,,,,original input order
moving_frame_000039,True,quality_valid_graph,"0,4",2,48.945602740155465,,,,,original input order
moving_frame_000040,True,quality_valid_graph,"0,3,4,19",4,81.25584107903792,,,,,original input order
moving_frame_000041,True,quality_valid_graph,"0,3,4",3,90.09377014925627,,,,,original input order
moving_frame_000042,True,quality_valid_graph,"0,3,4,19",4,103.83142409345746,,,,,original input order
moving_frame_000043,True,quality_valid_graph,"0,19",2,29.05934301277302,,,,,original input order
moving_frame_000044,True,quality_valid_graph,"0,3,14,19",4,66.04177264094484,,,,,original input order
moving_frame_000045,True,quality_valid_graph,"0,3,14",3,66.6147826810381,,,,,original input order
moving_frame_000046,True,quality_valid_graph,"3,14",2,53.16969979962269,,,,,original input order
moving_frame_000047,True,quality_valid_graph,"3,14",2,43.96259349902579,,,,,original input order
moving_frame_000048,True,quality_valid_graph,"3,14",2,47.266577215420085,,,,,original input order
moving_frame_000049,True,quality_valid_graph,"3,14",2,49.80528042929863,,,,,original input order
moving_frame_000050,True,quality_valid_graph,14,1,29.35440935546069,,,,,original input order
moving_frame_000051,True,quality_valid_graph,"3,14,16",3,67.41549846374,,,,,original input order
moving_frame_000052,True,quality_valid_graph,"3,14,16",3,82.45303930107289,,,,,original input order
moving_frame_000053,True,quality_valid_graph,"3,14,16",3,80.07067557144565,,,,,original input order
moving_frame_000054,True,quality_valid_graph,"0,16,19",3,54.99148237859149,,,,,original input order
moving_frame_000055,True,quality_valid_graph,"0,16,19",3,63.18895049704699,,,,,original input order
moving_frame_000056,True,quality_valid_graph,"0,16,19",3,70.47224654625506,,,,,original input order
moving_frame_000057,True,quality_valid_graph,"0,16,19",3,62.77074186303405,,,,,original input order
moving_frame_000058,True,quality_valid_graph,"0,16,18",3,86.39580048335577,,,,,original input order
